排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,7270156,106044,19,0,8038,0,0.00%,0.00%,新年小剧场《压岁钱》,91718
2,奇洛李维斯回信,53489653,567854,98,41,53279,28416,53.33%,5.00%,OST A12 · 暗恋基本法,85974
3,一屋暗灯 全一季,12395325,202324,53,13,34111,15416,45.19%,7.62%,福利彩蛋·看星星,93038
4,我在无限游戏里封神 第四季,7591565,142546,56,15,11578,9039,78.07%,6.34%,特别放送 · emoji大挑战,86834
5,灯花笑 上季,2397996,47877,18,4,7445,954,12.81%,1.99%,第8集,94733
6,满城衣冠 全一季,2170061,52930,26,5,3065,1096,35.76%,2.07%,花絮④ · 唱戏啦,90878
7,情蛊,40935192,441486,68,49,53577,33090,61.76%,7.50%,4000w福利·山大王,86178
8,宋玉章 第一季,2790084,42994,16,0,2314,0,0.00%,0.00%,第三折 ·  啼笑因缘,86589
9,你的雪人能活多久 第一季,901084,49186,16,0,4433,0,0.00%,0.00%,小剧场01 · 雪人便当,93787
10,伏特加与曼特宁,1455542,60926,17,0,2641,0,0.00%,0.00%,✦店长来啦！②,92988
11,炽火难熄 全一季,248105,18382,10,1,1329,406,30.55%,2.21%,第三集 · 升级,94917
12,囚于永夜,849813,23510,200,161,2083,578,27.75%,2.46%,温然生日小剧场,94916
13,天官赐福 第三季,72017331,271150,68,44,33663,27814,82.62%,10.26%,小剧场·元宵·花灯,82040
14,天官赐福 第二季,73462860,359706,61,43,38569,35079,90.95%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
15,天官赐福 第一季,87081889,970272,61,43,68831,37046,53.82%,3.82%,四千万福利·小剧场·从前有一位名师,52400
16,沉浮事,480488,13824,12,1,1483,662,44.64%,4.79%,浊世篇·第三集,94775
17,我在无限游戏里封神 第三季,23972329,219186,91,21,30184,22497,74.53%,10.26%,破亿纪念单曲·神明所遗落的,81851
18,我在无限游戏里封神 第一季,74554213,1000597,64,14,77635,43461,55.98%,4.34%,线下漫展VLOG,52347
19,早春晴朗,36992167,277902,57,24,22489,14745,65.57%,5.31%,完结FT,72230
20,放学等我 第一季,53904647,836364,53,18,62407,36021,57.72%,4.31%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,31677765,449745,42,16,44398,33999,76.58%,7.56%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,297316769,1546173,66,56,97502,89833,92.13%,5.81%,传讯符·忘羡,22602
23,我在无限游戏里封神 第二季（下）,21112322,256095,55,14,28060,23967,85.41%,9.36%,花絮06,76557
24,台风眼 第二季,29782489,161740,50,32,14153,13094,92.52%,8.10%,完结 FT,68664
25,魔道祖师 第一季,260031832,2280911,39,22,97131,64645,66.55%,2.83%,主创FT<下>,15861
26,江医生 第一季,16955080,236606,49,27,22989,14034,61.05%,5.93%,千万播放福利第四弹·小剧场·猫,81852
27,绰约,2088448,31982,34,5,1469,531,36.15%,1.66%,200W播放纪念·裴廷约,86680
28,一颗苹果,13816356,163506,82,35,13479,5950,44.14%,3.64%,完结FT · 谢谢光临,90818
29,藏南晚星,19724035,206025,79,42,20737,15350,74.02%,7.45%,主题曲伴奏·途经,85110
30,台风眼 第一季,35774797,306119,53,20,21918,13728,62.63%,4.48%,千万福利·富士山在等一片云,52404
31,魔道祖师 第二季,171477812,1421317,41,37,88861,81596,91.82%,5.74%,主役FT（下）,19059
32,我在无限游戏里封神 第二季（上）,20710769,333167,42,11,34225,29631,86.58%,8.89%,花絮06,71605
33,再世权臣 第三季（下）,877943,25399,21,12,2300,2049,89.09%,8.07%,第十二集 ·  雨后风荷,93437
34,我喜欢你的信息素 第一季,100688461,1518011,48,21,72047,44648,61.97%,2.94%,四千万福利,58217
35,降水概率百分百,1819803,27943,35,15,2732,1545,56.55%,5.53%,˚.⊹ 第十八期 ♡₊˚,93005
36,嫁给一个死太监 第一季,3866436,77671,34,12,4618,2574,55.74%,3.31%,新春福利音,66726
37,解瘾,343588,12763,19,2,794,230,28.97%,1.80%,花絮4❃容先生要对洛生负责,94782
38,沉醉不醒,4065440,56970,48,29,4818,3021,62.70%,5.30%,番外·墨源·下,86740
39,搭界 第一季,385387,15552,19,7,1568,799,50.96%,5.14%,小剧场 · 请墨宝,94617
40,江医生 第二季,8390753,122075,44,36,13657,12703,93.01%,10.41%,主役版·绝对,85256
41,某某 第一季,98602508,1723925,43,28,77221,45088,58.39%,2.62%,伴奏|《梧桐说》,58219
42,谁来言说夜晚 上季,1241110,14880,71,35,1605,859,53.52%,5.77%,第52集,94321
43,吞海 第一季,52035778,535182,54,17,45599,28685,62.91%,5.36%,原创配乐·破晓,29187
44,洄天 第一季,28137363,246437,65,14,23375,11294,48.32%,4.58%,完结语音 · 高能量S级监护人的一天,86815
45,触礁,150840,10223,10,1,984,526,53.46%,5.15%,✰花絮·01✰,95034
46,重生之将门毒后 第二季,42323898,384848,83,26,50676,34101,67.29%,8.86%,破亿福利·白噪音·花灯,52293
47,我喜欢你的信息素 第二季,76711558,849363,43,26,58977,49793,84.43%,5.86%,国风版·星衍,58218
48,小蘑菇 第二季,51825952,504880,51,34,52008,47788,91.89%,9.47%,破亿电话·双人,39605
49,清白之年,373741,12618,13,0,1027,0,0.00%,0.00%,第四集·人生难得是欢聚,94838
50,默读 第五季,39257238,466821,47,34,46547,40143,86.24%,8.60%,电话,59100
