排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,19295666,205033,35,2,第四期,86815
2,一屋暗灯 全一季,1460070,71584,11,0,花絮01,93038
3,我在无限游戏里封神 第四季,2689810,106799,15,3,第三集 · 阴间路,86834
4,再世权臣 第三季（上）,2267166,45829,33,9,第九集 ·  百岁何欢,86827
5,沉醉不醒,1730612,41203,15,2,主题曲《高热》· 主役版,86740
6,太傅他人人喊打 第二季,2420190,37384,21,10,第十集,86723
7,顶级掠食者 第二季,6039043,51155,28,11,第十一集,86789
8,欢迎进入梦魇直播间 第二季,5529356,41821,24,11,第十一集 ♱ 你好，梦魇,90985
9,愚蠢的有钱人,260023,13673,14,2,【花絮1】,93113
10,初三的六一儿童节 第二季（上）,134758,6012,3,0,第一集 · 与狼共舞,93154
11,恩客,868097,15314,31,18,24·正是如此,91870
12,落火 全一季,187534,12049,11,1,第三集,92245
13,反差 全一季,6553446,51258,30,12,彩蛋·总裁助理的自我修养,86684
14,嫁入高门的人,41357,3193,7,0,前传4,93169
15,君有疾否,1313746,30836,72,44,第55集,90896
16,沉浮事,123218,7941,20,10,第拾柒集 失败,92895
17,降水概率百分百,482314,15841,8,0,˚.⊹ 第二期 ♡₊˚,93005
18,语义错误 第一季,3163960,23616,17,4,Ep.07 BLUE,92155
19,液态欲望 全一季,115931,13847,1,0,周则枫生日福利,86692
20,逐玉 第二季,651105,13140,10,2,第五集 · 诛心,92520
21,穿成阴鸷反派的联姻对象 第二季,666716,20957,22,13,小剧场·秦伦还算是个忠厚人,91771
22,美人印,500695,27787,12,4,ost《诱他》,92611
23,迟爱,118313,6032,8,0,第三集,92710
24,如果森林有童话,103167,4753,13,3,第五期-心旌摇曳,92601
25,不良执念清除师 全一季,1006341,9036,10,0,第三集·人心之力,86818
26,这恋爱一定要谈吗,495142,17637,20,9,第十一集,91787
27,六州歌头 下季,621539,8415,77,72,76 军械案始末,92061
28,禁区,44014,4633,3,0,主题曲《罪名成立》,92575
29,岁岁未停,48104,3891,4,0,倒计时1天,93196
30,头像是我，不满意？,13812,1627,3,0,第1集·上,93085
