排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,3968578,69113,43,14,2159,951,44.05%,原创配乐 · 凶夜,89245
2,奇洛李维斯回信,39884840,496606,79,23,45838,23102,50.40%,花絮09 ·小花絮又又又又又来了,85974
3,洄天 第一季,13401475,175761,28,0,11090,0,0.00%,第一期,86815
4,情蛊,32629144,370776,61,42,44546,27350,61.40%,番外·此为情蛊,86178
5,二哈和他的白猫师尊,159933959,3138075,69,0,121405,0,0.00%,第肆季-第七期,20741
6,一颗苹果,10529317,130517,67,26,9819,3679,37.47%,第15集 · 祷告 Breath by Breath,90818
7,放学等我 第一季,49302924,791744,53,18,62299,36313,58.29%,1700W福利·P-特别小剧场「2022.12.2」,64911
8,囚于永夜,3960737,250661,1,0,1820,0,0.00%,织音发布会纯享PV · 概念预告,86822
9,重生之将门毒后 第一季,90457260,815383,82,27,87905,42036,47.82%,主役reaction·片段03,43922
10,天官赐福 第一季,81414405,933556,61,43,67471,36191,53.64%,四千万福利·小剧场·从前有一位名师,52400
11,天官赐福 第四季,3381176,61861,10,0,4868,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3802359,89910,26,15,6790,3805,56.04%,小剧场✦小猫神,86179
13,魔道祖师 第一季,256589304,2243800,39,22,96716,64523,66.71%,主创FT<下>,15861
14,我在无限游戏里封神 第一季,70195626,961369,64,14,76153,42672,56.03%,线下漫展VLOG,52347
15,逐玉 第二季,480991,10657,6,0,290,0,0.00%,第二集 · 夜会,92520
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23561518,105378,89,0,33236,0,0.00%,MANTA三专《宴》特别曲·《罪示录》,84529
17,我在无限游戏里封神 第四季,1625626,92287,5,0,3138,0,0.00%,主题曲 · 失控Out of Control · 伴奏,86834
18,将进酒 第一季,103956452,1418268,59,16,78104,53246,68.17%,完结FT,25944
19,我喜欢你的信息素 第一季,98031314,1485692,48,21,72316,45209,62.52%,四千万福利,58217
20,小蘑菇 第一季,48315760,901895,33,17,57875,38865,67.15%,白噪音·漫步荒原,29125
21,早春晴朗,30406076,236830,57,24,19009,12476,65.63%,完结FT,72230
22,美人印,321546,23420,6,0,1396,0,0.00%,OST《美人印》,92611
23,反差 全一季,5845307,47285,24,7,2884,1318,45.70%,愚人节福利花絮,86684
24,放学等我 第二季,28975075,420742,42,16,44009,34730,78.92%,番外·恋爱纪念日,68837
25,娘娘腔,35707154,688571,31,0,69642,0,0.00%,主役听剧Reaction,46640
26,天官赐福 第三季,66116113,248369,66,42,31163,25579,82.08%,花絮·不坠主役,82040
27,伪装学渣 第一季,101418539,1913436,30,17,80087,47127,58.84%,千万福利·“叫妈妈”,58262
28,语义错误 第一季,2140918,21104,11,1,1474,294,19.95%,Ep.04 SHIFT,92155
29,藏南晚星,17288698,187533,79,42,18415,13440,72.98%,主题曲伴奏·途经,85110
30,某某 第一季,96438185,1691197,43,28,77281,45016,58.25%,伴奏|《梧桐说》,58219
31,初三的六一儿童节,21678288,46281,220,191,4821,3656,75.83%,Chapter.107A 传家宝贝（上）,85562
32,顶级掠食者 第二季,4734642,48117,23,8,3818,2791,73.10%,主题曲·天分·伴奏,86789
33,见春天,12045508,217120,54,8,26527,8244,31.08%,魏清越书信·02,80533
34,交易沦陷,25433286,157916,138,99,15758,9184,58.28%,特别福利·星空沦陷,54171
35,重生之将门毒后 第二季,40016346,371830,83,26,49306,33040,67.01%,破亿福利·白噪音·花灯,52293
36,不二之臣,40071438,840450,16,0,49566,0,0.00%,大结局·下,25580
37,我在无限游戏里封神 第三季,20671207,198079,91,21,27531,20203,73.38%,破亿纪念单曲·神明所遗落的,81851
38,偷偷藏不住,200945646,2408804,89,54,139535,82469,59.10%,2亿福利·双人电话语音,34632
39,二哈和他的白猫师尊,13577743,91861,669,603,9014,4324,47.97%,完结FT,81979
40,全球高考 第一季（全新版）,20057277,353657,37,11,21425,9925,46.32%,— 「全季完结FT」—,60289
41,难哄,144836052,1566607,76,48,98229,61081,62.18%,破亿福利·纪念FT,38074
42,台风眼 第一季,33348000,279550,53,20,19686,12481,63.40%,千万福利·富士山在等一片云,52404
43,再世权臣 第一季,20194556,247325,79,17,22758,10633,46.72%,花絮07,71321
44,魔道祖师 第三季,294077928,1532301,66,56,97590,90025,92.25%,传讯符·忘羡,22602
45,失忆后死对头成了我男朋友？,4283727,91266,44,20,5772,3816,66.11%,花絮·陆云笙,86693
46,针锋对决,36918438,914377,19,0,53581,0,0.00%,完结FT  互动问答,19249
47,沉醉不醒,1107646,35480,9,0,1408,0,0.00%,第一期,86740
48,天官赐福 第二季,68736494,338961,61,43,36877,33536,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
49,君有疾否,1105498,29341,51,23,1316,255,19.38%,第34集,90896
50,骄阳似我 全一季,2923232,32720,38,15,949,357,37.62%,花絮 · 07,90737
