排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,7593871,160371,34,7,27103,10143,37.42%,6.32%,第九集,93038
2,我在无限游戏里封神 第四季,5026152,126984,32,10,8689,6155,70.84%,4.85%,特别放送 · 副本通关大作战 · 勤勤恳恳打工人,86834
3,洄天 第一季,25810392,236041,52,9,21824,10007,45.85%,4.24%,第十一期,86815
4,奇洛李维斯回信,48491819,539855,84,27,50431,26297,52.14%,4.87%,花絮10 · 破坏队形的花絮来了,85974
5,早春晴朗,34840271,267250,57,24,21484,14088,65.57%,5.27%,完结FT,72230
6,情蛊,37830408,412857,67,48,50166,30974,61.74%,7.50%,完结FT·下,86178
7,沉醉不醒,3061277,51942,32,14,3969,2315,58.33%,4.46%,第十二期,86740
8,再世权臣 第三季（下）,358257,18768,11,6,1231,1059,86.03%,5.64%,第六集 ·  夫俱往矣,93437
9,小蘑菇 第二季,51044821,498797,48,34,51678,47544,92.00%,9.53%,破亿福利·《风过荒野》主役版,39605
10,天官赐福 第三季,70345384,260969,67,43,32503,26786,82.41%,10.26%,小剧场·元宵·花灯,82040
11,我在无限游戏里封神 第三季,22620399,210237,91,21,28984,21464,74.05%,10.21%,破亿纪念单曲·神明所遗落的,81851
12,娑婆,962794,30094,13,5,3024,611,20.21%,2.03%,第七集,93178
13,小蘑菇 第一季,49971865,918373,33,17,58252,39096,67.12%,4.26%,白噪音·漫步荒原,29125
14,天官赐福 第二季,72011466,350410,61,43,37829,34420,90.99%,9.82%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
15,天官赐福 第一季,85073933,953464,61,43,68408,36742,53.71%,3.85%,四千万福利·小剧场·从前有一位名师,52400
16,愚蠢的有钱人,1164550,25539,79,63,2137,1122,52.50%,4.39%,【花絮6】,93113
17,放学等我 第一季,51961522,819218,53,18,63022,36351,57.68%,4.44%,1700W福利·P-特别小剧场「2022.12.2」,64911
18,反差 全一季,7545410,58662,41,19,4462,2770,62.08%,4.72%,小剧场·家人的爱,86684
19,放学等我 第二季,30551546,438678,42,16,44466,34438,77.45%,7.85%,番外·恋爱纪念日,68837
20,我在无限游戏里封神 第一季,72675385,983168,64,14,77028,43226,56.12%,4.40%,线下漫展VLOG,52347
21,秋燥 第一季,243024,12623,9,1,1246,204,16.37%,1.62%,第四集,93438
22,藏南晚星,18798998,198781,79,42,19928,14705,73.79%,7.40%,主题曲伴奏·途经,85110
23,初三的六一儿童节,27520752,60681,287,255,6975,5704,81.78%,9.40%,番外9 跨年夜,85562
24,我在无限游戏里封神 第二季（下）,20178891,247565,55,14,27184,23184,85.29%,9.36%,花絮06,76557
25,吞海 第一季,50939469,525227,54,17,44848,28116,62.69%,5.35%,原创配乐·破晓,29187
26,坠落,10745951,174436,59,22,14337,4747,33.11%,2.72%,台风眼S02E17,76041
27,交易沦陷,28207599,171526,138,99,17015,9930,58.36%,5.79%,特别福利·星空沦陷,54171
28,一颗苹果,12912272,149801,80,34,12249,5322,43.45%,3.55%,启动音试听 · 谢青寄,90818
29,太傅他人人喊打 第二季,3420506,42329,35,20,3506,2429,69.28%,5.74%,小剧场·《苍梧佳期》,86723
30,于是麦麦决定离家出走,5402450,104522,49,31,9244,5673,61.37%,5.43%,花絮10,86179
31,魔道祖师 第三季,295978809,1540140,66,56,97577,89963,92.20%,5.84%,传讯符·忘羡,22602
32,魔道祖师 第一季,258521649,2263235,39,22,96993,64569,66.57%,2.85%,主创FT<下>,15861
33,将进酒 第一季,105410598,1433564,59,16,78317,53382,68.16%,3.72%,完结FT,25944
34,顶级掠食者 第二季,7560390,55378,48,17,5252,4256,81.04%,7.69%,OST·11永恒的吻,86789
35,魔道祖师 第二季,170631654,1415361,41,37,88835,81563,91.81%,5.76%,主役FT（下）,19059
36,我在无限游戏里封神 第二季（上）,20069017,324924,42,11,33478,28994,86.61%,8.92%,花絮06,71605
37,某某 第一季,97674443,1709443,43,28,77448,45152,58.30%,2.64%,伴奏|《梧桐说》,58219
38,江医生 第一季,16138105,229545,49,27,22326,13493,60.44%,5.88%,千万播放福利第四弹·小剧场·猫,81852
39,陈年烈苟 第二季,15930168,124318,57,31,14068,13266,94.30%,10.67%,520限定 ✦ 主役版主题曲 《世界在他心头亮遍了角落》,73251
40,门生故旧,266499,12467,18,6,1049,612,58.34%,4.91%,★ 12·上课,93774
41,失忆后死对头成了我男朋友？,4959182,98300,44,20,6499,4387,67.50%,4.46%,花絮·陆云笙,86693
42,吞海 第二季,32169974,268122,56,19,25719,23948,93.11%,8.93%,新年祝福,67085
43,台风眼 第二季,29199744,154816,50,32,13580,12547,92.39%,8.10%,完结 FT,68664
44,我喜欢你的信息素 第一季,99534310,1503271,48,21,72367,45056,62.26%,3.00%,四千万福利,58217
45,台风眼 第一季,34836705,294234,53,20,20852,13170,63.16%,4.48%,千万福利·富士山在等一片云,52404
46,陈年烈苟 第一季,28529486,225692,62,21,20907,14334,68.56%,6.35%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
47,燎原,37541457,389163,43,34,39143,29802,76.14%,7.66%,FT,63688
48,吞海 第三季（上）,22251427,213968,38,16,18249,17093,93.67%,7.99%,OST·04 此地埋名,73221
49,逆鳞 第一季,184777,11006,10,0,930,0,0.00%,0.00%,开喵啦《逆鳞》直播FT,93750
50,偷风不偷月 上季,8385118,130503,41,18,10581,5936,56.10%,4.55%,300w福利·楚识琛（沈若臻）·风月语录,71389
