排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,1735544,77758,11,0,花絮01,93038
2,洄天 第一季,19623588,207121,35,2,第四期,86815
3,我在无限游戏里封神 第四季,2791046,108003,15,3,第三集 · 阴间路,86834
4,反差 全一季,6602182,51617,31,13,第十一集·选择坠落,86684
5,沉醉不醒,1782062,41581,16,3,小剧场·晚安小酒窝,86740
6,欢迎进入梦魇直播间 第二季,5580186,42138,24,11,第十一集 ♱ 你好，梦魇,90985
7,再世权臣 第三季（上）,2303618,46101,33,9,第九集 ·  百岁何欢,86827
8,烟花情书,5902,572,1,0,预告,93337
9,顶级掠食者 第二季,6081061,51355,28,11,第十一集,86789
10,太傅他人人喊打 第二季,2455942,37626,21,10,第十集,86723
11,愚蠢的有钱人,289534,14306,16,4,【花絮1】,93113
12,恩客,904473,15565,33,20,26·开点药吃吃,91870
13,吞雨,243947,12075,22,7,《吻雨》,91589
14,岁岁未停,60520,4520,5,0,第一期-暗恋像一场大雨,93196
15,重回我爸少年时 第一季,1264349,16159,44,15,第十集,91872
16,语义错误 第一季,3194553,23744,18,4,花絮>ERROR TIME 03,92155
17,君有疾否,1333480,30967,74,46,第57集,90896
18,液态欲望 全一季,122968,14425,1,0,周则枫生日福利,86692
19,初三的六一儿童节 第二季（上）,145833,6401,3,0,第一集 · 与狼共舞,93154
20,怀火 全一季,141449,9553,14,2,第三集·标记,91418
21,头像是我，不满意？,21870,2586,5,0,主题曲（伴奏）,93085
22,降水概率百分百,498661,16060,8,0,˚.⊹ 第二期 ♡₊˚,93005
23,逐玉 第二季,657759,13259,10,2,第五集 · 诛心,92520
24,美人印,509015,27921,12,4,ost《诱他》,92611
25,穿成阴鸷反派的联姻对象 第二季,677736,21078,22,13,小剧场·秦伦还算是个忠厚人,91771
26,落火 全一季,195958,12270,11,1,第三集,92245
27,这恋爱一定要谈吗,507455,17737,20,9,第十一集,91787
28,禁区,49176,4863,4,0,幕后企划①前采|禁区的初见,92575
29,第二十八年春II,121260,4854,2,0,第五期,92633
30,沉浮事,133205,8058,22,12,第拾玖集 月圆之夜,92895
