排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,6000147,140084,31,5,23956,7770,32.43%,5.55%,第七集,93038
2,洄天 第一季,24382638,229824,49,7,20732,9020,43.51%,3.92%,花絮04 · 主役篇,86815
3,我在无限游戏里封神 第四季,4366000,121892,28,8,7732,5148,66.58%,4.22%,特别放送 · 副本通关大作战 · 百鬼夜行,86834
4,奇洛李维斯回信,47261193,532074,83,27,49667,25782,51.91%,4.85%,回信广播剧主创FT（上）,85974
5,再世权臣 第三季（下）,244414,16607,8,4,1017,839,82.50%,5.05%,第四集 ·  白鹿祥瑞,93437
6,早春晴朗,34000564,261784,57,24,21024,13789,65.59%,5.27%,完结FT,72230
7,情蛊,37075879,406595,67,48,49394,30477,61.70%,7.50%,完结FT·下,86178
8,娑婆,787654,28268,10,3,2831,442,15.61%,1.56%,第五集,93178
9,沉醉不醒,2720502,48858,30,12,3690,2076,56.26%,4.25%,第十期,86740
10,奇洛李维斯回信 番外篇,740699,52121,3,2,4018,3212,79.94%,6.16%,番外 ·  庆生宴,93420
11,天官赐福 第三季,69936287,258730,67,43,32259,26567,82.36%,10.27%,小剧场·元宵·花灯,82040
12,反差 全一季,7368601,57645,40,19,4272,2614,61.19%,4.53%,完结福利音·应晏哄睡,86684
13,我在无限游戏里封神 第三季,22280466,207875,91,21,28726,21234,73.92%,10.21%,破亿纪念单曲·神明所遗落的,81851
14,初三的六一儿童节,26961292,59501,287,255,6697,5451,81.39%,9.16%,番外9 跨年夜,85562
15,顶级掠食者 第二季,7354080,54736,48,17,5122,4120,80.44%,7.53%,OST·11永恒的吻,86789
16,天官赐福 第二季,71659609,348355,61,43,37675,34274,90.97%,9.84%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
17,天官赐福 第一季,84600647,949766,61,43,68197,36627,53.71%,3.86%,四千万福利·小剧场·从前有一位名师,52400
18,小蘑菇 第二季,50673595,496290,48,34,51249,47275,92.25%,9.53%,破亿福利·《风过荒野》主役版,39605
19,放学等我 第一季,51492043,814486,53,18,62882,36344,57.80%,4.46%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,30268952,435587,42,16,44479,34565,77.71%,7.94%,番外·恋爱纪念日,68837
21,于是麦麦决定离家出走,5241399,103114,48,30,9019,5501,60.99%,5.33%,花絮09,86179
22,吞海 第一季,50672340,522810,54,17,44668,27985,62.65%,5.35%,原创配乐·破晓,29187
23,交易沦陷,27704420,168985,138,99,16786,9791,58.33%,5.79%,特别福利·星空沦陷,54171
24,藏南晚星,18547739,196909,79,42,19678,14503,73.70%,7.37%,主题曲伴奏·途经,85110
25,降水概率百分百,902463,20924,18,5,1850,708,38.27%,3.38%,˚.⊹ 第八期 ♡₊˚,93005
26,小蘑菇 第一季,49642207,914745,33,17,58150,39021,67.10%,4.27%,白噪音·漫步荒原,29125
27,一颗苹果,12677566,146682,80,34,11970,5181,43.28%,3.53%,启动音试听 · 谢青寄,90818
28,太傅他人人喊打 第二季,3204965,41249,31,17,3313,2237,67.52%,5.42%,小剧场·《写字》,86723
29,我在无限游戏里封神 第一季,72214262,978800,64,14,76865,43120,56.10%,4.41%,线下漫展VLOG,52347
30,燎原,37407579,388065,43,34,39070,29739,76.12%,7.66%,FT,63688
31,我在无限游戏里封神 第二季（下）,19945875,245371,55,14,26988,23001,85.23%,9.37%,花絮06,76557
32,魔道祖师 第三季,295644182,1538738,66,56,97569,89961,92.20%,5.85%,传讯符·忘羡,22602
33,吞海 第二季,31987348,266686,56,19,25568,23802,93.09%,8.93%,新年祝福,67085
34,愚蠢的有钱人,828004,21334,59,46,1797,879,48.91%,4.12%,【花絮4】,93113
35,魔道祖师 第一季,258154960,2259265,39,22,96881,64524,66.60%,2.86%,主创FT<下>,15861
36,偷风不偷月 上季,8261346,129340,41,18,10502,5872,55.91%,4.54%,300w福利·楚识琛（沈若臻）·风月语录,71389
37,将进酒 第一季,105133471,1430482,59,16,78265,53365,68.19%,3.73%,完结FT,25944
38,吞海 第三季（上）,22118236,212626,38,16,18125,16972,93.64%,7.98%,OST·04 此地埋名,73221
39,某某 第一季,97449517,1705816,43,28,77339,45105,58.32%,2.64%,伴奏|《梧桐说》,58219
40,我在无限游戏里封神 第二季（上）,19914520,322795,42,11,33298,28835,86.60%,8.93%,花絮06,71605
41,吞海 第三季（下）,19075804,188707,51,18,18559,16808,90.57%,8.91%,破亿纪念•抒情主役版「晓」,76879
42,液态欲望 全一季,569304,26923,19,7,1680,743,44.23%,2.76%,花絮03,86692
43,陈年烈苟 第二季,15784980,123235,57,31,13944,13144,94.26%,10.67%,520限定 ✦ 主役版主题曲 《世界在他心头亮遍了角落》,73251
44,魔道祖师 第二季,170419647,1413900,41,37,88786,81512,91.81%,5.77%,主役FT（下）,19059
45,失忆后死对头成了我男朋友？,4835684,96900,44,20,6359,4280,67.31%,4.42%,花絮·陆云笙,86693
46,我喜欢你的信息素 第一季,99249036,1499638,48,21,72329,45051,62.29%,3.00%,四千万福利,58217
47,陈年烈苟 第一季,28363998,223943,62,21,20753,14213,68.49%,6.35%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
48,台风眼 第二季,29033786,153132,50,32,13423,12394,92.33%,8.09%,完结 FT,68664
49,台风眼 第一季,34578688,291317,53,20,20624,13041,63.23%,4.48%,千万福利·富士山在等一片云,52404
50,偷风不偷月 下季,3667613,63557,35,17,4633,4361,94.13%,6.86%,100W福利·白噪音,77591
