排名,剧名,播放量,订阅数,宣发策略,最新更新,剧集ID
1,天官赐福 第四季,12397160,135560,D2,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1461940,67794,D2,歌曲《狮心》（Live）Remix,94789
3,灯花笑 上季,4395475,62929,D2,突击采访,94733
4,尾钩,1034208,23980,D2,第29集 · 阿姆斯特丹,95503
5,你的雪人能活多久 第一季,1816155,62299,D2,第八集 · 爱神降临,93787
6,宋玉章 第一季,4855669,48275,D2,第八折 ·  沉溺芳华,86589
7,是心跳说谎 全一季,154196,7479,D2,第三集,95516
8,伏特加与曼特宁,2219307,67288,D2,第八期,92988
9,乘鸾 第一季,151001,5587,D2,第六集·火中取栗,94849
10,干涸地,2317072,95530,D2,火风L原著|干涸地·第三集,86725
11,全职高手广播剧第四季 上,94072,7131,D2,第一集,96092
12,沙子，时间，雨树,145969,8431,D2,"੭""导游和奇怪的客人·埃及博物馆",94825
13,嫡谋·第一季,439211,10714,D2,第十三集·「韩园探秘」,94462
14,二哈在狼群里疯狂造谣 第一季,264108,10363,D2,主题曲·恋爱使狼声名狼藉,94772
15,解瘾,676439,14934,D2,花絮6❃亲不动了要秃噜皮啦,94782
16,尚公主 第一季,29821,2737,D2,《尚公主》同名主题曲,95847
17,清白之年,643966,15761,D2,第十集·致橡树,94838
18,囚于永夜,1700630,34619,D2,番外 少爷的生日7,94916
19,炽火难熄 全一季,487150,22284,D2,第九集 · Estoy enamorado de ti,94917
20,触礁,507176,14198,D2,EP07⟢| 风和心脏 |,95034
21,绰约,2446863,33164,D2,律法小贴士·13则,86680
22,放学后别来我办公室 全一季,762947,20180,D2,第七课「等风来」,86868
23,沉浮事,1200467,18502,D2,云外篇·第八集,94775
24,搭界 第一季,553739,17380,D2,第十一集,94617
25,错登科  第一季,162048,5661,D2,第十集·解语花,94787
26,守寡后我重生了 第二季,180014,4780,D2,第七集,95212
27,穿进赛博游戏后干掉BOSS成功上位 第一季,107755,5025,B,第4集,95678
28,传闻,153897,8992,D2,✧主役采访 · 下期,95625
29,难言之欲,322308,11747,D2,E6,94857
30,愚蠢的有钱人 全一季,211688,8031,D2,第九集,94873
