排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,17445035,194794,32,0,13941,0,0.00%,花絮01,86815
2,我在无限游戏里封神 第四季,2314693,102112,12,1,4846,2028,41.85%,特别放送 · 当你进入到中式恐怖本,86834
3,奇洛李维斯回信,42115917,503978,79,23,46621,23628,50.68%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,33719411,379247,62,43,45694,28081,61.45%,花絮13,86178
5,于是麦麦决定离家出走,4280887,94819,30,17,7719,4611,59.74%,花絮03,86179
6,顶级掠食者 第二季,5635797,50029,26,10,4130,3102,75.11%,第十集,86789
7,一屋暗灯 全一季,442757,39203,4,0,3473,0,0.00%,伴奏▪不愈合,93038
8,一颗苹果,11467154,134832,78,32,10549,4296,40.72%,启动音试听 · 谢青寄,90818
9,早春晴朗,31086607,241903,57,24,19402,12720,65.56%,完结FT,72230
10,反差 全一季,6234718,49747,27,9,3180,1599,50.28%,第九集·孤注的告白,86684
11,沉醉不醒,1517228,39334,13,0,1981,0,0.00%,第三期,86740
12,天官赐福 第三季,67823861,250877,67,43,31414,25822,82.20%,小剧场·元宵·花灯,82040
13,初三的六一儿童节,23205837,49795,237,205,5513,4331,78.56%,番外1 小马的故事（5）,85562
14,美人印,454402,26938,10,3,1733,316,18.23%,第四集,92611
15,逐玉 第一季,4126694,70411,43,14,2195,976,44.46%,原创配乐 · 凶夜,89245
16,惹祸精,709461,26517,33,11,1283,610,47.54%,第十三集,90987
17,偷风不偷月 上季,7744982,123725,41,18,10147,5606,55.25%,300w福利·楚识琛（沈若臻）·风月语录,71389
18,我在无限游戏里封神 第三季,21056348,200305,91,21,27831,20434,73.42%,破亿纪念单曲·神明所遗落的,81851
19,天官赐福 第二季,69991612,341127,61,43,37041,33687,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
20,天官赐福 第一季,82640202,937162,61,43,67607,36283,53.67%,四千万福利·小剧场·从前有一位名师,52400
21,藏南晚星,17583914,189892,79,42,18752,13717,73.15%,主题曲伴奏·途经,85110
22,逐玉 第二季,599105,12404,8,1,389,43,11.05%,第四集 · 妒意,92520
23,再世权臣 第三季（上）,2050439,44628,31,8,2917,2068,70.89%,第八集 ·  何罪之有,86827
24,欢迎进入梦魇直播间 第二季,5130356,40398,21,9,2997,2090,69.74%,第九集 ♱ 三个问题,90985
25,放学等我 第一季,49762335,796414,53,18,62355,36313,58.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
26,太傅他人人喊打 第二季,2120007,36291,19,8,2545,1385,54.42%,花絮04,86723
27,放学等我 第二季,29254243,423698,42,16,44076,34676,78.67%,番外·恋爱纪念日,68837
28,偷风不偷月 下季,3331938,59435,35,17,4325,4054,93.73%,100W福利·白噪音,77591
29,吞海 第一季,49579329,513421,54,17,43925,27359,62.29%,原创配乐·破晓,29187
30,我在无限游戏里封神 第一季,70665953,965198,64,14,76324,42788,56.06%,线下漫展VLOG,52347
31,小蘑菇 第二季,49410897,489822,46,33,50246,46758,93.06%,全剧五千万福利,39605
32,重生之将门毒后 第二季,40269370,373049,83,26,49453,33161,67.06%,破亿福利·白噪音·花灯,52293
33,将进酒 第一季,104229620,1421055,59,16,78168,53296,68.18%,完结FT,25944
34,魔道祖师 第三季,294428966,1533695,66,56,97628,90059,92.25%,传讯符·忘羡,22602
35,恩客,649075,13887,23,10,760,265,34.87%,16·韩公馆,91870
36,魔道祖师 第一季,256926207,2247103,39,22,96767,64530,66.69%,主创FT<下>,15861
37,我在无限游戏里封神 第二季（下）,19134604,238343,55,14,26338,22407,85.07%,花絮06,76557
38,吞海 第二季,31273776,260782,56,19,24954,23217,93.04%,新年祝福,67085
39,你的距离,88977811,927067,70,27,78184,56126,71.79%,完结FT·主创版,31552
40,小蘑菇 第一季,48631269,904583,33,17,57923,38891,67.14%,白噪音·漫步荒原,29125
41,魔道祖师 第二季,169680411,1408935,41,37,88723,81480,91.84%,主役FT（下）,19059
42,吞海 第三季（上）,21602490,207188,38,16,17585,16451,93.55%,OST·04 此地埋名,73221
43,降水概率百分百,275100,13466,6,0,874,0,0.00%,˚.⊹ 第一期 ♡₊˚,93005
44,将进酒 第二季,71449903,806400,45,22,67034,60935,90.90%,第二季完结FT,30383
45,某某 第一季,96650406,1694030,43,28,77230,45022,58.30%,伴奏|《梧桐说》,58219
46,我喜欢你的信息素 第一季,98314472,1488699,48,21,72396,45228,62.47%,四千万福利,58217
47,重生之将门毒后 第一季,90899595,817664,82,27,88047,42130,47.85%,主役reaction·片段03,43922
48,吞海 第三季（下）,18509820,183114,51,18,17899,16171,90.35%,破亿纪念•抒情主役版「晓」,76879
49,纸飞机,9523227,180217,47,25,12703,7121,56.06%,小剧场 占有欲 ,53304
50,我在无限游戏里封神 第二季（上）,19369892,315715,42,11,32723,28320,86.54%,花絮06,71605
