排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,50035162,418710,D2,57,24,27426,17841,65.05%,4.26%,完结FT,72230
2,天官赐福 第四季,12646288,136256,D2,31,10,13368,7993,59.79%,5.87%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1559242,68454,D2,13,0,11096,0,0.00%,0.00%,歌曲《狮心》,94789
4,你的雪人能活多久 第一季,1868712,63063,D2,32,10,6029,1542,25.58%,2.45%,第八集 · 爱神降临,93787
5,宋玉章 第一季,4944572,48652,D2,28,5,3425,1498,43.74%,3.08%,第八折 ·  沉溺芳华,86589
6,奇洛李维斯回信,56055179,580450,D2,98,41,54300,29336,54.03%,5.05%,OST A12 · 暗恋基本法,85974
7,尾钩,1087459,24347,D2,42,23,2623,1681,64.09%,6.90%,第30集 · 郎峰的教堂,95503
8,全职高手广播剧第四季 上,100835,7378,D2,3,0,503,0,0.00%,0.00%,第一集,96092
9,天官赐福 第三季,74083066,278974,D2,68,44,34680,28773,82.97%,10.31%,小剧场·元宵·花灯,82040
10,情蛊,42794386,456038,D2,68,49,55175,34283,62.14%,7.52%,4000w福利·山大王,86178
11,灯花笑 上季,4445679,63230,D2,36,16,9000,2396,26.62%,3.79%,突击采访,94733
12,天官赐福 第一季,89350173,982438,D2,61,43,69168,37406,54.08%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,75448088,367367,D2,61,43,39251,35739,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,伏特加与曼特宁,2260104,67574,D2,34,9,3896,1720,44.15%,2.55%,第八期,92988
15,我在无限游戏里封神 第四季,8319799,147669,D2,56,15,12249,9699,79.18%,6.57%,特别放送 · emoji大挑战,86834
16,放学等我 第一季,55168921,846688,D2,53,18,61991,35872,57.87%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一屋暗灯 全一季,13482427,210647,D2,54,14,35112,16392,46.68%,7.78%,主役版主题曲▪未说的,93038
18,藏南晚星,20503792,211345,D2,81,44,21390,15906,74.36%,7.53%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32406623,456299,D2,42,16,44425,33839,76.17%,7.42%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298228810,1549698,D2,66,56,97601,89904,92.11%,5.80%,传讯符·忘羡,22602
21,魔道祖师 第一季,260958575,2289526,D2,39,22,97138,64633,66.54%,2.82%,主创FT<下>,15861
22,沉浮事,1235747,18719,D2,19,8,1995,1226,61.45%,6.55%,云外篇·第八集,94775
23,囚于永夜,1721013,34807,D2,200,161,3561,1174,32.97%,3.37%,番外 少爷的生日7,94916
