排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49580708,416377,D2,57,24,27304,17756,65.03%,4.26%,完结FT,72230
2,天官赐福 第四季,12146432,134846,D2,31,10,13156,7761,58.99%,5.76%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1354436,66946,D2,12,0,10766,0,0.00%,0.00%,歌曲《狮心》（Live）Remix,94789
4,宋玉章 第一季,4766885,47934,D2,28,5,3360,1446,43.04%,3.02%,第八折 ·  沉溺芳华,86589
5,尾钩,983877,23590,D2,35,21,2559,1621,63.35%,6.87%,第28集 · 心火微燃,95503
6,奇洛李维斯回信,55893811,579800,D2,98,41,54252,29285,53.98%,5.05%,OST A12 · 暗恋基本法,85974
7,你的雪人能活多久 第一季,1789759,61780,D2,31,9,5914,1434,24.25%,2.32%,小剧场04 · 密码,93787
8,情蛊,42676720,455195,D2,68,49,55123,34227,62.09%,7.52%,4000w福利·山大王,86178
9,天官赐福 第三季,73839972,278424,D2,68,44,34599,28698,82.94%,10.31%,小剧场·元宵·花灯,82040
10,灯花笑 上季,4331958,62587,D2,35,16,8948,2358,26.35%,3.77%,盛京杂谈·叁,94733
11,天官赐福 第一季,89125023,981698,D2,61,43,69128,37382,54.08%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,75236905,366837,D2,61,43,39203,35695,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,全职高手广播剧第四季 上,86334,6770,D2,3,0,481,0,0.00%,0.00%,第一集,96092
14,伏特加与曼特宁,2199532,67168,D2,33,8,3822,1632,42.70%,2.43%,主题曲·秩序失守,92988
15,我在无限游戏里封神 第四季,8274465,147338,D2,56,15,12209,9659,79.11%,6.56%,特别放送 · emoji大挑战,86834
16,满城衣冠 全一季,2889207,57942,D2,37,12,3712,1761,47.44%,3.04%,第13集 · 脱困,90878
17,一屋暗灯 全一季,13429981,210281,D2,54,14,35053,16346,46.63%,7.77%,主役版主题曲▪未说的,93038
18,放学等我 第一季,55086306,845980,D2,53,18,62006,35876,57.86%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
19,藏南晚星,20454049,211001,D2,81,44,21352,15871,74.33%,7.52%,✧2000万福利·番外·美梦,85110
20,放学等我 第二季,32353437,455836,D2,42,16,44407,33831,76.18%,7.42%,番外·恋爱纪念日,68837
21,魔道祖师 第三季,298167468,1549494,D2,66,56,97602,89908,92.12%,5.80%,传讯符·忘羡,22602
22,囚于永夜,1680636,34441,D2,200,161,3519,1155,32.82%,3.35%,番外 少爷的生日7,94916
23,魔道祖师 第一季,260898068,2289086,D2,39,22,97131,64628,66.54%,2.82%,主创FT<下>,15861
