排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,43482347,361520,57,24,D2,完结FT,72230
2,情蛊,41986453,449990,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,54902831,575008,98,41,D2,OST A12 · 暗恋基本法,85974
4,二哈和他的白猫师尊,167543134,3198632,84,0,B,概念曲-拜长久（+童声版）,20741
5,放学等我 第一季,54602772,842071,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
6,天官赐福 第四季,9589113,126039,26,5,D2,第三集·叫天不应叫地不灵,91718
7,灯花笑 上季,3480808,56270,28,11,D2,第14集,94733
8,囚于永夜,5399685,322510,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,87964551,977015,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,伪装学渣 第一季,103696084,1954591,30,17,D2,千万福利·“叫妈妈”,58262
11,你的雪人能活多久 第一季,1413219,56277,26,5,D2,雪人直播间第一期 · 雪人猜猜猜,93787
12,一屋暗灯 全一季,13088355,207775,54,14,D2,主役版主题曲▪未说的,93038
13,虚拟偶像团综丨《去世界尽头》,5808678,53258,45,0,B,第七期·自由身,94354
14,魔道祖师 第一季,260529642,2286072,39,22,D2,主创FT<下>,15861
15,我在无限游戏里封神 第一季,75042791,1004601,64,14,D2,线下漫展VLOG,52347
16,恒星时刻 第一季,504107,55522,3,0,D2,预告 · 肆,94789
17,伏特加与曼特宁,1941927,65247,25,4,D2,第五期,92988
18,台风眼 第一季,36061503,309922,53,20,D2,千万福利·富士山在等一片云,52404
19,干涸地,2147325,94206,2,0,D2,火风L原著|干涸地·正式预告,86725
20,我喜欢你的信息素 第一季,101062636,1521800,48,21,D2,四千万福利,58217
21,难哄,147582939,1582882,76,48,D2,破亿福利·纪念FT,38074
22,将进酒 第一季,106773860,1448572,59,16,D2,完结FT,25944
23,天官赐福 第三季,72750781,275462,68,44,D2,小剧场·元宵·花灯,82040
24,重生之将门毒后 第一季,95216600,843403,82,27,D2,主役reaction·片段03,43922
25,放学等我 第二季,32073442,453453,42,16,D2,番外·恋爱纪念日,68837
26,某某 第一季,98914131,1727695,43,28,D2,伴奏|《梧桐说》,58219
27,我在无限游戏里封神 第四季,8006045,145422,56,15,D2,特别放送 · emoji大挑战,86834
28,宋玉章 第一季,3874655,45465,22,2,D2,导演花絮01· 好多人啊,86589
29,囚于永夜,1407901,31589,200,161,D2,番外 少爷的生日7,94916
30,不二之臣,41371262,858125,16,0,B,大结局·下,25580
31,洄天 第一季,28417718,247994,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
32,一颗苹果,14043651,166241,82,35,C,完结FT · 谢谢光临,90818
33,小蘑菇 第一季,51065095,932638,33,17,D2,白噪音·漫步荒原,29125
34,见春天,13503663,235394,54,8,D2,魏清越书信·02,80533
35,娘娘腔,38707128,725707,31,0,B,主役听剧Reaction,46640
36,偷偷藏不住,203344060,2419959,89,54,D2,2亿福利·双人电话语音,34632
37,藏南晚星,20120602,209012,80,43,D2,七夕小剧场 · 小许老师买菜记,85110
38,天官赐福 第二季,74121593,363908,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,全球高考 第一季（全新版）,22092691,378052,37,11,D2,— 「全季完结FT」—,60289
40,不想了,9931515,115314,93,66,D2,500W福利·主役版主题曲《同谋》,70445
41,尾钩,452980,18669,18,6,D2,第13集 · 后退,95503
42,江医生 第一季,17230204,238755,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
43,二哈和他的白猫师尊,16743878,107518,669,603,D2,完结FT,81979
44,迪奥先生 第一季,79802507,1079488,30,15,D2,王氏破产 铃声,23329
45,再世权臣 第一季,22257433,262550,79,17,D2,花絮07,71321
46,虚拟偶像团综丨《NEW DAYS（一起又出发）》,31982376,115615,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
47,魔道祖师 第三季,297800061,1548255,66,56,D2,传讯符·忘羡,22602
