排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21540652,217583,39,4,18828,7040,37.39%,第六期,86815
2,一屋暗灯 全一季,3387297,107898,16,1,18027,3733,20.71%,花絮02,93038
3,我在无限游戏里封神 第四季,3392936,114153,21,5,6546,3906,59.67%,第五集 · 纸鬼桥,86834
4,奇洛李维斯回信,45035972,519857,79,23,48313,24737,51.20%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35576892,394660,67,48,47930,29479,61.50%,完结FT·下,86178
6,早春晴朗,32481909,251256,57,24,20297,13291,65.48%,完结FT,72230
7,沉醉不醒,2108692,43754,23,6,2999,1403,46.78%,ღ200万福利·晚安语音·苏墨,86740
8,初三的六一儿童节,25413084,55937,264,232,6155,4946,80.36%,番外3 兄弟（7）,85562
9,一颗苹果,12253623,142202,80,34,11480,4873,42.45%,启动音试听 · 谢青寄,90818
10,于是麦麦决定离家出走,4786419,99242,35,21,8449,5127,60.68%,花絮04,86179
11,我在无限游戏里封神 第三季,21702785,204561,91,21,28312,20866,73.70%,破亿纪念单曲·神明所遗落的,81851
12,愚蠢的有钱人,487811,17253,33,20,1418,564,39.77%,【花絮3】,93113
13,天官赐福 第三季,69099979,255017,67,43,31865,26235,82.33%,小剧场·元宵·花灯,82040
14,初三的六一儿童节 第二季（上）,383349,8392,5,2,672,378,56.25%,第三集 · 明德小事,93154
15,放学等我 第一季,50712151,806941,53,18,62593,36288,57.97%,1700W福利·P-特别小剧场「2022.12.2」,64911
16,反差 全一季,6848457,53739,33,15,3654,2036,55.72%,第十三集·向死之心,86684
17,娑婆,239732,18859,5,0,1814,0,0.00%,主题曲·莫拜观音,93178
18,降水概率百分百,632416,18234,12,1,1548,411,26.55%,˚.⊹ 第四期 ♡₊˚,93005
19,放学等我 第二季,29794492,430576,42,16,44230,34514,78.03%,番外·恋爱纪念日,68837
20,藏南晚星,18075597,193823,79,42,19270,14155,73.46%,主题曲伴奏·途经,85110
21,天官赐福 第二季,70975212,344975,61,43,37353,33970,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
22,恩客,1146805,17023,48,35,1345,865,64.31%,40·戒酒,91870
23,顶级掠食者 第二季,6535762,52685,31,13,4567,3552,77.78%,第十三集,86789
24,天官赐福 第一季,83807946,943838,61,43,67936,36454,53.66%,四千万福利·小剧场·从前有一位名师,52400
25,我在无限游戏里封神 第一季,71507076,972868,64,14,76648,42961,56.05%,线下漫展VLOG,52347
26,惹祸精,976582,29924,38,14,1633,887,54.32%,花絮4.0,90987
27,再世权臣 第三季（下）,46610,6885,2,0,272,0,0.00%,日历语音 · 梦中人,93437
28,太傅他人人喊打 第二季,2724697,39140,25,13,2919,1814,62.14%,第十二集,86723
29,吞海 第一季,50145979,518277,54,17,44306,27655,62.42%,原创配乐·破晓,29187
30,再世权臣 第三季（上）,2507183,47222,34,10,3434,2635,76.73%,第十集 ·  再度启程,86827
31,我在无限游戏里封神 第二季（下）,19559885,242243,55,14,26690,22720,85.13%,花絮06,76557
32,魔道祖师 第三季,295057895,1536582,66,56,97607,90016,92.22%,传讯符·忘羡,22602
33,欢迎进入梦魇直播间 第二季,5928376,43845,28,11,3419,2463,72.04%,《今日没说法》⑤ ·「不平安疗养院」,90985
34,偷风不偷月 上季,8014079,126745,41,18,10337,5754,55.66%,300w福利·楚识琛（沈若臻）·风月语录,71389
35,魔道祖师 第一季,257562660,2253768,39,22,96859,64551,66.64%,主创FT<下>,15861
36,你的距离,89456807,929996,70,27,78292,56194,71.77%,完结FT·主创版,31552
37,交易沦陷,26731902,164378,138,99,16372,9532,58.22%,特别福利·星空沦陷,54171
38,我在无限游戏里封神 第二季（上）,19659568,319723,42,11,33032,28605,86.60%,花絮06,71605
39,吞海 第二季,31636384,263886,56,19,25256,23504,93.06%,新年祝福,67085
40,某某 第一季,97072018,1700467,43,28,77233,45100,58.39%,伴奏|《梧桐说》,58219
41,吞海 第三季（上）,21860769,210097,38,16,17858,16715,93.60%,OST·04 此地埋名,73221
42,小蘑菇 第二季,50120312,492907,46,33,50406,46904,93.05%,全剧五千万福利,39605
43,将进酒 第一季,104683671,1425987,59,16,78171,53300,68.18%,完结FT,25944
44,魔道祖师 第二季,170062936,1411758,41,37,88800,81535,91.82%,主役FT（下）,19059
45,偷风不偷月 下季,3499892,61653,35,17,4489,4216,93.92%,100W福利·白噪音,77591
46,初三的六一儿童节 第一季,11198315,56457,53,16,3257,1575,48.36%,新年♥快乐,85497
47,台风眼 第二季,28782608,150883,50,32,13247,12234,92.35%,完结 FT,68664
48,台风眼 第一季,34186709,287326,53,20,20293,12840,63.27%,千万福利·富士山在等一片云,52404
49,我喜欢你的信息素 第一季,98808637,1494480,48,21,72342,45089,62.33%,四千万福利,58217
50,吞海 第三季（下）,18789853,186035,51,18,18210,16471,90.45%,破亿纪念•抒情主役版「晓」,76879
