排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,49427358,415484,57,24,D2,完结FT,72230
2,情蛊,42632310,454850,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,55047838,845617,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55833385,579478,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,168110867,3202203,84,0,B,概念曲-拜长久（+童声版）,20741
6,小蘑菇 第一季,51317481,934370,33,17,D2,白噪音·漫步荒原,29125
7,天官赐福 第四季,11948585,134320,31,10,D2,新年小剧场《压岁钱》,91718
8,灯花笑 上季,4280159,62241,34,16,D2,花絮叁,94733
9,恒星时刻 第一季,1218358,65721,10,0,D2,第三集♬Post Punk,94789
10,天官赐福 第一季,89048157,981380,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,虚拟偶像团综丨《去世界尽头》,6810871,55567,50,0,B,LASER&MANTA纯享版·《奔赴》,94354
12,难哄,147943757,1585688,76,48,D2,破亿福利·纪念FT,38074
13,不二之臣,41628640,861406,16,0,B,大结局·下,25580
14,干涸地,2301225,95397,5,2,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7710232,116912,46,13,D2,花絮03,81597
16,伪装学渣 第一季,103837926,1956391,30,17,D2,千万福利·“叫妈妈”,58262
17,囚于永夜,5453924,324130,1,0,B,织音发布会纯享PV · 概念预告,86822
18,魔道祖师 第一季,260876767,2288872,39,22,D2,主创FT<下>,15861
19,你的雪人能活多久 第一季,1765473,61274,31,9,D2,小剧场04 · 密码,93787
20,台风眼 第一季,36262133,312269,53,20,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107056049,1450716,59,16,D2,完结FT,25944
22,一屋暗灯 全一季,13405710,210068,54,14,D2,主役版主题曲▪未说的,93038
23,偷偷藏不住,203625312,2421687,89,54,D2,2亿福利·双人电话语音,34632
24,我在无限游戏里封神 第一季,75335800,1006970,64,14,D2,线下漫展VLOG,52347
25,重生之将门毒后 第一季,95629960,845685,82,27,D2,主役reaction·片段03,43922
26,某某 第一季,99114053,1729601,43,28,D2,伴奏|《梧桐说》,58219
