排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,恒星时刻 第一季,504134,55522,D2,3,0,预告 · 肆,94789
2,天官赐福 第四季,9589176,126039,D2,26,5,第三集·叫天不应叫地不灵,91718
3,灯花笑 上季,3480845,56270,D2,28,11,第14集,94733
4,尾钩,453011,18669,D2,18,6,第13集 · 后退,95503
5,你的雪人能活多久 第一季,1413230,56277,D2,26,5,雪人直播间第一期 · 雪人猜猜猜,93787
6,虚拟偶像团综丨《去世界尽头》,5808687,53258,B,45,0,第七期·自由身,94354
7,伏特加与曼特宁,1941953,65247,D2,25,4,第五期,92988
8,干涸地,2147329,94206,D2,2,0,火风L原著|干涸地·正式预告,86725
9,宋玉章 第一季,3874731,45465,D2,22,2,导演花絮01· 好多人啊,86589
10,沉浮事,886467,16829,D2,17,6,浊世篇·第六集,94775
11,满城衣冠 全一季,2565844,55565,D2,33,9,白噪音 · 苏苏念经,90878
12,穿进赛博游戏后干掉BOSS成功上位 第一季,54795,3944,B,6,0,第2集,95678
13,炽火难熄 全一季,375967,2406,B,16,4,花絮03 ·“你好香啊”,94917
14,囚于永夜,1407908,2406,B,200,161,番外 少爷的生日7,94916
15,大王万万不可！ 第一季,436268,2406,B,26,9,第十二集·红尘诸事,94259
16,放学后别来我办公室 全一季,649318,2406,B,13,1,第四课「好想退休」,86868
17,谁来言说夜晚 上季,1742899,2406,B,92,55,第72集,94321
18,触礁,344716,2406,B,18,6,✰花絮·03✰,95034
19,嫡谋·第一季,387248,2406,B,17,8,第十集·「姻局初布」,94462
20,守寡后我重生了 第二季,112299,2406,B,12,3,第四集,95212
21,绰约,2275031,2406,B,41,9,律法小贴士·10则,86680
22,我花开后百花杀 第一季,125261,0,0,0,0,第四集 · 旗鼓相当,94893
23,搭界 第一季,474509,2406,B,25,12,主役采访 02,94617
24,清白之年,528044,2406,B,20,1,第七集·与子成说,94838
25,解瘾,522164,0,0,0,0,花絮5❃上海话我们也不会啊,94782
26,任东西,74356,0,0,0,0,任东西·第六集,94860
27,金陵春 第一季,172972,0,0,15,5,第八集,94497
28,赤霞珠,333637,0,0,0,0,处暑福利音·饮酒小贴士·唐渡,95114
29,愚蠢的有钱人 全一季,180402,0,0,0,0,开学欢迎语·谢思文,94873
30,错登科  第一季,129314,2406,B,14,6,《错登科》第七集·封诰命,94787
94787
