排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,23885739,227863,47,7,1500W特别福利 · 白晟的小算盘,86815
2,一屋暗灯 全一季,5469945,134857,28,4,伴奏▪未说的,93038
3,我在无限游戏里封神 第四季,4189517,120424,27,8,第八集 · 百鬼夜行,86834
4,沉醉不醒,2576339,47526,28,10,第九期,86740
5,奇洛李维斯回信 番外篇,697922,50312,3,2,番外 ·  庆生宴,93420
6,入蛊 全一季,227395,11864,6,0,Ⱄⱄᐝ第三回,93646
7,娑婆,729490,27549,8,1,第四集,93178
8,再世权臣 第三季（下）,205259,15619,6,3,第三集 · 启程南京,93437
9,秋燥 第一季,100507,9992,5,0,主题曲《秋潮》伴奏,93438
10,愚蠢的有钱人,734577,19815,54,41,【花絮4】,93113
11,沉入地球,89499,5356,18,2,主题曲 · 异世界见,93569
12,禁区,310265,11033,51,27,34 要疯,92575
13,液态欲望 全一季,516484,25983,16,5,花絮2,86692
14,欲言难止,124133,6497,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
15,语义错误 第一季,3764499,26287,27,10,Ep.12 YELLOW,92155
16,蜉蝣,286632,17067,10,0,ೀ˖˚ 主题曲·浮游·伴奏,93202
17,美人印,646801,29930,20,11,小剧场4-浮生若梦,92611
18,落火 全一季,309415,14908,16,6,第八集,92245
19,逐玉 第二季,825809,15072,19,7,小剧场③ · 吃醋记,92520
20,降水概率百分百,848552,20477,17,4,˚.⊹ 第七期 ♡₊˚,93005
21,余污 第一季,273814,13812,12,3,第五期,92701
22,沉浮事,344532,11160,60,50,第伍拾柒集 物归原主,92895
23,初三的六一儿童节 第二季（上）,884495,10019,10,5,第六集 · 亲传门徒,93154
24,你的雪人能活多久 第一季,22751,10238,1,0,祝知希生日快乐,93787
25,伏特加与曼特宁,242702,10059,50,41,°☆. 第46集 « *,92968
26,不良执念清除师 全一季,1135912,10719,18,5,第八集·父子情深,86818
27,闭嘴，你这假粉 全一季,2012352,24886,33,20,番外2 · 一日为友，终生为父,87641
28,嫁入高门的人,137051,4792,35,24,第30集,93169
29,全球进化后我站在食物链顶端 第二季（下）,166754,10174,11,7,第二十二集,92775
30,怀火 全一季,194807,10645,21,7,第八集·余生共赴,91418
