排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
86,提灯看刺刀 上季,15111647,245233,D2,32,8,花絮·韩楚,77771
87,封建糟粕,16345864,158128,D2,143,110,充电·李叔堂,87589
88,逐玉 第一季,4731916,75234,D2,43,14,原创配乐 · 凶夜,89245
89,二哈在狼群里疯狂造谣 第一季,304993,10997,D2,11,0,第2集·无中生崽,94772
90,娑婆,2147820,39785,D2,33,22,第十九集,93178
91,别来无恙 第一季,23577615,460689,D2,48,22,1000W福利•《满心》（合唱版）,37937
92,虚拟偶像综艺丨《险象环声》,84916072,440260,B,138,0,三千万福利·偶像问答,38165
93,秉性下等,26524333,210097,D2,99,35,两千万福利·时间的情书,64528
94,台风眼 第二季,30206173,165613,D2,50,32,完结 FT,68664
95,破云 第一季,59642869,1107596,D2,20,15,圣诞特辑,59047
96,我在无限游戏里封神 第二季（下）,21554804,259638,D2,55,14,花絮06,76557
97,你就当我死了吧  全一季,13383977,255412,B,30,0,主役版主题曲（纯享）,76841
98,偏偏宠爱,18019668,368601,D2,49,13,四百万语音·江忍,52353
99,欢迎进入梦魇直播间 第一季,24293511,200253,D2,62,20,完结FT,75856
100,骄阳似我 全一季,3953340,41700,D2,40,15,百万彩蛋 · 白噪音小剧场,90737
