排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,2150977,85356,13,0,特别放送▪《我与地坛》片段纯享,93038
2,洄天 第一季,20119899,210220,36,2,500W特别福利 · 上岸宝典,86815
3,我在无限游戏里封神 第四季,2913010,109732,16,3,特别放送 · 大型恐怖游戏联赛火热进行中Ⅲ,86834
4,顶级掠食者 第二季,6218220,51751,30,12,第十二集,86789
5,娑婆,18705,4509,1,0,预告一•娑婆世,93178
6,沉醉不醒,1880911,42224,18,4,第五期,86740
7,再世权臣 第三季（上）,2372492,46496,34,10,第十集 ·  再度启程,86827
8,秋燥 第一季,9523,2442,1,0,声展,93438
9,降水概率百分百,547574,16750,10,0,˚.⊹ 第三期 ♡₊˚,93005
10,液态欲望 全一季,161973,16113,4,0,预告,86692
11,欢迎进入梦魇直播间 第二季,5707683,42620,26,11,《非诚忽扰》第５期,90985
12,语义错误 第一季,3262323,24096,21,6,200W · 宰英's MUSIC TIME,92155
13,愚蠢的有钱人,353990,15584,21,9,【花絮2】,93113
14,反差 全一季,6670264,52306,31,13,第十一集·选择坠落,86684
15,太傅他人人喊打 第二季,2514018,37982,22,10,花絮05,86723
16,君有疾否,1372326,31246,78,50,第61集,90896
17,恩客,970990,15873,37,24,30·金戈,91870
18,初三的六一儿童节 第二季（上）,192600,7003,4,1,第二集 · 监狱风云,93154
19,美人印,527322,28229,13,5,第六集,92611
20,闭嘴，你这假粉 全一季,1851365,22079,33,20,番外2 · 一日为友，终生为父,87641
21,嫁入高门的人,57167,3665,11,2,第8集,93169
22,伏特加与曼特宁,145946,8950,20,11,°☆. 第16集 « *,92968
23,逐玉 第二季,681018,13565,11,3,第六集 · 不念,92520
24,迟爱,132875,6306,9,1,第四集,92710
25,沉浮事,154908,8467,26,16,第贰拾叁集 投诚,92895
26,穿成阴鸷反派的联姻对象 第二季,713605,21397,24,15,小剧场·你不礼貌,91771
27,禁区,62463,5371,7,0,倒计时1天|江迟景x郑明弈,92575
28,重回我爸少年时 第一季,1281380,16373,45,15,小剧场-谁是谁爹,91872
29,吞雨,266209,12391,23,7,花絮04,91589
30,六州歌头 下季,652135,8603,85,80,84 阴阳两相隔,92061
