排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,3928133,68816,43,14,2143,937,43.72%,原创配乐 · 凶夜,89245
2,奇洛李维斯回信,39632271,495352,79,23,45736,23018,50.33%,花絮09 ·小花絮又又又又又来了,85974
3,洄天 第一季,12352037,167430,26,0,7038,0,0.00%,倒计时2天,86815
4,情蛊,32405818,369345,60,41,44339,27186,61.31%,花絮12,86178
5,二哈和他的白猫师尊,159857028,3137372,69,0,121370,0,0.00%,第肆季-第七期,20741
6,一颗苹果,10408721,129930,66,25,9752,3614,37.06%,花絮06 · 推广,90818
7,放学等我 第一季,49230227,790966,53,18,62263,36328,58.35%,1700W福利·P-特别小剧场「2022.12.2」,64911
8,囚于永夜,3938423,249771,1,0,1822,0,0.00%,织音发布会纯享PV · 概念预告,86822
9,重生之将门毒后 第一季,90380795,814986,82,27,87883,42020,47.81%,主役reaction·片段03,43922
10,天官赐福 第一季,81241229,932944,61,43,67436,36168,53.63%,四千万福利·小剧场·从前有一位名师,52400
11,天官赐福 第四季,3303082,61156,10,0,4840,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3743720,89397,25,15,6718,3748,55.79%,第十期,86179
13,魔道祖师 第一季,256534056,2243248,39,22,96719,64511,66.70%,主创FT<下>,15861
14,我在无限游戏里封神 第一季,70117834,960700,64,14,76130,42652,56.03%,线下漫展VLOG,52347
15,逐玉 第二季,454102,10265,6,0,264,0,0.00%,第二集 · 夜会,92520
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23341936,105097,88,0,33124,0,0.00%,《一个房间》幕后花絮·杀青之今晚干点啥,84529
17,将进酒 第一季,103911401,1417811,59,16,78096,53237,68.17%,完结FT,25944
18,我在无限游戏里封神 第四季,1534118,90739,3,0,2848,0,0.00%,特别放送 · 大型恐怖游戏联赛火热进行中Ⅰ,86834
19,反差 全一季,5810921,46880,24,7,2855,1300,45.53%,愚人节福利花絮,86684
20,我喜欢你的信息素 第一季,97988547,1485212,48,21,72298,45207,62.53%,四千万福利,58217
21,早春晴朗,30333483,236469,57,24,18977,12451,65.61%,完结FT,72230
22,小蘑菇 第一季,48277028,901392,33,17,57857,38857,67.16%,白噪音·漫步荒原,29125
23,伪装学渣 第一季,101392791,1912945,30,17,80091,47125,58.84%,千万福利·“叫妈妈”,58262
24,放学等我 第二季,28930616,420234,42,16,43991,34736,78.96%,番外·恋爱纪念日,68837
25,娘娘腔,35660535,688010,31,0,69635,0,0.00%,主役听剧Reaction,46640
26,天官赐福 第三季,65869529,247983,66,42,31124,25541,82.06%,花絮·不坠主役,82040
27,语义错误 第一季,2070760,20648,11,1,1435,216,15.05%,Ep.04 SHIFT,92155
28,藏南晚星,17246720,187199,79,42,18383,13410,72.95%,主题曲伴奏·途经,85110
29,美人印,287336,22393,5,0,1303,0,0.00%,第二集,92611
30,某某 第一季,96403531,1690716,43,28,77258,45013,58.26%,伴奏|《梧桐说》,58219
31,初三的六一儿童节,21466380,46014,218,189,4784,3622,75.71%,Chapter.106A 赴汤蹈火（上）,85562
32,顶级掠食者 第二季,4588326,47662,21,8,3759,2728,72.57%,第八集,86789
33,重生之将门毒后 第二季,39971555,371596,83,26,49275,33015,67.00%,破亿福利·白噪音·花灯,52293
34,偷偷藏不住,200912279,2408697,89,54,139542,82470,59.10%,2亿福利·双人电话语音,34632
35,交易沦陷,25369743,157640,138,99,15731,9167,58.27%,特别福利·星空沦陷,54171
36,见春天,12022688,216842,54,8,26497,8230,31.06%,魏清越书信·02,80533
37,不二之臣,40054725,840288,16,0,49560,0,0.00%,大结局·下,25580
38,二哈和他的白猫师尊,13530684,91625,669,603,8985,4313,48.00%,完结FT,81979
39,难哄,144803940,1566455,76,48,98221,61076,62.18%,破亿福利·纪念FT,38074
40,全球高考 第一季（全新版）,20027660,353314,37,11,21397,9915,46.34%,— 「全季完结FT」—,60289
41,我在无限游戏里封神 第三季,20608395,197680,91,21,27486,20169,73.38%,破亿纪念单曲·神明所遗落的,81851
42,台风眼 第一季,33287873,279172,53,20,19665,12471,63.42%,千万福利·富士山在等一片云,52404
43,失忆后死对头成了我男朋友？,4263450,91111,44,20,5756,3803,66.07%,花絮·陆云笙,86693
44,魔道祖师 第三季,294023843,1532085,66,56,97580,90018,92.25%,传讯符·忘羡,22602
45,针锋对决,36899159,914071,19,0,53580,0,0.00%,完结FT  互动问答,19249
46,再世权臣 第一季,20158661,246886,79,17,22729,10619,46.72%,花絮07,71321
47,骄阳似我 全一季,2887064,32644,37,15,941,355,37.73%,小剧场②我给你讲个故事,90737
48,君有疾否,1083055,29067,49,21,1303,243,18.65%,第32集,90896
49,天官赐福 第二季,68531749,338637,61,43,36843,33505,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
50,悬日 上季,10748667,144833,52,18,16706,5979,35.79%,ଫ苏洄生日福利,88192
