排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,7944098,164297,36,7,福利彩蛋·三折叠,93038
2,洄天 第一季,26108865,237010,54,10,第十二期,86815
3,虚拟偶像团综丨《去世界尽头》,150679,19589,2,0,MANTA端午特辑·“五”福临门,94354
4,我在无限游戏里封神 第四季,5237938,128238,35,11,第十一集 · 如何拥有五栋楼,86834
5,沉醉不醒,3145544,52384,35,17,დ300万福利剧场·小狗,86740
6,谁来言说夜晚 上季,56062,5106,3,0,蒋贺之·长留,94321
7,愚蠢的有钱人,1236610,26257,82,66,【迷你小剧场：一起学习】,93113
8,禁区,488434,12424,83,56,56 眩晕,92575
9,奇洛李维斯回信 番外篇,862682,57731,3,2,番外 ·  庆生宴,93420
10,只想和你好好的,123327,5735,7,0,✧ 第二期 ✧,94176
11,入蛊 全一季,518907,17040,13,6,Ⱄⱄᐝ第九回,93646
12,精神科医生神经了,154458,10785,15,0,处方三✫空白（下）,93567
13,娑婆,997617,30415,14,6,作者原创小剧场·端午节,93178
14,再世权臣 第三季（下）,382772,19226,11,6,第六集 ·  夫俱往矣,93437
15,液态欲望 全一季,700136,29112,24,11,番外·谣言,86692
16,门生故旧,314990,13177,22,10,☆ 15·信徒,93774
17,你克制一点 全一季,871676,25269,23,10,花絮④,87343
18,前世物语,18502,1758,11,0,第二期,94086
19,欲言难止,298889,11485,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
20,沉浮事,540107,14200,83,72,花絮-贰,92895
21,降水概率百分百,1100523,22596,23,7,端午语音 ♡ 求雨符,93005
22,蜉蝣,465955,20268,17,4,ೀ˖˚ 端午祝福,93202
23,秋燥 第一季,257397,12808,10,1,花絮①,93438
24,理想型,234020,4766,2,0,正式预告·IDEAL TYPE,93439
25,大王万万不可！ 第一季,77384,9084,7,0,端午,94259
26,闭嘴，你这假粉 全一季,2063771,25834,33,20,番外2 · 一日为友，终生为父,87641
27,逆鳞 第一季,196975,11193,11,0,端午节福利音,93750
28,初三的六一儿童节 第二季（上）,1657517,11492,16,8,第九集 · 花前喜事,93154
29,嫁入高门的人,222659,5655,51,39,番外45,93169
30,当你叫醒我,127939,4424,2,0,主题曲《烧过的木头》,94268
