排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,19075897,203860,34,1,16583,4402,26.55%,沈酌生日福利 · 东方玄学,86815
2,我在无限游戏里封神 第四季,2626616,106236,14,2,5435,2709,49.84%,特别放送 · 大型恐怖游戏联赛火热进行中Ⅱ,86834
3,一屋暗灯 全一季,1315823,68749,10,0,8097,0,0.00%,通话语音·宋谨,93038
4,奇洛李维斯回信,43337778,508024,79,23,47032,23902,50.82%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,34241301,383607,63,44,46254,28408,61.42%,花絮14,86178
6,早春晴朗,31603302,245823,57,24,19708,12923,65.57%,完结FT,72230
7,于是麦麦决定离家出走,4458766,96513,31,18,7990,4815,60.26%,小剧场✦三分钟热度,86179
8,沉醉不醒,1689752,40784,14,1,2343,590,25.18%,第四集,86740
9,顶级掠食者 第二季,6005945,50963,28,11,4268,3244,76.01%,第十一集,86789
10,一颗苹果,11814201,137587,80,34,10896,4534,41.61%,启动音试听 · 谢青寄,90818
11,反差 全一季,6539741,51109,30,12,3331,1741,52.27%,彩蛋·总裁助理的自我修养,86684
12,初三的六一儿童节,24130627,51675,244,212,5710,4526,79.26%,番外2 小陆的故事（7）,85562
13,天官赐福 第三季,68515638,252095,67,43,31544,25938,82.23%,小剧场·元宵·花灯,82040
14,惹祸精,797883,27870,35,13,1397,696,49.82%,彩蛋小剧场·《连天雪心情记录》,90987
15,我在无限游戏里封神 第三季,21255842,201628,91,21,27969,20557,73.50%,破亿纪念单曲·神明所遗落的,81851
16,偷风不偷月 上季,7839477,124839,41,18,10219,5663,55.42%,300w福利·楚识琛（沈若臻）·风月语录,71389
17,天官赐福 第二季,70467758,342270,61,43,37131,33773,90.96%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
18,天官赐福 第一季,83237741,939091,61,43,67701,36342,53.68%,四千万福利·小剧场·从前有一位名师,52400
19,藏南晚星,17734557,191136,79,42,18922,13858,73.24%,主题曲伴奏·途经,85110
20,美人印,496588,27704,12,4,1804,384,21.29%,ost《诱他》,92611
21,放学等我 第一季,50025547,799374,53,18,62361,36279,58.18%,1700W福利·P-特别小剧场「2022.12.2」,64911
22,恩客,846354,15115,30,17,894,395,44.18%,23·装模作样,91870
23,再世权臣 第三季（上）,2232195,45567,33,9,3136,2309,73.63%,第九集 ·  百岁何欢,86827
24,欢迎进入梦魇直播间 第二季,5493412,41627,23,10,3119,2212,70.92%,《非诚忽扰》第４期,90985
25,放学等我 第二季,29410358,425639,42,16,44141,34654,78.51%,番外·恋爱纪念日,68837
26,偷风不偷月 下季,3388517,60224,35,17,4372,4100,93.78%,100W福利·白噪音,77591
27,降水概率百分百,469119,15685,8,0,1108,0,0.00%,˚.⊹ 第二期 ♡₊˚,93005
28,我在无限游戏里封神 第一季,70905700,967346,64,14,76399,42835,56.07%,线下漫展VLOG,52347
29,太傅他人人喊打 第二季,2391147,37214,20,9,2652,1516,57.16%,第九集,86723
30,吞海 第一季,49770742,514851,54,17,44030,27453,62.35%,原创配乐·破晓,29187
31,魔道祖师 第三季,294619320,1534550,66,56,97644,90073,92.25%,传讯符·忘羡,22602
32,小蘑菇 第二季,49856673,490791,46,33,50299,46808,93.06%,全剧五千万福利,39605
33,你的距离,89147767,928012,70,27,78226,56148,71.78%,完结FT·主创版,31552
34,将进酒 第一季,104369923,1422583,59,16,76229,53310,69.93%,完结FT,25944
35,我在无限游戏里封神 第二季（下）,19261635,239484,55,14,26432,22496,85.11%,花絮06,76557
36,魔道祖师 第一季,257109585,2249010,39,22,96807,64551,66.68%,主创FT<下>,15861
37,逐玉 第二季,646716,13062,10,2,425,75,17.65%,第五集 · 诛心,92520
38,吞海 第二季,31386675,261736,56,19,25057,23316,93.05%,新年祝福,67085
39,吞海 第三季（上）,21681078,208067,38,16,17667,16532,93.58%,OST·04 此地埋名,73221
40,重生之将门毒后 第二季,40401093,373724,83,26,49529,33217,67.07%,破亿福利·白噪音·花灯,52293
41,魔道祖师 第二季,169793786,1409745,41,37,88753,81502,91.83%,主役FT（下）,19059
42,小蘑菇 第一季,48919084,906111,33,17,57947,38901,67.13%,白噪音·漫步荒原,29125
43,某某 第一季,96769778,1695879,43,28,77281,45066,58.31%,伴奏|《梧桐说》,58219
44,我在无限游戏里封神 第二季（上）,19454569,316870,42,11,32798,28390,86.56%,花絮06,71605
45,吞海 第三季（下）,18597007,184006,51,18,17996,16262,90.36%,破亿纪念•抒情主役版「晓」,76879
46,将进酒 第二季,71545239,807002,45,22,67070,60970,90.91%,第二季完结FT,30383
47,我喜欢你的信息素 第一季,98465043,1490372,48,21,72462,45232,62.42%,四千万福利,58217
48,欢迎进入梦魇直播间 第一季,22767491,187245,62,20,18897,8219,43.49%,完结FT,75856
49,逐玉 第一季,4184511,70796,43,14,2219,991,44.66%,原创配乐 · 凶夜,89245
50,破云 第一季,58503230,1083392,20,15,43114,25763,59.76%,圣诞特辑,59047
