排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,恒星时刻 第一季,628332,58222,D2,4,0,第一集♬R&R,94789
2,天官赐福 第四季,9845843,127291,D2,27,6,第四集·不能尽善问心有憾,91718
3,虚拟偶像团综丨《去世界尽头》,5883086,53419,B,46,0,第八期·落九天,94354
4,干涸地,2176057,94381,D2,3,0,火风L原著|干涸地·第一集,86725
5,灯花笑 上季,3552478,56863,D2,28,11,第14集,94733
6,尾钩,515180,19528,D2,20,8,第15集 · 勇往,95503
7,宋玉章 第一季,3993827,45653,D2,23,3,第六折 ·  瞒天过海,86589
8,你的雪人能活多久 第一季,1448913,56699,D2,27,6,小剧场03 · 戒指,93787
9,伏特加与曼特宁,1972250,65482,D2,26,4,✦店长来啦！⑤,92988
10,满城衣冠 全一季,2597502,55823,D2,33,9,白噪音 · 苏苏念经,90878
11,搭界 第一季,487109,16727,D2,26,13,第九集,94617
12,炽火难熄 全一季,391453,20986,D2,17,5,第七集 · 喜不喜欢？,94917
13,放学后别来我办公室 全一季,664759,19199,D2,14,2,小剧场「大扫除」,86868
14,囚于永夜,1439027,31936,D2,200,161,番外 少爷的生日7,94916
15,绰约,2292629,32783,D2,42,10,第十一集·活该,86680
16,穿进赛博游戏后干掉BOSS成功上位 第一季,65943,4245,B,6,0,第2集,95678
17,谁来言说夜晚 上季,1787656,16054,D2,94,57,第74集,94321
18,沉浮事,922552,16990,D2,17,6,浊世篇·第六集,94775
19,大王万万不可！ 第一季,450784,15581,D2,26,9,第十二集·红尘诸事,94259
20,合笼蛊,531435,9675,D2,20,7,第九集·亲吻,94418
21,嫡谋·第一季,391543,9987,D2,17,8,第十集·「姻局初布」,94462
22,清白之年,537099,14939,D2,21,2,小剧场·肯德基,94838
23,茱丽叶塔 全一季,73619,5920,D2,22,3,「第六集」“亿万颗星中的花”,95106
24,守寡后我重生了 第二季,118062,3908,D2,12,3,第四集,95212
25,是心跳说谎 全一季,45164,4168,D2,4,0,24小时倒计时,95516
26,触礁,364188,13125,D2,18,6,✰花絮·03✰,95034
27,我花开后百花杀 第一季,128475,4761,D2,10,0,第四集 · 旗鼓相当,94893
28,赤霞珠,341799,13239,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
29,错登科  第一季,132842,5196,D2,14,6,《错登科》第七集·封诰命,94787
30,解瘾,534407,14112,D2,26,5,花絮5❃上海话我们也不会啊,94782
