排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,20116383,210202,36,2,17527,5605,31.98%,500W特别福利 · 上岸宝典,86815
2,我在无限游戏里封神 第四季,2912086,109724,16,3,5861,3184,54.33%,特别放送 · 大型恐怖游戏联赛火热进行中Ⅲ,86834
3,一屋暗灯 全一季,2146464,85264,13,0,11746,0,0.00%,特别放送▪《我与地坛》片段纯享,93038
4,奇洛李维斯回信,44001406,512614,79,23,47414,24174,50.98%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,34715808,387840,63,44,46798,28747,61.43%,花絮14,86178
6,早春晴朗,32013841,248310,57,24,19950,13098,65.65%,完结FT,72230
7,沉醉不醒,1880016,42216,18,4,2730,1122,41.10%,第五期,86740
8,于是麦麦决定离家出走,4588352,97452,33,20,8141,4922,60.46%,婚礼OST♪麦麦的婚礼进行曲,86179
9,一颗苹果,12003264,139408,80,34,11134,4677,42.01%,启动音试听 · 谢青寄,90818
10,初三的六一儿童节,24665611,53351,251,219,5876,4688,79.78%,番外2 小陆的故事（14）,85562
11,天官赐福 第三季,68764057,253215,67,43,31664,26042,82.24%,小剧场·元宵·花灯,82040
12,反差 全一季,6669908,52303,31,13,3467,1879,54.20%,第十一集·选择坠落,86684
13,顶级掠食者 第二季,6216982,51749,30,12,4375,3355,76.69%,第十二集,86789
14,我在无限游戏里封神 第三季,21440789,202808,91,21,28079,20659,73.57%,破亿纪念单曲·神明所遗落的,81851
15,恩客,970480,15874,37,24,1209,712,58.89%,30·金戈,91870
16,惹祸精,880523,28806,37,14,1518,796,52.44%,小剧场④《不能碰》,90987
17,天官赐福 第二季,70687668,343314,61,43,37195,33832,90.96%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
18,降水概率百分百,547247,16748,10,0,1241,0,0.00%,˚.⊹ 第三期 ♡₊˚,93005
19,藏南晚星,17875545,192204,79,42,19046,13967,73.33%,主题曲伴奏·途经,85110
20,天官赐福 第一季,83481573,940956,61,43,67820,36392,53.66%,四千万福利·小剧场·从前有一位名师,52400
21,放学等我 第一季,50285492,802259,53,18,62426,36264,58.09%,1700W福利·P-特别小剧场「2022.12.2」,64911
22,再世权臣 第三季（上）,2371605,46496,34,10,3311,2505,75.66%,第十集 ·  再度启程,86827
23,偷风不偷月 上季,7918802,125667,41,18,10279,5705,55.50%,300w福利·楚识琛（沈若臻）·风月语录,71389
24,放学等我 第二季,29560261,427593,42,16,44280,34701,78.37%,番外·恋爱纪念日,68837
25,我在无限游戏里封神 第一季,71153109,969627,64,14,76539,42895,56.04%,线下漫展VLOG,52347
26,欢迎进入梦魇直播间 第二季,5706821,42618,26,11,3262,2348,71.98%,《非诚忽扰》第５期,90985
27,愚蠢的有钱人,353690,15583,21,9,1218,381,31.28%,【花絮2】,93113
28,吞海 第一季,49923249,516131,54,17,44119,27516,62.37%,原创配乐·破晓,29187
29,偷风不偷月 下季,3437003,60865,35,17,4426,4154,93.85%,100W福利·白噪音,77591
30,太傅他人人喊打 第二季,2513609,37981,22,10,2741,1607,58.63%,花絮05,86723
31,魔道祖师 第三季,294804666,1535348,66,56,97635,90055,92.24%,传讯符·忘羡,22602
32,你的距离,89279636,928830,70,27,78264,56169,71.77%,完结FT·主创版,31552
33,我在无限游戏里封神 第二季（下）,19384224,240591,55,14,26521,22571,85.11%,花絮06,76557
34,小蘑菇 第二季,49966587,491640,46,33,50334,46837,93.05%,全剧五千万福利,39605
35,初三的六一儿童节 第二季（上）,191955,7000,4,1,510,147,28.82%,第二集 · 监狱风云,93154
36,魔道祖师 第一季,257294381,2250868,39,22,96837,64566,66.67%,主创FT<下>,15861
37,吞海 第二季,31491067,262582,56,19,25135,23390,93.06%,新年祝福,67085
38,吞海 第三季（上）,21756368,208912,38,16,17746,16607,93.58%,OST·04 此地埋名,73221
39,将进酒 第一季,104502953,1423985,59,16,78192,53314,68.18%,完结FT,25944
40,美人印,527234,28229,13,5,1861,443,23.80%,第六集,92611
41,逐玉 第二季,680888,13564,11,3,437,91,20.82%,第六集 · 不念,92520
42,我在无限游戏里封神 第二季（上）,19539122,318019,42,11,32880,28465,86.57%,花絮06,71605
43,魔道祖师 第二季,169907339,1410535,41,37,88773,81515,91.82%,主役FT（下）,19059
44,某某 第一季,96886025,1697669,43,28,77270,45089,58.35%,伴奏|《梧桐说》,58219
45,吞海 第三季（下）,18676754,184831,51,18,18076,16339,90.39%,破亿纪念•抒情主役版「晓」,76879
46,小蘑菇 第一季,49029737,907499,33,17,57995,38944,67.15%,白噪音·漫步荒原,29125
47,重生之将门毒后 第二季,40523738,374334,83,26,49589,33258,67.07%,破亿福利·白噪音·花灯,52293
48,初三的六一儿童节 第一季,11135053,55312,53,16,3204,1534,47.88%,新年♥快乐,85497
49,我喜欢你的信息素 第一季,98598059,1491967,48,21,72433,45213,62.42%,四千万福利,58217
50,交易沦陷,26336457,162317,138,99,16165,9416,58.25%,特别福利·星空沦陷,54171
