排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12492875,135809,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1494807,68070,D2,12,0,歌曲《狮心》（Live）Remix,94789
3,灯花笑 上季,4414747,63061,D2,36,16,突击采访,94733
4,你的雪人能活多久 第一季,1841687,62644,D2,32,10,第八集 · 爱神降临,93787
5,尾钩,1057590,24102,D2,41,22,第29集 · 阿姆斯特丹,95503
6,伏特加与曼特宁,2239666,67398,D2,34,9,第八期,92988
7,宋玉章 第一季,4889553,48404,D2,28,5,第八折 ·  沉溺芳华,86589
8,乘鸾 第一季,152490,5606,D2,14,3,第六集·火中取栗,94849
9,尚公主 第一季,34510,2896,D2,3,0,《尚公主》同名主题曲,95847
10,守寡后我重生了 第二季,183721,4811,D2,16,6,第七集,95212
11,干涸地,2319774,95546,D2,5,2,火风L原著|干涸地·第三集,86725
12,沉浮事,1216498,18596,D2,19,8,云外篇·第八集,94775
13,放学后别来我办公室 全一季,770057,20231,D2,19,5,第七课「等风来」,86868
14,清白之年,648120,15789,D2,25,5,第十集·致橡树,94838
15,全职高手广播剧第四季 上,96609,7228,D2,3,0,第一集,96092
16,二哈在狼群里疯狂造谣 第一季,267807,10429,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
17,囚于永夜,1708123,34697,D2,200,161,番外 少爷的生日7,94916
18,沙子，时间，雨树,149692,8493,D2,7,0,"੭""导游和奇怪的客人·埃及博物馆",94825
19,是心跳说谎 全一季,156007,7515,D2,9,1,第三集,95516
20,炽火难熄 全一季,489848,22321,D2,19,7,第九集 · Estoy enamorado de ti,94917
21,触礁,511296,14218,D2,22,10,EP07⟢| 风和心脏 |,95034
22,解瘾,680430,14950,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
23,搭界 第一季,554907,17393,D2,30,16,第十一集,94617
24,错登科  第一季,162926,5668,D2,17,9,第十集·解语花,94787
25,穿进赛博游戏后干掉BOSS成功上位 第一季,108567,5042,B,8,0,第4集,95678
26,传闻,155874,9043,D2,10,0,✧主役采访 · 下期,95625
27,难言之欲,323715,11776,D2,12,5,E6,94857
28,赤霞珠,407093,14474,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
29,愚蠢的有钱人 全一季,212994,8048,D2,28,9,第九集,94873
30,我花开后百花杀 第一季,154076,5246,D2,12,2,第六集 · 落叶知心,94893
