排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,50167100,419304,D2,57,24,27464,17862,65.04%,4.26%,完结FT,72230
2,天官赐福 第四季,12809629,136665,D2,31,10,13411,8039,59.94%,5.88%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1620889,68783,D2,13,0,11163,0,0.00%,0.00%,歌曲《狮心》,94789
4,全职高手广播剧第四季 上,119007,8055,D2,4,1,553,81,14.65%,1.01%,第二集,96092
5,宋玉章 第一季,5004531,48860,D2,28,5,3458,1524,44.07%,3.12%,第八折 ·  沉溺芳华,86589
6,你的雪人能活多久 第一季,1889589,63334,D2,32,10,6052,1565,25.86%,2.47%,第八集 · 爱神降临,93787
7,奇洛李维斯回信,56108878,580650,D2,98,41,54323,29356,54.04%,5.06%,OST A12 · 暗恋基本法,85974
8,尾钩,1119960,24547,D2,43,24,2646,1702,64.32%,6.93%,第31集 · 耳鸣,95503
9,天官赐福 第三季,74175609,279144,D2,68,44,34699,28790,82.97%,10.31%,小剧场·元宵·花灯,82040
10,情蛊,42830510,456284,D2,68,49,55170,34283,62.14%,7.51%,4000w福利·山大王,86178
11,天官赐福 第一季,89425753,982677,D2,61,43,69180,37415,54.08%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,灯花笑 上季,4477258,63391,D2,36,16,9011,2400,26.63%,3.79%,突击采访,94733
13,天官赐福 第二季,75519421,367540,D2,61,43,39263,35751,91.06%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,伏特加与曼特宁,2275643,67686,D2,34,9,3911,1734,44.34%,2.56%,第八期,92988
15,我在无限游戏里封神 第四季,8334093,147768,D2,56,15,12254,9706,79.21%,6.57%,特别放送 · emoji大挑战,86834
16,放学等我 第一季,55194626,846880,D2,53,18,61998,35875,57.86%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一屋暗灯 全一季,13500424,210780,D2,54,14,35135,16411,46.71%,7.79%,主役版主题曲▪未说的,93038
18,藏南晚星,20520358,211451,D2,81,44,21400,15915,74.37%,7.53%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32424154,456424,D2,42,16,44418,33837,76.18%,7.41%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298255057,1549801,D2,66,56,97599,89904,92.12%,5.80%,传讯符·忘羡,22602
