排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,灯花笑 上季,4045092,60664,D2,32,15,第18集,94733
2,虚拟偶像团综丨《去世界尽头》,6423153,54736,B,49,0,MANTA柏闻单曲·《Blue Hour》纯享版,94354
3,天官赐福 第四季,11152519,131880,D2,29,8,新年小剧场《压岁钱》,91718
4,恒星时刻 第一季,1008526,64036,D2,6,0,第二集♬Midwest Emo,94789
5,是心跳说谎 全一季,111645,6543,D2,6,0,第二集,95516
6,尾钩,795833,22166,D2,29,15,花絮1 · 全世界都说河南话,95503
7,你的雪人能活多久 第一季,1642094,59562,D2,29,7,教师节福利彩蛋,93787
8,干涸地,2270966,95089,D2,4,1,火风L原著|干涸地·第二集,86725
9,伏特加与曼特宁,2105456,66562,D2,30,7,✧200万·祝京儒日记·自由,92988
10,满城衣冠 全一季,2766740,57000,D2,36,11,第12集 · 绑架,90878
11,宋玉章 第一季,4403133,46398,D2,25,4,宋玉章 · 教师节特别语音,86589
12,囚于永夜,1592285,33555,D2,200,161,番外 少爷的生日7,94916
13,解瘾,608095,14607,D2,29,7,第九集,94782
14,嫡谋·第一季,419262,10437,D2,19,10,第十二集· 「寺中初弈」,94462
15,绰约,2382312,32949,D2,46,12,律法小贴士·12则,86680
16,谁来言说夜晚 上季,1994249,16558,D2,104,66,第83集,94321
17,全职高手广播剧第四季 上,35364,4058,D2,2,0,正式预告,96092
18,触礁,456694,13799,D2,21,9,EP06下⟢| 呛住喉咙的是爱意 |,95034
19,炽火难熄 全一季,442682,21570,D2,18,6,第八集 · 夜店,94917
20,搭界 第一季,523112,17071,D2,29,15,EP10 小剧场,94617
21,放学后别来我办公室 全一季,721945,19749,D2,16,3,高二七班的课间十分钟01,86868
22,清白之年,583587,15305,D2,24,4,第九集·Life in a Love,94838
23,传闻,105744,8039,D2,8,0,✧主役采访 · 上期,95625
24,守寡后我重生了 第二季,150443,4402,D2,14,4,花絮02,95212
25,穿进赛博游戏后干掉BOSS成功上位 第一季,89621,4707,B,7,0,第3集,95678
26,错登科  第一季,149317,5464,D2,16,8,花絮-要被萌死了,94787
27,沉浮事,1068361,17629,D2,17,6,浊世篇·第六集,94775
28,愚蠢的有钱人 全一季,199226,7888,D2,27,8,第八集,94873
29,赤霞珠,380166,13953,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
30,我花开后百花杀 第一季,143337,5046,D2,11,1,第五集 · 落子无悔,94893
