排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,4791842,126898,24,3,21591,6165,28.55%,4.86%,花絮04,93038
2,洄天 第一季,23093975,224569,44,6,19973,8293,41.52%,3.69%,第八期,86815
3,我在无限游戏里封神 第四季,3904472,118153,25,7,7108,4491,63.18%,3.80%,第七集 · 记忆折叠,86834
4,奇洛李维斯回信,46268653,526721,81,25,49115,25369,51.65%,4.82%,回信广播剧完结FT（下） · 花都冰室,85974
5,情蛊,36423137,401467,67,48,48786,30063,61.62%,7.49%,完结FT·下,86178
6,再世权臣 第三季（下）,154581,13907,5,2,764,577,75.52%,4.15%,第二集 ·  同舟共济,93437
7,早春晴朗,33313289,257355,57,24,20737,13586,65.52%,5.28%,完结FT,72230
8,沉醉不醒,2398821,45678,26,8,3354,1763,52.56%,3.86%,第八期,86740
9,娑婆,638003,26067,7,0,2562,0,0.00%,0.00%,第三集,93178
10,初三的六一儿童节,26238905,57819,277,245,6424,5195,80.87%,8.98%,番外5 失恋（4）,85562
11,我在无限游戏里封神 第三季,22008635,206329,91,21,28535,21071,73.84%,10.21%,破亿纪念单曲·神明所遗落的,81851
12,天官赐福 第三季,69541108,256862,67,43,32075,26416,82.36%,10.28%,小剧场·元宵·花灯,82040
13,奇洛李维斯回信 番外篇,611764,46425,3,2,3682,2968,80.61%,6.39%,番外 ·  庆生宴,93420
14,顶级掠食者 第二季,7106491,54148,36,16,4967,3965,79.83%,7.32%,启动音征集,86789
15,反差 全一季,7088774,55834,36,17,3899,2248,57.66%,4.03%,700W福利·521运动小语音,86684
16,放学等我 第一季,51119854,810989,53,18,62873,36395,57.89%,4.49%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一颗苹果,12491557,144722,80,34,11757,5044,42.90%,3.49%,启动音试听 · 谢青寄,90818
18,放学等我 第二季,30040602,433258,42,16,44338,34555,77.94%,7.98%,番外·恋爱纪念日,68837
19,天官赐福 第二季,71330003,346677,61,43,37524,34132,90.96%,9.85%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
20,天官赐福 第一季,84209997,946871,61,43,68085,36528,53.65%,3.86%,四千万福利·小剧场·从前有一位名师,52400
21,藏南晚星,18330734,195454,79,42,19493,14342,73.58%,7.34%,主题曲伴奏·途经,85110
22,我在无限游戏里封神 第一季,71872279,975912,64,14,76732,43041,56.09%,4.41%,线下漫展VLOG,52347
23,降水概率百分百,775922,19856,16,3,1715,574,33.47%,2.89%,520语音 ♡ 餐桌故事,93005
24,吞海 第一季,50430896,520796,54,17,44493,27801,62.48%,5.34%,原创配乐·破晓,29187
25,初三的六一儿童节 第二季（上）,671015,9562,9,4,753,481,63.88%,5.03%,522福利音 · 懒觉福利,93154
26,交易沦陷,27243061,166875,138,99,16584,9663,58.27%,5.79%,特别福利·星空沦陷,54171
27,太傅他人人喊打 第二季,2974891,40332,28,15,3074,1979,64.38%,4.91%,第十四集,86723
28,于是麦麦决定离家出走,5011729,101072,43,26,8702,5305,60.96%,5.25%,伴奏♪麦麦的婚礼进行曲,86179
29,愚蠢的有钱人,646879,18945,46,33,1590,722,45.41%,3.81%,【花絮3】,93113
30,液态欲望 全一季,462515,24729,14,4,1492,555,37.20%,2.24%,雪饼日记2.0,86692
31,魔道祖师 第三季,295365096,1537726,66,56,97607,90001,92.21%,5.85%,传讯符·忘羡,22602
32,我在无限游戏里封神 第二季（下）,19761506,243875,55,14,26842,22864,85.18%,9.38%,花絮06,76557
33,某某 第一季,97269009,1703274,43,28,77318,45097,58.33%,2.65%,伴奏|《梧桐说》,58219
34,吞海 第二季,31823888,265451,56,19,25420,23660,93.08%,8.91%,新年祝福,67085
35,魔道祖师 第一季,257869946,2256597,39,22,96822,64512,66.63%,2.86%,主创FT<下>,15861
36,小蘑菇 第二季,50325349,494247,46,33,50474,46962,93.04%,9.50%,全剧五千万福利,39605
37,我在无限游戏里封神 第二季（上）,19793730,321363,42,11,33167,28726,86.61%,8.94%,花絮06,71605
38,燎原,37275545,386966,43,34,39003,29678,76.09%,7.67%,FT,63688
39,吞海 第三季（上）,21999236,211498,38,16,18002,16855,93.63%,7.97%,OST·04 此地埋名,73221
40,惹祸精,1070143,31256,42,14,1748,971,55.55%,3.11%,100福利·斯昭起床福利音,90987
41,再世权臣 第三季（上）,2611462,47961,34,10,3537,2740,77.47%,5.71%,第十集 ·  再度启程,86827
42,欢迎进入梦魇直播间 第二季,6098709,44941,28,11,3498,2529,72.30%,5.63%,《今日没说法》⑤ ·「不平安疗养院」,90985
43,台风眼 第二季,28914154,152119,50,32,13340,12315,92.32%,8.10%,完结 FT,68664
44,偷风不偷月 上季,8145538,128154,41,18,10423,5819,55.83%,4.54%,300w福利·楚识琛（沈若臻）·风月语录,71389
45,将进酒 第一季,104915943,1428288,59,16,78209,53330,68.19%,3.73%,完结FT,25944
46,台风眼 第一季,34380315,289389,53,20,20474,12945,63.23%,4.47%,千万福利·富士山在等一片云,52404
47,魔道祖师 第二季,170252918,1412889,41,37,88790,81516,91.81%,5.77%,主役FT（下）,19059
48,吞海 第三季（下）,18940009,187544,51,18,18393,16647,90.51%,8.88%,破亿纪念•抒情主役版「晓」,76879
49,我喜欢你的信息素 第一季,99035034,1497095,48,21,72339,45051,62.28%,3.01%,四千万福利,58217
50,小蘑菇 第一季,49399023,911819,33,17,58098,38984,67.10%,4.28%,白噪音·漫步荒原,29125
