排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,11652682,196081,52,13,33086,14587,44.09%,7.44%,番外二,93038
2,我在无限游戏里封神 第四季,7156657,139546,56,15,11084,8562,77.25%,6.14%,特别放送 · emoji大挑战,86834
3,奇洛李维斯回信,52236438,560756,98,41,52466,27838,53.06%,4.96%,OST A12 · 暗恋基本法,85974
4,满城衣冠 全一季,1841047,50078,18,3,2778,752,27.07%,1.50%,花絮③ · 日語教学,90878
5,情蛊,39965689,432796,67,48,52509,32343,61.60%,7.47%,完结FT·下,86178
6,灯花笑 上季,1487047,39333,13,0,6517,0,0.00%,0.00%,起床铃·裴云暎,94733
7,洄天 第一季,27857802,245038,65,14,23209,11188,48.21%,4.57%,完结语音 · 高能量S级监护人的一天,86815
8,天官赐福 第三季,71503077,268285,67,43,33258,27458,82.56%,10.23%,小剧场·元宵·花灯,82040
9,我在无限游戏里封神 第三季,23628321,217078,91,21,29890,22247,74.43%,10.25%,破亿纪念单曲·神明所遗落的,81851
10,天官赐福 第二季,73031218,357038,61,43,38401,34924,90.95%,9.78%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
11,宋玉章 第一季,1738930,34009,10,0,925,0,0.00%,0.00%,倒计时壹 · 宋明昭×宋玉章,86589
12,天官赐福 第一季,86525028,965687,61,43,68713,36953,53.78%,3.83%,四千万福利·小剧场·从前有一位名师,52400
13,绰约,1960992,31418,28,3,1345,404,30.04%,1.29%,律法小贴士·5则,86680
14,一颗苹果,13611688,161033,82,35,13195,5815,44.07%,3.61%,完结FT · 谢谢光临,90818
15,理想型,1100889,15702,53,31,1370,806,58.83%,5.13%,42·雨夹雪,93439
16,早春晴朗,36489908,275601,57,24,22254,14611,65.66%,5.30%,完结FT,72230
17,搭界 第一季,283224,14135,12,2,1365,529,38.75%,3.74%,低能量版,94617
18,我在无限游戏里封神 第一季,74085040,996341,64,14,77496,43414,56.02%,4.36%,线下漫展VLOG,52347
19,囚于永夜,373249,13827,199,161,962,252,26.20%,1.82%,番外 少爷的生日7,94916
20,放学等我 第一季,53376662,832066,53,18,62724,36071,57.51%,4.34%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,谁来言说夜晚 上季,892809,13688,46,20,1368,622,45.47%,4.54%,第37集,94321
22,放学等我 第二季,31375448,447074,42,16,44489,34174,76.81%,7.64%,番外·恋爱纪念日,68837
23,魔道祖师 第三季,296968888,1544621,66,56,97540,89888,92.16%,5.82%,传讯符·忘羡,22602
24,我在无限游戏里封神 第二季（下）,20876892,254067,55,14,27825,23753,85.37%,9.35%,花絮06,76557
25,魔道祖师 第一季,259635230,2276595,39,22,97160,64675,66.57%,2.84%,主创FT<下>,15861
26,炽火难熄 全一季,108248,14021,7,0,834,0,0.00%,0.00%,主题曲《未熄》伴奏,94917
27,再世权臣 第三季（下）,760972,23966,20,11,2103,1849,87.92%,7.72%,小剧场 · 你给我爬起来,93437
28,藏南晚星,19492847,204032,79,42,20521,15196,74.05%,7.45%,主题曲伴奏·途经,85110
29,台风眼 第二季,29629749,159964,50,32,14007,12951,92.46%,8.10%,完结 FT,68664
30,沉醉不醒,3834385,55680,43,24,4617,2862,61.99%,5.14%,番外·老友,86740
31,你的雪人能活多久 第一季,296794,35200,6,0,2597,0,0.00%,0.00%,征婚启事,93787
32,伏特加与曼特宁,922209,54351,5,0,1703,0,0.00%,0.00%,预告,92988
33,魔道祖师 第二季,171252684,1419800,41,37,88849,81582,91.82%,5.75%,主役FT（下）,19059
34,我在无限游戏里封神 第二季（上）,20544725,331218,42,11,34037,29472,86.59%,8.90%,花絮06,71605
35,台风眼 第一季,35542438,303116,53,20,21640,13581,62.76%,4.48%,千万福利·富士山在等一片云,52404
36,小蘑菇 第二季,51658964,503609,51,34,51930,47719,91.89%,9.48%,破亿电话·双人,39605
37,小蘑菇 第一季,50665975,927297,33,17,58441,39221,67.11%,4.23%,白噪音·漫步荒原,29125
38,默读 第五季,39189171,466085,47,34,46507,40102,86.23%,8.60%,电话,59100
39,吞海 第一季,51771139,532753,54,17,45395,28542,62.87%,5.36%,原创配乐·破晓,29187
40,清白之年,249221,11261,10,0,840,0,0.00%,0.00%,第二集·在我透明的忧伤中,94838
41,某某 第一季,98353311,1720355,43,28,77457,45104,58.23%,2.62%,伴奏|《梧桐说》,58219
42,我喜欢你的信息素 第一季,100385772,1514467,48,21,72166,44784,62.06%,2.96%,四千万福利,58217
43,江医生 第一季,16726394,234617,49,27,22783,13875,60.90%,5.91%,千万播放福利第四弹·小剧场·猫,81852
44,入戏,8878734,93698,80,54,7568,5821,76.92%,6.21%,新春语音,82289
45,合笼蛊,300932,8444,11,1,558,131,23.48%,1.55%,第三集·做梦,94418
46,娑婆,1447394,35188,21,12,3458,916,26.49%,2.60%,第十二集,93178
47,嫁给一个死太监 第一季,3731400,75141,34,12,4370,2415,55.26%,3.21%,新春福利音,66726
48,于是麦麦决定离家出走,5849662,111038,52,32,9966,6093,61.14%,5.49%,启动音试听,86179
49,将进酒 第一季,106174319,1442568,59,16,78354,53338,68.07%,3.70%,完结FT,25944
50,解瘾,216745,11644,12,0,613,0,0.00%,0.00%,花絮1❃假如容先生不会抽烟,94782
