排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,2607717,93395,14,0,五一彩蛋,93038
2,洄天 第一季,20611969,212886,37,3,第五期,86815
3,我在无限游戏里封神 第四季,3094764,111397,19,4,第四集 · 生魂,86834
4,液态欲望 全一季,240572,19461,6,0,EP01,86692
5,反差 全一季,6721995,52693,32,14,第十二集·接住你了,86684
6,欢迎进入梦魇直播间 第二季,5790316,43023,28,11,《今日没说法》⑤ ·「不平安疗养院」,90985
7,再世权臣 第三季（上）,2422303,46790,34,10,第十集 ·  再度启程,86827
8,太傅他人人喊打 第二季,2582442,38398,23,11,第十一集,86723
9,沉醉不醒,1942477,42705,19,5,五一迷你剧场,86740
10,娑婆,46687,7710,2,0,预告二•永净世,93178
11,顶级掠食者 第二季,6299939,52036,30,12,第十二集,86789
12,烟花情书,17732,1559,2,0,第一集,93337
13,闭嘴，你这假粉 全一季,1881632,22834,33,20,番外2 · 一日为友，终生为父,87641
14,愚蠢的有钱人,387342,15968,25,12,【读诗】,93113
15,禁区,105830,7803,14,0,主题曲《罪名成立》,92575
16,恩客,1017316,16175,40,27,33·各奔前程,91870
17,君有疾否,1400281,31559,81,53,第64集,90896
18,重回我爸少年时 第一季,1300563,16622,47,17,第十一集,91872
19,吞雨,280487,12640,24,8,第九集 我要追你啊,91589
20,语义错误 第一季,3306628,24303,21,6,200W · 宰英's MUSIC TIME,92155
21,怀火 全一季,155138,9953,15,3,第四集·婚礼,91418
22,逐玉 第二季,692327,13736,13,3,五一劳动节 · 谢征,92520
23,初三的六一儿童节 第二季（上）,244282,7526,4,1,第二集 · 监狱风云,93154
24,降水概率百分百,567591,17052,10,0,˚.⊹ 第三期 ♡₊˚,93005
25,美人印,537577,28432,13,5,第六集,92611
26,秋燥 第一季,16339,4106,1,0,声展,93438
27,这恋爱一定要谈吗,541124,18056,22,10,第十二集,91787
28,六州歌头 下季,665123,8692,90,85,89 无定河边骨,92061
29,沉浮事,172247,8736,30,20,第贰拾柒集 幻境,92895
30,岁岁未停,76607,5248,7,1,第二期-靠近你，温暖你,93196
