排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,7595531,160377,34,7,第九集,93038
2,奇洛李维斯回信,48493545,539861,84,27,花絮10 · 破坏队形的花絮来了,85974
3,洄天 第一季,25811389,236044,52,9,第十一期,86815
4,情蛊,37831249,412857,67,48,完结FT·下,86178
5,二哈和他的白猫师尊,163520029,3165331,77,0,第肆季-第十期,20741
6,囚于永夜,4715100,287928,1,0,织音发布会纯享PV · 概念预告,86822
7,放学等我 第一季,51961993,819219,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,小蘑菇 第一季,49972125,918374,33,17,白噪音·漫步荒原,29125
9,早春晴朗,34841270,267250,57,24,完结FT,72230
10,我在无限游戏里封神 第四季,5026807,126987,32,10,特别放送 · 副本通关大作战 · 勤勤恳恳打工人,86834
11,天官赐福 第四季,5154384,84490,12,0,花城生辰快乐,91718
12,天官赐福 第一季,85074437,953466,61,43,四千万福利·小剧场·从前有一位名师,52400
13,魔道祖师 第一季,258522138,2263235,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,72675817,983167,64,14,线下漫展VLOG,52347
15,奇洛李维斯回信 番外篇,842093,56716,3,2,番外 ·  庆生宴,93420
16,伪装学渣 第一季,102483805,1933779,30,17,千万福利·“叫妈妈”,58262
17,迪奥先生 第一季,79290986,1075698,30,15,王氏破产 铃声,23329
18,虚拟偶像团综丨《NEW DAYS（一起又出发）》,28857866,111181,95,0,【定】2025乔殊生日特辑,84529
19,坠落,10747128,174438,59,22,台风眼S02E17,76041
20,我喜欢你的信息素 第一季,99534757,1503271,48,21,四千万福利,58217
21,一颗苹果,12912516,149801,80,34,启动音试听 · 谢青寄,90818
22,见春天,12890267,227529,54,8,魏清越书信·02,80533
23,小蘑菇 第二季,51045146,498799,48,34,破亿福利·《风过荒野》主役版,39605
24,放学等我 第二季,30551916,438679,42,16,番外·恋爱纪念日,68837
25,交易沦陷,28208250,171526,138,99,特别福利·星空沦陷,54171
26,将进酒 第一季,105411139,1433564,59,16,完结FT,25944
27,台风眼 第一季,34837042,294234,53,20,千万福利·富士山在等一片云,52404
28,某某 第一季,97674724,1709443,43,28,伴奏|《梧桐说》,58219
29,重生之将门毒后 第一季,92769900,828026,82,27,主役reaction·片段03,43922
30,娘娘腔,37279952,707961,31,0,主役听剧Reaction,46640
31,于是麦麦决定离家出走,5402591,104522,49,31,花絮10,86179
32,入蛊 全一季,481724,16567,12,5,Ⱄⱄᐝ小剧场·出路,93646
33,干涸地,1854295,81213,1,0,概念预告,86725
34,天官赐福 第三季,70345874,260971,67,43,小剧场·元宵·花灯,82040
35,沉醉不醒,3062002,51944,32,14,第十二期,86740
36,再世权臣 第一季,21240651,255581,79,17,花絮07,71321
37,我在无限游戏里封神 第三季,22620785,210240,91,21,破亿纪念单曲·神明所遗落的,81851
38,藏南晚星,18799381,198781,79,42,主题曲伴奏·途经,85110
39,不二之臣,40747289,848410,16,0,大结局·下,25580
40,全球高考 第一季（全新版）,21075384,366024,37,11,— 「全季完结FT」—,60289
41,伏特加与曼特宁,737943,46176,3,0,520小剧场·吻醒,92988
42,针锋对决,37620169,927589,19,0,完结FT  互动问答,19249
43,FOG[电竞] 第一季,70226031,760992,39,14,2000W福利·whisper伴奏抒情版,29122
44,江医生 第一季,16138334,229545,49,27,千万播放福利第四弹·小剧场·猫,81852
45,反差 全一季,7545570,58662,41,19,小剧场·家人的爱,86684
46,难哄,146150079,1574099,76,48,破亿福利·纪念FT,38074
47,偷偷藏不住,202219112,2414056,89,54,2亿福利·双人电话语音,34632
48,南方海啸,23624521,168593,102,68,花絮⑤,85492
49,魔道祖师 第三季,295979236,1540140,66,56,传讯符·忘羡,22602
50,天官赐福 第二季,72011874,350411,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
51,吞海 第一季,50939759,525228,54,17,原创配乐·破晓,29187
52,二哈和他的白猫师尊,15103032,99386,669,603,完结FT,81979
53,娑婆,962979,30096,13,5,第七集,93178
54,初三的六一儿童节,27521411,60680,287,255,番外9 跨年夜,85562
55,虚拟偶像团综丨《一起再出发》,90619577,251021,179,0,中秋特辑·清道夫,58225
56,判官 第一季,38057048,648256,45,21,听剧reaction,37773
57,我在无限游戏里封神 第二季（下）,20179072,247565,55,14,花絮06,76557
58,你的距离,90095412,933473,70,27,完结FT·主创版,31552
59,液态欲望 全一季,683075,28891,23,10,花絮04,86692
60,这题超纲了 第一季,20523811,490353,44,17,【回放】《这题超纲了》M星直播,41369
61,重生之将门毒后 第二季,41338690,378722,83,26,破亿福利·白噪音·花灯,52293
62,虚拟偶像团综丨《LASER出道日》,82593749,676394,89,0,专业小课堂：电子竞技运动与管理专业,28989
63,愚蠢的有钱人,1165071,25542,79,63,【花絮6】,93113
64,虚拟偶像综艺 |《VANITY FAIR（名利场）》,27533901,126778,71,0,梦系列小剧场06·白日,78684
65,魔道祖师 第二季,170631913,1415361,41,37,主役FT（下）,19059
66,偏偏宠爱,17333390,361070,49,13,四百万语音·江忍,52353
67,夫人你马甲又掉了 第一季,64600336,1020324,25,0,小剧场3,32574
68,我在无限游戏里封神 第二季（上）,20069220,324924,42,11,花絮06,71605
69,破云 第一季,58950567,1092851,20,15,圣诞特辑,59047
70,AWM 第二季,57041450,692661,47,28,【店庆释出】特供番外·咦？捡了个白色手机2,24494
71,顶级掠食者 第二季,7560709,55378,48,17,OST·11永恒的吻,86789
72,我喜欢你的信息素 第二季,75989501,842943,43,26,国风版·星衍,58218
73,秋燥 第一季,243088,12622,9,1,第四集,93438
74,失忆后死对头成了我男朋友？,4959400,98301,44,20,花絮·陆云笙,86693
75,FOG[电竞]第二季,57749014,432939,50,28,破亿特别直播回放,39588
76,君有疾否 第一季,26744568,460215,67,56,苏世誉 ✦ 第一季启动音,34592
77,逐玉 第一季,4436816,72681,43,14,原创配乐 · 凶夜,89245
78,再世权臣 第三季（下）,358541,18769,11,6,第六集 ·  夫俱往矣,93437
79,逐玉 第二季,911120,15806,22,10,第十三集 · 旧事,92520
80,本能游戏,25448637,105567,221,158,雪地番外 · 04冰冷的家,69569
81,君有疾否 第二季,25197361,257580,94,25,520 限定pv✦苏世誉 · 万蝶振翅,42645
82,落池,68317905,1346613,15,0,落池·番外,22032
83,欢迎进入梦魇直播间 第一季,23375287,192308,62,20,完结FT,75856
84,谁把谁当真,14664364,773167,4,0,第四期,726
85,恩客,1940900,20872,77,62,番外·重逢,91870
86,提灯看刺刀 上季,14359482,238546,32,8,花絮·韩楚,77771
87,秉性下等,25559535,204222,99,35,两千万福利·时间的情书,64528
88,虚拟偶像综艺丨《险象环声》,82829875,435819,138,0,三千万福利·偶像问答,38165
89,太傅他人人喊打 第二季,3420772,42329,35,20,小剧场·《苍梧佳期》,86723
90,有名,22923158,164061,60,32,制作FT,52382
91,你就当我死了吧  全一季,12760063,246975,30,0,主役版主题曲（纯享）,76841
92,别来无恙 第一季,22875888,450593,48,22,1000W福利•《满心》（合唱版）,37937
93,燎原,37541647,389163,43,34,FT,63688
94,欲言难止,269001,10646,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
95,陈年烈苟 第一季,28529741,225693,62,21,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
96,将进酒 第二季,72224113,811042,45,22,第二季完结FT,30383
97,蜉蝣,446986,19927,16,4,ೀ˖˚ 视频花絮01,93202
98,AWM 第一季,85578346,1251049,43,20,第十四集·烙印,20284
99,如果月亮不抱你,83449847,1189712,24,0,全网2000万福利突击采访,25485
100,百万UP学神天天演我 第一季,21770148,290782,73,43,花絮11,61608
