排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,4145634,119042,20,2,花絮03,93038
2,洄天 第一季,22380344,221529,41,5,第七期,86815
3,奇洛李维斯回信 番外篇,511432,41431,3,2,番外 ·  庆生宴,93420
4,我在无限游戏里封神 第四季,3675495,116387,23,6,第六集 · 抢亲,86834
5,娑婆,529881,24435,6,0,第二集,93178
6,液态欲望 全一季,408204,23662,12,3,EP03,86692
7,入蛊 全一季,24222,4178,2,0,主题曲♡不识情 伴奏,93646
8,再世权臣 第三季（下）,101466,11820,3,1,第一集 ·  草原之王,93437
9,沉醉不醒,2223517,44540,23,6,ღ200万福利·晚安语音·苏墨,86740
10,愚蠢的有钱人,576681,18251,40,27,【花絮3】,93113
11,烟花情书,70546,3507,5,1,第三集,93337
12,再世权臣 第三季（上）,2570028,47646,34,10,第十集 ·  再度启程,86827
13,蜉蝣,153655,14369,6,0,ೀ˖˚ 主题曲·浮游,93202
14,欲言难止,34491,2625,180,158,欲言难止 第171集 我做了一个很长的梦（完）,93138
15,君有疾否,1522086,32350,95,67,第78集,90896
16,精神科医生神经了,19386,4181,3,0,人物预告✫杨亚桐,93567
17,语义错误 第一季,3546896,25340,25,8,300W · 小剧场「GAME TIME」,92155
18,美人印,598200,29229,17,8,小剧场3-来一口甜,92611
19,闭嘴，你这假粉 全一季,1971806,24331,33,20,番外2 · 一日为友，终生为父,87641
20,降水概率百分百,713696,19262,14,2,˚.⊹ 第五期 ♡₊˚,93005
21,余污 第一季,246051,13112,10,0,第三期,92701
22,头像是我，不满意？,44401,3495,16,4,角色曲萧林,93085
23,禁区,211089,9414,34,13,21 果酱,92575
24,沉浮事,261977,10009,46,36,第肆拾叁集 失控,92895
25,初三的六一儿童节 第二季（上）,512594,9142,7,3,第四集 · 绝命追捕,93154
26,逐玉 第二季,763754,14454,16,5,第八集 · 赐婚,92520
27,岁岁未停,100571,5983,9,3,第四期-我该如何回应你,93196
28,落火 全一季,268251,13888,14,4,第六集,92245
29,第二十八年春II,151153,5825,2,0,第五期,92633
30,不良执念清除师 全一季,1098024,10498,16,3,第六集·流浪之人,86818
