排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,10246627,185569,45,10,30915,12690,41.05%,6.84%,福利彩蛋·白噪音,93038
2,我在无限游戏里封神 第四季,6341549,135071,42,14,10209,7703,75.45%,5.70%,第十四集 · 致命游戏,86834
3,奇洛李维斯回信,50835010,552764,98,41,51744,27264,52.69%,4.93%,OST A12 · 暗恋基本法,85974
4,洄天 第一季,27355498,243348,62,13,22906,10963,47.86%,4.51%,第十五期,86815
5,满城衣冠 全一季,1506579,46619,13,0,2263,0,0.00%,0.00%,100W福利 · 充电音 傅云宪,90878
6,情蛊,39105985,425646,67,48,51500,31761,61.67%,7.46%,完结FT·下,86178
7,早春晴朗,35956489,273119,57,24,22003,14454,65.69%,5.29%,完结FT,72230
8,绰约,1822692,30310,22,1,1154,177,15.34%,0.58%,律法小贴士·3则,86680
9,坠落,11351485,181519,59,22,14921,4949,33.17%,2.73%,番外二·新生,76041
10,我在无限游戏里封神 第三季,23224376,214354,91,21,29515,21932,74.31%,10.23%,破亿纪念单曲·神明所遗落的,81851
11,天官赐福 第三季,71032011,265200,67,43,32964,27201,82.52%,10.26%,小剧场·元宵·花灯,82040
12,理想型,705869,13160,32,14,1092,532,48.72%,4.04%,25·很巧,93439
13,天官赐福 第二季,72613004,354363,61,43,38142,34700,90.98%,9.79%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,默读 第五季,39114582,465167,47,34,46467,40066,86.22%,8.61%,电话,59100
15,天官赐福 第一季,85938897,960830,61,43,68647,36912,53.77%,3.84%,四千万福利·小剧场·从前有一位名师,52400
16,一颗苹果,13315753,156390,81,34,12781,5584,43.69%,3.57%,花絮08 · 客官很可以,90818
17,谁来言说夜晚 上季,611686,12133,30,4,1143,370,32.37%,3.05%,第21集,94321
18,灯花笑 上季,265128,23794,3,0,3577,0,0.00%,0.00%,预告·猎局,94733
19,放学等我 第一季,52843626,827464,53,18,62806,36182,57.61%,4.37%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,沉醉不醒,3591402,54692,40,21,4340,2622,60.41%,4.79%,第十五期,86740
21,放学等我 第二季,31062458,444120,42,16,44569,34318,77.00%,7.73%,番外·恋爱纪念日,68837
22,我在无限游戏里封神 第一季,73505320,991142,64,14,77337,43355,56.06%,4.37%,线下漫展VLOG,52347
23,再世权臣 第三季（下）,580411,21964,16,9,1699,1528,89.94%,6.96%,第九集 ·  承君一诺,93437
24,魔道祖师 第三季,296583528,1542834,66,56,97532,89897,92.17%,5.83%,传讯符·忘羡,22602
25,小蘑菇 第二季,51448100,502012,51,34,51842,47649,91.91%,9.49%,破亿电话·双人,39605
26,默读 第四季,45970311,542231,31,23,42025,40175,95.60%,7.41%,骆一锅的一天,59099
27,我在无限游戏里封神 第二季（下）,20591882,251463,55,14,27551,23510,85.33%,9.35%,花絮06,76557
28,魔道祖师 第一季,259201849,2271542,39,22,97126,64670,66.58%,2.85%,主创FT<下>,15861
29,入戏,8691128,92093,80,54,7496,5767,76.93%,6.26%,新春语音,82289
30,小蘑菇 第一季,50425228,924339,33,17,58351,39169,67.13%,4.24%,白噪音·漫步荒原,29125
31,藏南晚星,19225200,201976,79,42,20295,15005,73.93%,7.43%,主题曲伴奏·途经,85110
32,默读 第三季,37401916,600335,17,14,35567,33107,93.08%,5.51%,甜甜生日特别篇,59098
33,魔道祖师 第二季,171009989,1418126,41,37,88844,81575,91.82%,5.75%,主役FT（下）,19059
34,台风眼 第二季,29466925,157985,50,32,13823,12775,92.42%,8.09%,完结 FT,68664
35,台风眼 第一季,35273809,299618,53,20,21326,13418,62.92%,4.48%,千万福利·富士山在等一片云,52404
36,吞海 第一季,51461424,529965,54,17,45164,28363,62.80%,5.35%,原创配乐·破晓,29187
37,默读 第二季,29338611,607846,16,11,35458,33556,94.64%,5.52%,花絮03,59097
38,我在无限游戏里封神 第二季（上）,20349261,328699,42,11,33813,29270,86.56%,8.90%,花絮06,71605
39,某某 第一季,98083156,1716329,43,28,77520,45181,58.28%,2.63%,伴奏|《梧桐说》,58219
40,娑婆,1218918,33362,18,10,3289,810,24.63%,2.43%,作者原创小剧场·关于谢九的无限续冰配方,93178
41,秋燥 第一季,381899,14672,14,4,1537,548,35.65%,3.74%,花絮②,93438
42,默读 第一季,54165191,1079378,24,11,53498,38467,71.90%,3.56%,花絮9,59096
43,于是麦麦决定离家出走,5688717,109201,51,32,9665,5923,61.28%,5.42%,花絮11,86179
44,吞海 第二季,32482931,270921,56,19,25960,24175,93.12%,8.92%,新年祝福,67085
45,我喜欢你的信息素 第一季,100036599,1510139,48,21,72393,44994,62.15%,2.98%,四千万福利,58217
46,将进酒 第一季,105869695,1439256,59,16,78344,53358,68.11%,3.71%,完结FT,25944
47,江医生 第一季,16480293,232444,49,27,22563,13697,60.71%,5.89%,千万播放福利第四弹·小剧场·猫,81852
48,宋玉章 第一季,1155246,29294,2,0,597,0,0.00%,0.00%,预告壹 ·  天生几对,86589
49,逆鳞 第一季,335106,13382,17,4,1365,598,43.81%,4.47%,第六剑,93750
50,沉浮事,750163,18007,85,73,1338,844,63.08%,4.69%,花絮-肆,92895
