排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21420448,216919,39,4,18718,6929,37.02%,第六期,86815
2,我在无限游戏里封神 第四季,3348196,113781,21,5,6495,3853,59.32%,第五集 · 纸鬼桥,86834
3,一屋暗灯 全一季,3293887,106145,16,1,17636,3530,20.02%,花絮02,93038
4,奇洛李维斯回信,44938571,519177,79,23,48201,24679,51.20%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35497548,394024,67,48,47851,29426,61.50%,完结FT·下,86178
6,早春晴朗,32438372,250956,57,24,20267,13275,65.50%,完结FT,72230
7,沉醉不醒,2085030,43605,23,6,2978,1383,46.44%,ღ200万福利·晚安语音·苏墨,86740
8,初三的六一儿童节,25345629,55718,263,231,6135,4925,80.28%,番外3 兄弟（6）,85562
9,一颗苹果,12231359,141949,80,34,11456,4862,42.44%,启动音试听 · 谢青寄,90818
10,于是麦麦决定离家出走,4769730,99049,35,21,8418,5111,60.72%,花絮04,86179
11,我在无限游戏里封神 第三季,21675729,204390,91,21,28290,20847,73.69%,破亿纪念单曲·神明所遗落的,81851
12,天官赐福 第三季,69065315,254845,67,43,31850,26222,82.33%,小剧场·元宵·花灯,82040
13,愚蠢的有钱人,475787,17135,32,19,1402,549,39.16%,【花絮3】,93113
14,初三的六一儿童节 第二季（上）,365783,8310,5,2,667,372,55.77%,第三集 · 明德小事,93154
15,反差 全一季,6816911,53565,32,14,3612,1997,55.29%,第十二集·接住你了,86684
16,放学等我 第一季,50669195,806459,53,18,62573,36266,57.96%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,降水概率百分百,625729,18099,12,1,1536,398,25.91%,˚.⊹ 第四期 ♡₊˚,93005
18,恩客,1127670,16908,47,34,1329,846,63.66%,39·贪迷恋、有何长,91870
19,放学等我 第二季,29771192,430274,42,16,44246,34549,78.08%,番外·恋爱纪念日,68837
20,天官赐福 第二季,70947069,344814,61,43,37344,33964,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
21,顶级掠食者 第二季,6504471,52608,31,13,4545,3528,77.62%,第十三集,86789
22,藏南晚星,18055016,193663,79,42,19250,14138,73.44%,主题曲伴奏·途经,85110
23,天官赐福 第一季,83774030,943546,61,43,67942,36452,53.65%,四千万福利·小剧场·从前有一位名师,52400
24,我在无限游戏里封神 第一季,71472492,972507,64,14,76636,42945,56.04%,线下漫展VLOG,52347
25,惹祸精,969146,29823,38,14,1624,881,54.25%,花絮4.0,90987
26,娑婆,182599,16689,4,0,1550,0,0.00%,第一集,93178
27,太傅他人人喊打 第二季,2706395,39027,25,13,2908,1801,61.93%,第十二集,86723
28,再世权臣 第三季（上）,2497343,47164,34,10,3427,2628,76.69%,第十集 ·  再度启程,86827
29,吞海 第一季,50123540,518040,54,17,44286,27633,62.40%,原创配乐·破晓,29187
30,欢迎进入梦魇直播间 第二季,5910334,43738,28,11,3410,2455,71.99%,《今日没说法》⑤ ·「不平安疗养院」,90985
31,我在无限游戏里封神 第二季（下）,19543022,242089,55,14,26677,22709,85.13%,花絮06,76557
32,魔道祖师 第三季,295033435,1536458,66,56,97615,90028,92.23%,传讯符·忘羡,22602
33,偷风不偷月 上季,8004996,126635,41,18,10323,5742,55.62%,300w福利·楚识琛（沈若臻）·风月语录,71389
34,再世权臣 第三季（下）,39540,6120,2,0,260,0,0.00%,日历语音 · 梦中人,93437
35,你的距离,89440266,929894,70,27,78286,56191,71.78%,完结FT·主创版,31552
36,魔道祖师 第一季,257536181,2253481,39,22,96873,64558,66.64%,主创FT<下>,15861
37,我在无限游戏里封神 第二季（上）,19648329,319564,42,11,33015,28590,86.60%,花絮06,71605
38,交易沦陷,26693479,164165,138,99,16342,9520,58.25%,特别福利·星空沦陷,54171
39,吞海 第二季,31621640,263715,56,19,25247,23496,93.06%,新年祝福,67085
40,小蘑菇 第二季,50105259,492786,46,33,50394,46892,93.05%,全剧五千万福利,39605
41,吞海 第三季（上）,21850297,209949,38,16,17845,16702,93.59%,OST·04 此地埋名,73221
42,偷风不偷月 下季,3493685,61571,35,17,4482,4209,93.91%,100W福利·白噪音,77591
43,某某 第一季,97053160,1700184,43,28,77244,45105,58.39%,伴奏|《梧桐说》,58219
44,将进酒 第一季,104666396,1425784,59,16,78182,53313,68.19%,完结FT,25944
45,初三的六一儿童节 第一季,11193091,56377,53,16,3255,1571,48.26%,新年♥快乐,85497
46,魔道祖师 第二季,170047205,1411636,41,37,88788,81523,91.82%,主役FT（下）,19059
47,台风眼 第二季,28771376,150786,50,32,13239,12227,92.36%,完结 FT,68664
48,台风眼 第一季,34169262,287119,53,20,20278,12828,63.26%,千万福利·富士山在等一片云,52404
49,我喜欢你的信息素 第一季,98788828,1494252,48,21,72367,45126,62.36%,四千万福利,58217
50,逐玉 第二季,727624,14080,15,4,449,104,23.16%,小剧场 · 退学记,92520
