排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,4000563,69400,43,14,2171,960,44.22%,原创配乐 · 凶夜,89245
2,洄天 第一季,14151643,180972,28,0,11986,0,0.00%,第一期,86815
3,奇洛李维斯回信,40214711,498296,79,23,46003,23213,50.46%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,32862031,372526,61,42,44805,27507,61.39%,番外·此为情蛊,86178
5,二哈和他的白猫师尊,160021691,3139125,69,0,121466,0,0.00%,第肆季-第七期,20741
6,放学等我 第一季,49396343,792840,53,18,62393,36338,58.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
7,一颗苹果,10662007,131258,67,26,9917,3741,37.72%,第15集 · 祷告 Breath by Breath,90818
8,囚于永夜,3996688,252048,1,0,1831,0,0.00%,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,81602176,934284,61,43,67478,36195,53.64%,四千万福利·小剧场·从前有一位名师,52400
10,重生之将门毒后 第一季,90530973,815837,82,27,87938,42054,47.82%,主役reaction·片段03,43922
11,天官赐福 第四季,3473638,62812,10,0,4895,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3889456,90777,27,16,6982,3978,56.98%,第十一期,86179
13,我在无限游戏里封神 第一季,70284375,962159,64,14,76195,42704,56.05%,线下漫展VLOG,52347
14,魔道祖师 第一季,256643141,2244477,39,22,96742,64534,66.71%,主创FT<下>,15861
15,我在无限游戏里封神 第四季,1735634,93649,7,0,3357,0,0.00%,清明节福利音 · 黑桃,86834
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23791152,105654,89,0,33315,0,0.00%,MANTA三专《宴》特别曲·《罪示录》,84529
17,逐玉 第二季,499216,10949,6,0,305,0,0.00%,第二集 · 夜会,92520
18,将进酒 第一季,103999259,1418861,59,16,78122,53256,68.17%,完结FT,25944
19,我喜欢你的信息素 第一季,98080270,1486367,48,21,72336,45207,62.50%,四千万福利,58217
20,放学等我 第二季,29026185,421415,42,16,44020,34691,78.81%,番外·恋爱纪念日,68837
21,小蘑菇 第一季,48354356,902429,33,17,57889,38872,67.15%,白噪音·漫步荒原,29125
22,美人印,343251,24124,6,0,1450,0,0.00%,OST《美人印》,92611
23,早春晴朗,30472096,237269,57,24,19049,12504,65.64%,完结FT,72230
24,天官赐福 第三季,66404890,248878,67,43,31221,25638,82.12%,小剧场·元宵·花灯,82040
25,娘娘腔,35759505,689340,31,0,69702,0,0.00%,主役听剧Reaction,46640
26,某某 第一季,96480804,1691912,43,28,77283,45032,58.27%,伴奏|《梧桐说》,58219
27,反差 全一季,5940850,47750,25,8,2951,1391,47.14%,第八集·雪崩无声,86684
28,伪装学渣 第一季,101452897,1914130,30,17,80079,47121,58.84%,千万福利·“叫妈妈”,58262
29,藏南晚星,17330701,187918,79,42,18469,13481,72.99%,主题曲伴奏·途经,85110
30,初三的六一儿童节,21865917,46597,223,193,4857,3691,75.99%,Chapter.108A 心魔（上）,85562
31,语义错误 第一季,2253331,21329,11,1,1487,316,21.25%,Ep.04 SHIFT,92155
32,见春天,12072529,217502,54,8,26569,8261,31.09%,魏清越书信·02,80533
33,我在无限游戏里封神 第三季,20738557,198482,91,21,27593,20250,73.39%,破亿纪念单曲·神明所遗落的,81851
34,二哈和他的白猫师尊,13627127,92221,669,603,9066,4348,47.96%,完结FT,81979
35,交易沦陷,25484266,158206,138,99,15787,9198,58.26%,特别福利·星空沦陷,54171
36,顶级掠食者 第二季,4850388,48369,23,8,3851,2827,73.41%,主题曲·天分·伴奏,86789
37,全球高考 第一季（全新版）,20088793,354114,37,11,21450,9932,46.30%,— 「全季完结FT」—,60289
38,重生之将门毒后 第二季,40057191,372038,83,26,49344,33070,67.02%,破亿福利·白噪音·花灯,52293
39,不二之臣,40087576,840688,16,0,49574,0,0.00%,大结局·下,25580
40,难哄,144869189,1566823,76,48,98225,61077,62.18%,破亿福利·纪念FT,38074
41,偷偷藏不住,200977517,2408938,89,54,139533,82464,59.10%,2亿福利·双人电话语音,34632
42,台风眼 第一季,33395358,280027,53,20,19720,12504,63.41%,千万福利·富士山在等一片云,52404
43,沉醉不醒,1159177,36881,9,0,1478,0,0.00%,第一期,86740
44,再世权臣 第一季,20225995,247624,79,17,22790,10653,46.74%,花絮07,71321
45,魔道祖师 第三季,294129774,1532587,66,56,97597,90030,92.25%,传讯符·忘羡,22602
46,针锋对决,36939525,914844,19,0,53581,0,0.00%,完结FT  互动问答,19249
47,悬日 上季,10816494,145360,52,18,16752,6000,35.82%,ଫ苏洄生日福利,88192
48,天官赐福 第二季,68944564,339400,61,43,36906,33561,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
49,吞海 第一季,49285832,511141,54,17,43770,27255,62.27%,原创配乐·破晓,29187
50,FOG[电竞] 第一季,68960008,753367,39,14,55496,34309,61.82%,2000W福利·whisper伴奏抒情版,29122
