排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12651681,136263,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1560228,68455,D2,13,0,歌曲《狮心》,94789
3,你的雪人能活多久 第一季,1869063,63066,D2,32,10,第八集 · 爱神降临,93787
4,灯花笑 上季,4446318,63230,D2,36,16,突击采访,94733
5,伏特加与曼特宁,2260364,67574,D2,34,9,第八期,92988
6,尾钩,1088183,24351,D2,42,23,第30集 · 郎峰的教堂,95503
7,宋玉章 第一季,4946601,48654,D2,28,5,第八折 ·  沉溺芳华,86589
8,二哈在狼群里疯狂造谣 第一季,286030,10678,D2,11,0,第2集·无中生崽,94772
9,尚公主 第一季,39139,3050,D2,3,0,《尚公主》同名主题曲,95847
10,传闻,168175,9287,D2,11,0,✧第三集,95625
11,放学后别来我办公室 全一季,776954,20302,D2,19,5,第七课「等风来」,86868
12,干涸地,2324300,95604,D2,5,2,火风L原著|干涸地·第三集,86725
13,沉浮事,1236442,18722,D2,19,8,云外篇·第八集,94775
14,全职高手广播剧第四季 上,100975,7379,D2,3,0,第一集,96092
15,触礁,518954,14313,D2,23,10,⟡插曲·无尽夏⟡,95034
16,囚于永夜,1721345,34806,D2,200,161,番外 少爷的生日7,94916
17,守寡后我重生了 第二季,187590,4839,D2,16,6,第七集,95212
18,炽火难熄 全一季,493505,22379,D2,19,7,第九集 · Estoy enamorado de ti,94917
19,沙子，时间，雨树,154099,8582,D2,7,0,"੭""导游和奇怪的客人·埃及博物馆",94825
20,是心跳说谎 全一季,158370,7567,D2,9,1,第三集,95516
21,清白之年,656265,15831,D2,25,5,第十集·致橡树,94838
22,乘鸾 第一季,154596,5636,D2,14,3,第六集·火中取栗,94849
23,搭界 第一季,557095,17418,D2,30,16,第十一集,94617
24,错登科  第一季,164376,5702,D2,17,9,第十集·解语花,94787
25,解瘾,687364,14978,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
26,穿进赛博游戏后干掉BOSS成功上位 第一季,110193,5080,B,8,0,第4集,95678
27,难言之欲,326278,11807,D2,12,5,E6,94857
28,赤霞珠,410088,14535,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
29,金陵春 第一季,189591,6487,D2,18,8,第十一集,94497
30,愚蠢的有钱人 全一季,214462,8065,D2,28,9,第九集,94873
