排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,4016188,69550,43,14,2173,964,44.36%,原创配乐 · 凶夜,89245
2,洄天 第一季,14435664,182714,28,0,12188,0,0.00%,第一期,86815
3,奇洛李维斯回信,40375169,498935,79,23,46101,23259,50.45%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,32962239,373241,61,42,44940,27589,61.39%,番外·此为情蛊,86178
5,二哈和他的白猫师尊,160067848,3139558,69,0,121501,0,0.00%,第肆季-第七期,20741
6,囚于永夜,4017905,252588,1,0,1824,0,0.00%,织音发布会纯享PV · 概念预告,86822
7,放学等我 第一季,49447552,793353,53,18,62446,36342,58.20%,1700W福利·P-特别小剧场「2022.12.2」,64911
8,一颗苹果,10733100,131562,68,27,9977,3780,37.89%,贵州Qlog07 · 烟灰,90818
9,天官赐福 第一季,81716101,934636,61,43,67489,36205,53.65%,四千万福利·小剧场·从前有一位名师,52400
10,重生之将门毒后 第一季,90569633,816033,82,27,87946,42065,47.83%,主役reaction·片段03,43922
11,天官赐福 第四季,3521295,63281,10,0,4912,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3943760,91554,27,16,7108,4074,57.32%,第十一期,86179
13,我在无限游戏里封神 第四季,1790750,94161,7,0,3414,0,0.00%,清明节福利音 · 黑桃,86834
14,我在无限游戏里封神 第一季,70328218,962492,64,14,76205,42722,56.06%,线下漫展VLOG,52347
15,魔道祖师 第一季,256672558,2244796,39,22,96741,64534,66.71%,主创FT<下>,15861
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23882446,105754,89,0,33350,0,0.00%,MANTA三专《宴》特别曲·《罪示录》,84529
17,逐玉 第二季,507764,11080,6,0,311,0,0.00%,第二集 · 夜会,92520
18,将进酒 第一季,104022738,1419111,59,16,78127,53263,68.17%,完结FT,25944
19,我喜欢你的信息素 第一季,98107341,1486660,48,21,72328,45198,62.49%,四千万福利,58217
20,放学等我 第二季,29053869,421696,42,16,44034,34694,78.79%,番外·恋爱纪念日,68837
21,小蘑菇 第一季,48379383,902689,33,17,57892,38870,67.14%,白噪音·漫步荒原,29125
22,美人印,352363,24363,6,0,1474,0,0.00%,OST《美人印》,92611
23,天官赐福 第三季,66554807,249181,67,43,31254,25671,82.14%,小剧场·元宵·花灯,82040
24,早春晴朗,30511274,237534,57,24,19072,12515,65.62%,完结FT,72230
25,娘娘腔,35787738,689643,31,0,69734,0,0.00%,主役听剧Reaction,46640
26,某某 第一季,96502622,1692230,43,28,77285,45022,58.25%,伴奏|《梧桐说》,58219
27,反差 全一季,5978405,48030,25,8,2976,1412,47.45%,第八集·雪崩无声,86684
28,伪装学渣 第一季,101470747,1914416,30,17,80074,47115,58.84%,千万福利·“叫妈妈”,58262
29,藏南晚星,17355107,188136,79,42,18501,13509,73.02%,主题曲伴奏·途经,85110
30,初三的六一儿童节,21963810,46819,224,194,4954,3783,76.36%,Chapter.108B 心魔（下）,85562
31,语义错误 第一季,2301300,21450,11,1,1506,328,21.78%,Ep.04 SHIFT,92155
32,见春天,12084611,217649,54,8,26586,8268,31.10%,魏清越书信·02,80533
33,我在无限游戏里封神 第三季,20771236,198655,91,21,27629,20279,73.40%,破亿纪念单曲·神明所遗落的,81851
34,二哈和他的白猫师尊,13652765,92398,669,603,9093,4358,47.93%,完结FT,81979
35,交易沦陷,25514385,158332,138,99,15800,9204,58.25%,特别福利·星空沦陷,54171
36,顶级掠食者 第二季,4908635,48481,23,8,3868,2845,73.55%,主题曲·天分·伴奏,86789
37,全球高考 第一季（全新版）,20106199,354326,37,11,21474,9947,46.32%,— 「全季完结FT」—,60289
38,不二之臣,40096213,840801,16,0,49576,0,0.00%,大结局·下,25580
39,重生之将门毒后 第二季,40079781,372152,83,26,49361,33085,67.03%,破亿福利·白噪音·花灯,52293
40,台风眼 第一季,33421017,280275,53,20,19741,12517,63.41%,千万福利·富士山在等一片云,52404
41,难哄,144886483,1566906,76,48,98232,61079,62.18%,破亿福利·纪念FT,38074
42,偷偷藏不住,200994507,2408986,89,54,139540,82467,59.10%,2亿福利·双人电话语音,34632
43,沉醉不醒,1177922,37064,9,0,1497,0,0.00%,第一期,86740
44,再世权臣 第一季,20243402,247780,79,17,22799,10661,46.76%,花絮07,71321
45,魔道祖师 第三季,294158578,1532724,66,56,79573,72579,91.21%,传讯符·忘羡,22602
46,针锋对决,36951271,0,0,0,0,0,0.00%,完结FT  互动问答,19249
47,悬日 上季,10832742,0,0,0,0,0,0.00%,ଫ苏洄生日福利,88192
48,天官赐福 第二季,69049336,0,0,0,0,0,0.00%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
49,FOG[电竞] 第一季,68982722,2406,39,14,25914,15602,60.21%,2000W福利·whisper伴奏抒情版,29122
50,吞海 第一季,49313237,0,0,0,0,0,0.00%,原创配乐·破晓,29187
