排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,20894178,214529,38,3,18345,6452,35.17%,1000W特别福利 · 纪念日,86815
2,我在无限游戏里封神 第四季,3183628,112444,19,4,6255,3596,57.49%,第四集 · 生魂,86834
3,一屋暗灯 全一季,2845810,97327,14,0,14846,0,0.00%,五一彩蛋,93038
4,奇洛李维斯回信,44545745,516779,79,23,46257,24496,52.96%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35207709,392074,65,46,47576,29200,61.38%,花絮15,86178
6,早春晴朗,32261196,249971,57,24,20164,13211,65.52%,完结FT,72230
7,沉醉不醒,1972770,42954,19,5,2840,1219,42.92%,五一迷你剧场,86740
8,初三的六一儿童节,25047614,54744,259,227,6014,4820,80.15%,番外3 兄弟（2）,85562
9,于是麦麦决定离家出走,4696751,98428,34,21,8328,5047,60.60%,番外✦程德兴,86179
10,一颗苹果,12150947,141120,80,34,11371,4806,42.27%,启动音试听 · 谢青寄,90818
11,天官赐福 第三季,68936009,254287,67,43,31795,26164,82.29%,小剧场·元宵·花灯,82040
12,我在无限游戏里封神 第三季,21587521,203907,91,21,28233,20794,73.65%,破亿纪念单曲·神明所遗落的,81851
13,反差 全一季,6764692,53073,32,14,3565,1965,55.12%,第十二集·接住你了,86684
14,降水概率百分百,583424,17314,11,0,1294,0,0.00%,特别语音 ♡ 健身提醒,93005
15,放学等我 第一季,50553195,805344,53,18,62547,36258,57.97%,1700W福利·P-特别小剧场「2022.12.2」,64911
16,天官赐福 第二季,70842090,344314,61,43,37292,33916,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
17,恩客,1051686,16338,42,29,1289,796,61.75%,35·碍眼,91870
18,顶级掠食者 第二季,6347638,52195,30,12,4439,3420,77.04%,第十二集,86789
19,藏南晚星,17974117,193092,79,42,19176,14072,73.38%,主题曲伴奏·途经,85110
20,放学等我 第二季,29698806,429519,42,16,44239,34567,78.14%,番外·恋爱纪念日,68837
21,天官赐福 第一季,83657197,942695,61,43,67924,36433,53.64%,四千万福利·小剧场·从前有一位名师,52400
22,愚蠢的有钱人,419287,16505,27,14,1330,483,36.32%,【读诗】,93113
23,惹祸精,935539,29478,37,14,1582,848,53.60%,小剧场④《不能碰》,90987
24,初三的六一儿童节 第二季（上）,276408,7807,4,1,629,288,45.79%,第二集 · 监狱风云,93154
25,我在无限游戏里封神 第一季,71364720,971672,64,14,76637,42943,56.03%,线下漫展VLOG,52347
26,再世权臣 第三季（上）,2450011,46974,34,10,3386,2583,76.28%,第十集 ·  再度启程,86827
27,偷风不偷月 上季,7967256,126225,41,18,10308,5728,55.57%,300w福利·楚识琛（沈若臻）·风月语录,71389
28,吞海 第一季,50037948,517316,54,17,44238,27595,62.38%,原创配乐·破晓,29187
29,欢迎进入梦魇直播间 第二季,5840098,43358,28,11,3371,2421,71.82%,《今日没说法》⑤ ·「不平安疗养院」,90985
30,太傅他人人喊打 第二季,2622518,38638,24,12,2840,1723,60.67%,福利小剧场·《离思》,86723
31,魔道祖师 第三季,294936930,1536126,66,56,97623,90038,92.23%,传讯符·忘羡,22602
32,我在无限游戏里封神 第二季（下）,19481224,241614,55,14,26634,22670,85.12%,花絮06,76557
33,你的距离,89372069,929533,70,27,78287,56191,71.78%,完结FT·主创版,31552
34,偷风不偷月 下季,3466880,61261,35,17,4462,4189,93.88%,100W福利·白噪音,77591
35,魔道祖师 第一季,257441443,2252675,39,22,96868,64560,66.65%,主创FT<下>,15861
36,吞海 第二季,31564013,263232,56,19,25213,23466,93.07%,新年祝福,67085
37,小蘑菇 第二季,50045678,492395,46,33,50376,46874,93.05%,全剧五千万福利,39605
38,我在无限游戏里封神 第二季（上）,19607602,319082,42,11,32979,28556,86.59%,花絮06,71605
39,吞海 第三季（上）,21808517,209548,38,16,17798,16656,93.58%,OST·04 此地埋名,73221
40,魔道祖师 第二季,169988411,1411305,41,37,88782,81518,91.82%,主役FT（下）,19059
41,某某 第一季,96999800,1699526,43,28,77242,45106,58.40%,伴奏|《梧桐说》,58219
42,将进酒 第一季,104595044,1425175,59,16,78186,53315,68.19%,完结FT,25944
43,交易沦陷,26531012,163329,138,99,16273,9469,58.19%,特别福利·星空沦陷,54171
44,初三的六一儿童节 第一季,11169195,56012,53,16,3235,1555,48.07%,新年♥快乐,85497
45,台风眼 第二季,28730575,150424,50,32,13202,12192,92.35%,完结 FT,68664
46,我喜欢你的信息素 第一季,98723315,1493603,48,21,72404,45163,62.38%,四千万福利,58217
47,吞海 第三季（下）,18734064,185475,51,18,18145,16406,90.42%,破亿纪念•抒情主役版「晓」,76879
48,台风眼 第一季,34110925,286489,53,20,20233,12795,63.24%,千万福利·富士山在等一片云,52404
49,逐玉 第二季,708069,13902,14,4,445,100,22.47%,第七集 · 请罚,92520
50,欢迎进入梦魇直播间 第一季,22932444,188714,62,20,19081,8304,43.52%,完结FT,75856
