排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,早春晴朗,50382673,420430,D2,57,24,完结FT,72230
2,情蛊,42914026,457010,D2,68,49,4000w福利·山大王,86178
3,放学等我 第一季,55260445,847513,D2,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
4,小蘑菇 第一季,51403925,935192,D2,33,17,白噪音·漫步荒原,29125
5,奇洛李维斯回信,56221141,581223,D2,98,41,OST A12 · 暗恋基本法,85974
6,恒星时刻 第一季,1804634,70044,D2,14,1,第四集♬Lion Heart,94789
7,天官赐福 第四季,13201054,137623,D2,33,12,新年小剧场《压岁钱》,91718
8,二哈和他的白猫师尊,168332398,3203546,B,84,0,概念曲-拜长久（+童声版）,20741
9,灯花笑 上季,4555211,63882,D2,38,16,配乐·风雪袭我身,94733
10,天官赐福 第一季,89568332,983232,D2,61,43,四千万福利·小剧场·从前有一位名师,52400
11,不二之臣,41703215,862090,B,16,0,大结局·下,25580
12,难哄,148077837,1586441,D2,76,48,破亿福利·纪念FT,38074
13,干涸地,2340483,95682,D2,7,3,火风L原著|干涸地·第四集,86725
14,虚拟偶像团综丨《去世界尽头》,7340406,56449,B,54,0,第十一期·八声甘州,94354
15,红白囍 第一季,7743460,117239,D2,46,13,花絮03,81597
16,魔道祖师 第一季,261029560,2290181,D2,39,22,主创FT<下>,15861
17,你的雪人能活多久 第一季,1937250,63743,D2,34,11,中秋节福利彩蛋,93787
18,囚于永夜,5478306,324825,B,1,0,织音发布会纯享PV · 概念预告,86822
19,伪装学渣 第一季,103901020,1957304,D2,30,17,千万福利·“叫妈妈”,58262
20,台风眼 第一季,36352563,313332,D2,53,20,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107173134,1451657,D2,59,16,完结FT,25944
22,偷偷藏不住,203730660,2422113,D2,89,54,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75477160,1008112,D2,64,14,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95790571,846451,D2,82,27,主役reaction·片段03,43922
25,天官赐福 第三季,74353802,279476,D2,68,44,小剧场·元宵·花灯,82040
26,某某 第一季,99204574,1730504,D2,43,28,伴奏|《梧桐说》,58219
27,见春天,13645549,237128,D2,54,8,魏清越书信·02,80533
28,如果月亮不抱你,84318911,1196851,B,24,0,全网2000万福利突击采访,25485
29,一屋暗灯 全一季,13542721,211095,D2,54,14,主役版主题曲▪未说的,93038
30,我喜欢你的信息素 第一季,101392937,1524721,D2,48,21,四千万福利,58217
31,藏南晚星,20549814,211654,D2,81,44,✧2000万福利·番外·美梦,85110
32,再世权臣 第一季,22632204,265739,D2,79,17,花絮07,71321
33,放学等我 第二季,32461092,456813,D2,42,16,番外·恋爱纪念日,68837
34,伏特加与曼特宁,2305915,67890,D2,36,9,中秋迷你剧场,92988
35,我在无限游戏里封神 第四季,8365871,148019,D2,56,15,特别放送 · emoji大挑战,86834
36,宋玉章 第一季,5136922,49184,D2,30,6,宋玉章 · 中秋节特别语音,86589
37,天官赐福 第二季,75650183,367878,D2,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
38,洄天 第一季,28674943,249472,D2,65,14,完结语音 · 高能量S级监护人的一天,86815
39,尾钩,1170859,24817,D2,45,26,第33集 · 囚笼,95503
40,不想了,10051724,116110,D2,93,66,500W福利·主役版主题曲《同谋》,70445
41,魔道祖师 第三季,298303408,1549992,D2,66,56,传讯符·忘羡,22602
42,娘娘腔,38997512,728525,B,31,0,主役听剧Reaction,46640
43,一颗苹果,14253860,168719,C,82,35,完结FT · 谢谢光临,90818
44,全球高考 第一季（全新版）,22325013,380352,D2,37,11,— 「全季完结FT」—,60289
45,你的距离,91504640,941891,D2,70,27,完结FT·主创版,31552
46,江医生 第一季,17483583,240489,D2,49,27,千万播放福利第四弹·小剧场·猫,81852
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32438776,116356,B,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
48,交易沦陷,30718640,180398,D2,138,99,特别福利·星空沦陷,54171
49,FOG[电竞] 第一季,71793988,770848,D2,39,14,2000W福利·whisper伴奏抒情版,29122
50,吞海 第一季,52750733,540467,D2,54,17,原创配乐·破晓,29187
51,二哈和他的白猫师尊,17105880,109002,D2,669,603,完结FT,81979
52,虚拟偶像团综丨《一起再出发》,94096490,255869,B,179,0,中秋特辑·清道夫,58225
