排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,虚拟偶像团综丨《去世界尽头》,3844433,47897,26,0,江恪生日小剧场·原点,94354
2,灯花笑 上季,1488522,39340,13,0,起床铃·裴云暎,94733
3,你的雪人能活多久 第一季,297269,35204,6,0,征婚启事,93787
4,恒星时刻 第一季,239355,40781,1,0,歌曲《狮心》（Live）,94789
5,伏特加与曼特宁,922822,54358,5,0,预告,92988
6,宋玉章 第一季,1740564,34012,10,0,倒计时壹 · 宋明昭×宋玉章,86589
7,满城衣冠 全一季,1841379,50081,18,3,花絮③ · 日語教学,90878
8,理想型,1101513,15702,53,31,42·雨夹雪,93439
9,炽火难熄 全一季,108555,14037,7,0,主题曲《未熄》伴奏,94917
10,囚于永夜,373718,13834,199,161,番外 少爷的生日7,94916
11,金陵春 第一季,113605,5079,9,0,第三集,94497
12,触礁,15095,4559,1,0,预告⟢| 暗礁 |,95034
13,再世权臣 第三季（下）,761235,23972,20,11,小剧场 · 你给我爬起来,93437
14,逆鳞 第一季,433265,14845,22,8,第九剑,93750
15,任东西,19190,1804,3,0,任东西·第一集,94860
16,奇洛李维斯回信 番外篇,1070201,68134,3,2,番外 ·  庆生宴,93420
17,沉浮事,198368,11167,9,0,浊世篇·第一集,94775
18,蜉蝣,861897,25164,26,11,ೀ˖˚ 第十二集,93202
19,赤霞珠,25817,4853,4,1,往世尘缘番外•姜郎 第一回,95114
20,搭界 第一季,283316,14136,12,2,低能量版,94617
21,大王万万不可！ 第一季,213083,13017,13,4,第七集·请佛入瓮,94259
22,玫瑰美人 全一季,99050,7748,12,5,第八期,94009
23,当你叫醒我,885540,15428,12,0,第六集,94268
24,谁来言说夜晚 上季,893355,13689,46,20,第37集,94321
25,欲言难止,648405,19863,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
26,绰约,1961201,31418,28,3,律法小贴士·5则,86680
27,入蛊 全一季,870626,20494,22,14,Ⱄⱄᐝ白噪音·逍遥居,93646
28,愚蠢的有钱人 全一季,76632,4956,6,0,第一集·人在京大，刚下火车,94873
29,嫡谋·第一季,252512,7425,10,2,第五集 · 「冰河落子」,94462
30,清白之年,249620,11262,10,0,第二集·在我透明的忧伤中,94838
