排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12325434,135330,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1433821,67564,D2,12,0,歌曲《狮心》（Live）Remix,94789
3,灯花笑 上季,4378314,62836,D2,36,16,突击采访,94733
4,尾钩,1020690,23816,D2,40,21,白噪音 · 郎机长礼拜日志,95503
5,你的雪人能活多久 第一季,1807985,62136,D2,31,9,小剧场04 · 密码,93787
6,宋玉章 第一季,4829377,48140,D2,28,5,第八折 ·  沉溺芳华,86589
7,是心跳说谎 全一季,152922,7454,D2,9,1,第三集,95516
8,伏特加与曼特宁,2213258,67255,D2,33,8,主题曲·秩序失守,92988
9,乘鸾 第一季,147377,5502,D2,14,3,第六集·火中取栗,94849
10,干涸地,2314935,95501,D2,5,2,火风L原著|干涸地·第三集,86725
11,全职高手广播剧第四季 上,92025,7041,D2,3,0,第一集,96092
12,沙子，时间，雨树,142162,8358,D2,7,0,"੭""导游和奇怪的客人·埃及博物馆",94825
13,嫡谋·第一季,438061,10700,D2,21,11,第十三集·「韩园探秘」,94462
14,二哈在狼群里疯狂造谣 第一季,261247,10299,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
15,解瘾,672687,14928,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
16,尚公主 第一季,29013,2697,D2,2,0,预告贰·长安少年行,95847
17,清白之年,638145,15685,D2,25,5,第十集·致橡树,94838
18,囚于永夜,1694627,34565,D2,200,161,番外 少爷的生日7,94916
19,炽火难熄 全一季,485054,22260,D2,19,7,第九集 · Estoy enamorado de ti,94917
20,触礁,504886,14183,D2,22,10,EP07⟢| 风和心脏 |,95034
21,绰约,2443338,33149,D2,48,13,律法小贴士·13则,86680
22,放学后别来我办公室 全一季,760948,20167,D2,18,4,音频花絮01「谏太宗十诗酥」,86868
23,沉浮事,1192064,18454,D2,18,7,浊世篇·第七集,94775
24,搭界 第一季,552556,17368,D2,30,16,第十一集,94617
25,错登科  第一季,160836,5639,D2,17,9,第十集·解语花,94787
26,守寡后我重生了 第二季,176447,4749,D2,15,5,第六集,95212
27,穿进赛博游戏后干掉BOSS成功上位 第一季,106979,5004,B,8,0,第4集,95678
28,传闻,152067,8962,D2,10,0,✧主役采访 · 下期,95625
29,难言之欲,321170,11736,D2,12,5,E6,94857
30,愚蠢的有钱人 全一季,210828,8021,D2,28,9,第九集,94873
