排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,10632907,130194,D2,28,7,新年小剧场《压岁钱》,91718
2,灯花笑 上季,3857484,59169,D2,30,13,第16集,94733
3,你的雪人能活多久 第一季,1589255,58773,D2,29,7,教师节福利彩蛋,93787
4,虚拟偶像团综丨《去世界尽头》,6110923,54058,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
5,恒星时刻 第一季,867784,62605,D2,5,0,小剧场 · 秦内心戏多得一❤隅,94789
6,尾钩,702209,21363,D2,26,13,第20集 · 航行灯,95503
7,宋玉章 第一季,4269295,46075,D2,25,4,宋玉章 · 教师节特别语音,86589
8,伏特加与曼特宁,2067903,66214,D2,28,5,✦店长来啦！⑥,92988
9,传闻,88326,7474,D2,7,0,✧主题曲 · 泊光,95625
10,满城衣冠 全一季,2709214,56625,D2,35,10,花絮⑥ · 方言难难难,90878
11,干涸地,2238808,94873,D2,3,0,火风L原著|干涸地·第一集,86725
12,全职高手广播剧第四季 上,23388,3186,D2,2,0,正式预告,96092
13,我花开后百花杀 第一季,140195,4987,D2,11,1,第五集 · 落子无悔,94893
14,搭界 第一季,510271,16967,D2,28,14,第十集,94617
15,穿进赛博游戏后干掉BOSS成功上位 第一季,82539,4602,B,7,0,第3集,95678
16,囚于永夜,1538637,32971,D2,200,161,番外 少爷的生日7,94916
17,绰约,2349898,32870,D2,44,11,教师节小剧场,86680
18,谁来言说夜晚 上季,1928985,16437,D2,101,63,第80集,94321
19,放学后别来我办公室 全一季,705989,19631,D2,15,3,第五课「人间烟火」,86868
20,嫡谋·第一季,409699,10289,D2,18,9,第十一集·「春深局变」,94462
21,守寡后我重生了 第二季,142963,4281,D2,14,4,花絮02,95212
22,沉浮事,1022922,17443,D2,17,6,浊世篇·第六集,94775
23,任东西,84989,3472,D2,13,4,任东西·第七集,94860
24,炽火难熄 全一季,417267,21285,D2,17,5,第七集 · 喜不喜欢？,94917
25,解瘾,580143,14319,D2,28,6,花絮6❃亲不动了要秃噜皮啦,94782
26,是心跳说谎 全一季,85042,5840,D2,5,0,第一集,95516
27,触礁,419008,13502,D2,19,7,番外1⟢「 帆船 」,95034
28,清白之年,570525,15211,D2,23,3,花絮02,94838
29,赤霞珠,369718,13768,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
30,错登科  第一季,143799,5377,D2,15,7,花絮-要被萌死了,94787
