排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,17754630,196675,33,1,14880,2515,16.90%,第三期,86815
2,我在无限游戏里封神 第四季,2392327,102830,13,2,5055,2292,45.34%,第二集 · 阴山村,86834
3,奇洛李维斯回信,42324662,504565,79,23,46677,23663,50.70%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,33794916,379893,62,43,45763,28129,61.47%,花絮13,86178
5,一屋暗灯 全一季,553089,45789,4,0,4204,0,0.00%,伴奏·不愈合,93038
6,于是麦麦决定离家出走,4308735,95071,30,17,7766,4653,59.92%,花絮03,86179
7,顶级掠食者 第二季,5683481,50167,26,10,4142,3115,75.21%,第十集,86789
8,一颗苹果,11510491,135215,78,32,10592,4327,40.85%,启动音试听 · 谢青寄,90818
9,早春晴朗,31155606,242378,57,24,19439,12743,65.55%,完结FT,72230
10,沉醉不醒,1551293,39570,13,0,2048,0,0.00%,第三期,86740
11,反差 全一季,6247453,49858,27,9,3183,1604,50.39%,第九集·孤注的告白,86684
12,天官赐福 第三季,67941770,251043,67,43,31434,25841,82.21%,小剧场·元宵·花灯,82040
13,美人印,458626,27070,10,3,1744,321,18.41%,第四集,92611
14,初三的六一儿童节,23333252,50072,238,206,5540,4355,78.61%,番外2 小陆的故事（1）,85562
15,惹祸精,722887,26814,33,11,1302,621,47.70%,第十三集,90987
16,偷风不偷月 上季,7758350,123850,41,18,10159,5613,55.25%,300w福利·楚识琛（沈若臻）·风月语录,71389
17,我在无限游戏里封神 第三季,21085285,200501,91,21,27852,20449,73.42%,破亿纪念单曲·神明所遗落的,81851
18,天官赐福 第二季,70072454,341276,61,43,37057,33704,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
19,天官赐福 第一季,82725932,937437,61,43,67622,36283,53.66%,四千万福利·小剧场·从前有一位名师,52400
20,藏南晚星,17605598,190075,79,42,18775,13734,73.15%,主题曲伴奏·途经,85110
21,逐玉 第一季,4134702,70466,43,14,2201,979,44.48%,原创配乐 · 凶夜,89245
22,再世权臣 第三季（上）,2083142,44777,32,8,2946,2099,71.25%,花絮03·都很敏感,86827
23,欢迎进入梦魇直播间 第二季,5185936,40588,22,10,3029,2126,70.19%,第十集 ♱ 造啊造，造了个大的,90985
24,放学等我 第一季,49798032,796799,53,18,62376,36310,58.21%,1700W福利·P-特别小剧场「2022.12.2」,64911
25,太傅他人人喊打 第二季,2168283,36443,20,9,2589,1441,55.66%,第九集,86723
26,放学等我 第二季,29275170,423968,42,16,44089,34685,78.67%,番外·恋爱纪念日,68837
27,逐玉 第二季,606608,12514,9,1,395,44,11.14%,小剧场 · 小人偶,92520
28,偷风不偷月 下季,3340287,59531,35,17,4331,4060,93.74%,100W福利·白噪音,77591
29,吞海 第一季,49603497,513620,54,17,43938,27367,62.29%,原创配乐·破晓,29187
30,我在无限游戏里封神 第一季,70699719,965539,64,14,76338,42794,56.06%,线下漫展VLOG,52347
31,小蘑菇 第二季,49467390,489976,46,33,50248,46760,93.06%,全剧五千万福利,39605
32,重生之将门毒后 第二季,40289113,373154,83,26,49466,33171,67.06%,破亿福利·白噪音·花灯,52293
33,恩客,682516,14143,24,11,781,288,36.88%,17·春情,91870
34,魔道祖师 第三季,294456659,1533809,66,56,97632,90065,92.25%,传讯符·忘羡,22602
35,将进酒 第一季,104250584,1421269,59,16,78173,53297,68.18%,完结FT,25944
36,我在无限游戏里封神 第二季（下）,19152981,238515,55,14,26353,22421,85.08%,花絮06,76557
37,魔道祖师 第一季,256952952,2247381,39,22,96786,64537,66.68%,主创FT<下>,15861
38,你的距离,89002606,927263,70,27,78193,56131,71.79%,完结FT·主创版,31552
39,吞海 第二季,31293502,260937,56,19,24971,23233,93.04%,新年祝福,67085
40,降水概率百分百,308924,13893,6,0,903,0,0.00%,˚.⊹ 第一期 ♡₊˚,93005
41,吞海 第三季（上）,21613870,207324,38,16,17594,16460,93.55%,OST·04 此地埋名,73221
42,魔道祖师 第二季,169696122,1409035,41,37,88724,81480,91.84%,主役FT（下）,19059
43,小蘑菇 第一季,48654481,904798,33,17,57931,38893,67.14%,白噪音·漫步荒原,29125
44,将进酒 第二季,71463367,806490,45,22,67038,60939,90.90%,第二季完结FT,30383
45,某某 第一季,96666493,1694270,43,28,77227,45018,58.29%,伴奏|《梧桐说》,58219
46,我喜欢你的信息素 第一季,98337922,1488955,48,21,72406,45234,62.47%,四千万福利,58217
47,吞海 第三季（下）,18522738,183257,51,18,17914,16184,90.34%,破亿纪念•抒情主役版「晓」,76879
48,纸飞机,9534896,180549,47,25,12729,7129,56.01%,小剧场 占有欲 ,53304
49,我在无限游戏里封神 第二季（上）,19382355,315896,42,11,32733,28330,86.55%,花絮06,71605
50,重生之将门毒后 第一季,90932110,817857,82,27,88060,42135,47.85%,主役reaction·片段03,43922
