排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,49749965,417290,57,24,D2,完结FT,72230
2,情蛊,42717836,455482,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,55115939,846262,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55950456,580029,98,41,D2,OST A12 · 暗恋基本法,85974
5,小蘑菇 第一季,51342417,934625,33,17,D2,白噪音·漫步荒原,29125
6,二哈和他的白猫师尊,168179505,3202654,84,0,B,概念曲-拜长久（+童声版）,20741
7,天官赐福 第四季,12325186,135330,31,10,D2,新年小剧场《压岁钱》,91718
8,恒星时刻 第一季,1433675,67564,12,0,D2,歌曲《狮心》（Live）Remix,94789
9,灯花笑 上季,4378228,62836,36,16,D2,突击采访,94733
10,天官赐福 第一季,89204173,981982,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,难哄,147984181,1585915,76,48,D2,破亿福利·纪念FT,38074
12,虚拟偶像团综丨《去世界尽头》,7007686,55910,52,0,B,嘉宾观察室乔殊篇·小歌迷,94354
13,不二之臣,41650390,861628,16,0,B,大结局·下,25580
14,干涸地,2314931,95501,5,2,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7721404,117019,46,13,D2,花絮03,81597
16,魔道祖师 第一季,260918706,2289248,39,22,D2,主创FT<下>,15861
17,伪装学渣 第一季,103858097,1956681,30,17,D2,千万福利·“叫妈妈”,58262
18,囚于永夜,5461374,324320,1,0,B,织音发布会纯享PV · 概念预告,86822
19,你的雪人能活多久 第一季,1807948,62136,31,9,D2,小剧场04 · 密码,93787
20,台风眼 第一季,36290281,312605,53,20,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107090967,1451004,59,16,D2,完结FT,25944
22,偷偷藏不住,203657187,2421821,89,54,D2,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75378844,1007339,64,14,D2,线下漫展VLOG,52347
24,一屋暗灯 全一季,13448707,210413,54,14,D2,主役版主题曲▪未说的,93038
25,重生之将门毒后 第一季,95677292,845901,82,27,D2,主役reaction·片段03,43922
26,某某 第一季,99142577,1729886,43,28,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73912759,278622,68,44,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101320389,1524036,48,21,D2,四千万福利,58217
29,见春天,13615156,236828,54,8,D2,魏清越书信·02,80533
30,如果月亮不抱你,84270368,1196571,24,0,B,全网2000万福利突击采访,25485
31,放学等我 第二季,32372607,456008,42,16,D2,番外·恋爱纪念日,68837
32,藏南晚星,20471156,211117,81,44,D2,✧2000万福利·番外·美梦,85110
33,尾钩,1020588,23816,40,21,D2,白噪音 · 郎机长礼拜日志,95503
34,伏特加与曼特宁,2213219,67255,33,8,D2,主题曲·秩序失守,92988
35,再世权臣 第一季,22543982,265105,79,17,D2,花絮07,71321
36,我在无限游戏里封神 第四季,8289693,147485,56,15,D2,特别放送 · emoji大挑战,86834
37,不想了,10028310,115928,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75310559,367025,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,宋玉章 第一季,4829256,48140,28,5,D2,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28623185,249149,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38937156,727913,31,0,B,主役听剧Reaction,46640
42,一颗苹果,14195862,168221,82,35,C,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22276615,379918,37,11,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298188696,1549555,66,56,D2,传讯符·忘羡,22602
45,江医生 第一季,17428347,240102,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
46,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32341402,116241,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
47,你的距离,91442007,941568,70,27,D2,完结FT·主创版,31552
48,FOG[电竞] 第一季,71732544,770552,39,14,D2,2000W福利·whisper伴奏抒情版,29122
49,二哈和他的白猫师尊,17029657,108684,669,603,D2,完结FT,81979
50,虚拟偶像团综丨《一起再出发》,93992995,255769,179,0,B,中秋特辑·清道夫,58225
51,交易沦陷,30595274,179966,138,99,D2,特别福利·星空沦陷,54171
52,吞海 第一季,52671915,539900,54,17,D2,原创配乐·破晓,29187
53,囚于永夜,1694602,34565,200,161,D2,番外 少爷的生日7,94916
54,夫人你马甲又掉了 第一季,65528264,1027882,25,0,B,小剧场3,32574
55,南方海啸,25678834,175624,102,68,D2,花絮⑤,85492
56,重生之将门毒后 第二季,42888157,388015,83,26,D2,破亿福利·白噪音·花灯,52293
57,虚拟偶像团综丨《LASER出道日》,84352767,683798,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
58,判官 第一季,39065810,658430,45,21,D2,听剧reaction,37773
59,迪奥先生 第一季,79915480,1080378,30,15,D2,王氏破产 铃声,23329
60,我在无限游戏里封神 第三季,24581332,222731,91,21,D2,破亿纪念单曲·神明所遗落的,81851
61,第二十八年春,10947810,385316,13,0,B,第四期,26751
62,是心跳说谎 全一季,152914,7454,9,1,D2,第三集,95516
63,奇洛李维斯回信 番外篇,1271591,77451,3,2,D2,番外 ·  庆生宴,93420
64,魔道祖师 第二季,172017435,1424756,41,37,D2,主役FT（下）,19059
65,酸梅,4303580,261155,4,0,B,第二期,51020
66,坠落,11787123,186806,59,22,D2,番外二·新生,76041
67,唇枪 上季,506008,24396,1,0,B,织音发布会纯享PV,94802
68,针锋对决,38362642,942111,19,0,B,完结FT  互动问答,19249
69,这题超纲了 第一季,21346053,502061,44,17,D2,【回放】《这题超纲了》M星直播,41369
70,等风热吻你,16958956,316016,56,18,D2,插曲《约定》,52292
71,撒野 第一季,88700039,1846541,36,8,D2,千万播放纪念,58443
72,于是麦麦决定离家出走,6208810,115112,53,33,D2,七夕小剧场✦小天使,86179
73,恃宠 全一季,11685994,139886,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
74,乘鸾 第一季,147336,5502,14,3,D2,第六集·火中取栗,94849
75,营业悖论 第一季,48531372,663403,50,13,D2,中秋特别语音,36817
76,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29108527,131106,71,0,B,梦系列小剧场06·白日,78684
77,告白 第一季,21663139,373888,54,12,D2,1000w福利·早安·周京泽,59041
78,我喜欢你的信息素 第二季,77144751,852679,43,26,D2,国风版·星衍,58218
79,FOG[电竞]第二季,59191998,438352,50,28,D2,破亿特别直播回放,39588
80,落池,68806618,1353552,15,0,B,落池·番外,22032
81,结婚而已,3406615,46753,49,24,D2,☾ · 春节福利音,88370
82,失忆后死对头成了我男朋友？,5653108,105724,48,20,D2,花絮15·恢复,86693
83,君有疾否 第一季,27454358,469980,67,56,D2,苏世誉 ✦ 第一季启动音,34592
84,封建糟粕,16329094,157981,143,110,D2,充电·李叔堂,87589
85,提灯看刺刀 上季,15085915,245053,32,8,D2,花絮·韩楚,77771
86,别来无恙 第一季,23561412,460498,48,22,D2,1000W福利•《满心》（合唱版）,37937
87,逐玉 第一季,4725001,75185,43,14,D2,原创配乐 · 凶夜,89245
88,将进酒 第二季,73270827,816918,45,22,D2,第二季完结FT,30383
89,虚拟偶像综艺丨《险象环声》,84883265,440222,138,0,B,三千万福利·偶像问答,38165
90,微微一笑很倾城,16146611,341870,14,0,B,番外,1884
91,破云 第一季,59626487,1107365,20,15,D2,圣诞特辑,59047
92,台风眼 第二季,30179077,165368,50,32,D2,完结 FT,68664
93,秉性下等,26488301,209960,99,35,D2,两千万福利·时间的情书,64528
94,娑婆,2120128,39644,33,22,D2,第十九集,93178
95,我在无限游戏里封神 第二季（下）,21527631,259440,55,14,D2,花絮06,76557
96,欢迎进入梦魇直播间 第一季,24272965,200081,62,20,D2,完结FT,75856
97,偏偏宠爱,18002871,368478,49,13,D2,四百万语音·江忍,52353
98,悬日 上季,12103849,157145,52,18,D2,ଫ苏洄生日福利,88192
99,你就当我死了吧  全一季,13366051,255218,30,0,B,主役版主题曲（纯享）,76841
100,嫡谋·第一季,438052,10700,21,11,D2,第十三集·「韩园探秘」,94462
