排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,2731785,95551,14,0,五一彩蛋,93038
2,洄天 第一季,20733670,213701,37,3,第五期,86815
3,我在无限游戏里封神 第四季,3138872,111933,19,4,第四集 · 生魂,86834
4,烟花情书,31507,2165,3,0,主题曲,93337
5,反差 全一季,6745225,52907,32,14,第十二集·接住你了,86684
6,液态欲望 全一季,258331,20178,6,0,EP01,86692
7,蜉蝣,11717,3699,1,0,ೀ˖˚ 预告,93202
8,欢迎进入梦魇直播间 第二季,5813584,43198,28,11,《今日没说法》⑤ ·「不平安疗养院」,90985
9,再世权臣 第三季（上）,2435140,46881,34,10,第十集 ·  再度启程,86827
10,沉醉不醒,1957854,42805,19,5,五一迷你剧场,86740
11,闭嘴，你这假粉 全一季,1892114,23059,33,20,番外2 · 一日为友，终生为父,87641
12,愚蠢的有钱人,400290,16150,26,13,【读诗】,93113
13,娑婆,54763,8105,3,0,围读特辑一,93178
14,顶级掠食者 第二季,6321802,52109,30,12,第十二集,86789
15,太傅他人人喊打 第二季,2599244,38509,23,11,第十一集,86723
16,恩客,1032136,16243,41,28,34·三块大洋,91870
17,禁区,113467,7927,15,0,主题曲《罪名成立》,92575
18,降水概率百分百,576359,17159,11,0,特别语音 ♡ 健身提醒,93005
19,君有疾否,1409276,31655,82,54,第65集,90896
20,逐玉 第二季,696065,13788,13,3,五一劳动节 · 谢征,92520
21,全球进化后我站在食物链顶端 第二季（下）,90514,8126,6,4,第十九集,92775
22,语义错误 第一季,3316504,24372,21,6,200W · 宰英's MUSIC TIME,92155
23,重回我爸少年时 第一季,1305577,16736,47,17,第十一集,91872
24,初三的六一儿童节 第二季（上）,259364,7659,4,1,第二集 · 监狱风云,93154
25,余污 第一季,214000,12403,9,0,小剧场01·斗百草,92701
26,这恋爱一定要谈吗,545143,18113,23,10,插曲《山川》,91787
27,吞雨,284200,12707,24,8,第九集 我要追你啊,91589
28,美人印,540493,28500,13,5,第六集,92611
29,沉浮事,178763,8789,33,23,第叁拾集 梦魇,92895
30,六州歌头 下季,669217,8715,91,86,90 春闺梦里人,92061
