排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,15785171,188363,30,0,第二期,86815
2,逐玉 第一季,4068115,69985,43,14,原创配乐 · 凶夜,89245
3,奇洛李维斯回信,41060156,500710,79,23,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,33267634,375559,61,42,番外·此为情蛊,86178
5,二哈和他的白猫师尊,160245417,3140618,71,0,第叁季-花絮3（下）,20741
6,囚于永夜,4054492,253878,1,0,织音发布会纯享PV · 概念预告,86822
7,放学等我 第一季,49561327,794355,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,一颗苹果,11037770,132741,73,31,小剧场 · 日照金山,90818
9,天官赐福 第一季,82136894,935606,61,43,四千万福利·小剧场·从前有一位名师,52400
10,我在无限游戏里封神 第四季,2051721,97399,11,1,第一集 · 羔羊,86834
11,重生之将门毒后 第一季,90697273,816623,82,27,主役reaction·片段03,43922
12,逐玉 第二季,557195,11651,7,0,第三集 · 比试,92520
13,于是麦麦决定离家出走,4070358,93026,28,16,花絮02,86179
14,天官赐福 第四季,3717676,64554,10,0,新年小剧场《压岁钱》,91718
15,我在无限游戏里封神 第一季,70454701,963487,64,14,线下漫展VLOG,52347
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,24066113,105980,89,0,MANTA三专《宴》特别曲·《罪示录》,84529
17,魔道祖师 第一季,256771717,2245598,39,22,主创FT<下>,15861
18,将进酒 第一季,104103382,1419795,59,16,完结FT,25944
19,美人印,406708,25923,8,1,第三集,92611
20,小蘑菇 第一季,48485945,903389,33,17,白噪音·漫步荒原,29125
21,我喜欢你的信息素 第一季,98183302,1487333,48,21,四千万福利,58217
22,早春晴朗,30686329,238692,57,24,完结FT,72230
23,放学等我 第二季,29129021,422366,42,16,番外·恋爱纪念日,68837
24,天官赐福 第三季,67137619,249829,67,43,小剧场·元宵·花灯,82040
25,娘娘腔,35871607,690415,31,0,主役听剧Reaction,46640
26,某某 第一季,96558290,1692855,43,28,伴奏|《梧桐说》,58219
27,初三的六一儿童节,22402461,47738,230,198,Chapter.110B 什么狗屁Inner Peace,85562
28,伪装学渣 第一季,101509255,1915070,30,17,千万福利·“叫妈妈”,58262
29,藏南晚星,17449387,188800,79,42,主题曲伴奏·途经,85110
30,反差 全一季,6100915,48692,26,8,600W福利·白噪音·入睡,86684
31,见春天,12119336,218083,54,8,魏清越书信·02,80533
32,我在无限游戏里封神 第三季,20878263,199228,91,21,破亿纪念单曲·神明所遗落的,81851
33,沉醉不醒,1306229,38194,10,0,第二期,86740
34,顶级掠食者 第二季,5231962,49141,24,9,第九集,86789
35,全球高考 第一季（全新版）,20163439,354927,37,11,— 「全季完结FT」—,60289
36,交易沦陷,25640998,158871,138,99,特别福利·星空沦陷,54171
37,二哈和他的白猫师尊,13733261,92783,669,603,完结FT,81979
38,台风眼 第一季,33570676,280850,53,20,千万福利·富士山在等一片云,52404
39,语义错误 第一季,2515490,21952,14,2,花絮>ERROR TIME 02,92155
40,不二之臣,40131476,841210,16,0,大结局·下,25580
41,难哄,144951682,1567242,76,48,破亿福利·纪念FT,38074
42,再世权臣 第一季,20303556,248298,79,17,花絮07,71321
43,重生之将门毒后 第二季,40156319,372492,83,26,破亿福利·白噪音·花灯,52293
44,偷偷藏不住,201060108,2409180,89,54,2亿福利·双人电话语音,34632
45,魔道祖师 第三季,294267247,1533054,66,56,传讯符·忘羡,22602
46,针锋对决,36988585,915612,19,0,完结FT  互动问答,19249
47,FOG[电竞] 第一季,69060554,753874,39,14,2000W福利·whisper伴奏抒情版,29122
48,吞海 第一季,49421425,512163,54,17,原创配乐·破晓,29187
49,悬日 上季,10895351,145690,52,18,ଫ苏洄生日福利,88192
50,天官赐福 第二季,69481648,340158,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
