排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,11800713,197227,52,13,番外二,93038
2,奇洛李维斯回信,52414513,561757,98,41,OST A12 · 暗恋基本法,85974
3,囚于永夜,5174172,312446,1,0,织音发布会纯享PV · 概念预告,86822
4,情蛊,40096234,434136,67,48,完结FT·下,86178
5,二哈和他的白猫师尊,165607041,3185592,79,0,第肆季-第十二期,20741
6,灯花笑 上季,1604116,40296,13,0,起床铃·裴云暎,94733
7,放学等我 第一季,53445555,832649,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,天官赐福 第一季,86595574,966287,61,43,四千万福利·小剧场·从前有一位名师,52400
9,虚拟偶像团综丨《去世界尽头》,4006935,48522,27,0,第三期·九个太阳,94354
10,我在无限游戏里封神 第四季,7226322,140034,56,15,特别放送 · emoji大挑战,86834
11,洄天 第一季,27902445,245275,65,14,完结语音 · 高能量S级监护人的一天,86815
12,小蘑菇 第一季,50691386,927659,33,17,白噪音·漫步荒原,29125
13,我在无限游戏里封神 第一季,74155808,997040,64,14,线下漫展VLOG,52347
14,伪装学渣 第一季,103186613,1947286,30,17,千万福利·“叫妈妈”,58262
15,魔道祖师 第一季,259689704,2277146,39,22,主创FT<下>,15861
16,天官赐福 第四季,6542431,98349,15,0,谢怜生辰快乐,91718
17,恒星时刻 第一季,252998,42030,1,0,歌曲《狮心》（Live）,94789
18,我喜欢你的信息素 第一季,100426682,1514922,48,21,四千万福利,58217
19,一颗苹果,13643649,161408,82,35,完结FT · 谢谢光临,90818
20,某某 第一季,98386655,1720789,43,28,伴奏|《梧桐说》,58219
21,见春天,13258709,232135,54,8,魏清越书信·02,80533
22,台风眼 第一季,35574790,303527,53,20,千万福利·富士山在等一片云,52404
23,将进酒 第一季,106212026,1442960,59,16,完结FT,25944
24,再世权臣 第一季,21836212,259868,79,17,花絮07,71321
25,重生之将门毒后 第一季,94164406,837475,82,27,主役reaction·片段03,43922
26,放学等我 第二季,31415966,447441,42,16,番外·恋爱纪念日,68837
