排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,49903264,418045,57,24,D2,完结FT,72230
2,情蛊,42757175,455774,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,55143994,846481,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,56005767,580242,98,41,D2,OST A12 · 暗恋基本法,85974
5,小蘑菇 第一季,51354624,934734,33,17,D2,白噪音·漫步荒原,29125
6,二哈和他的白猫师尊,168210841,3202816,84,0,B,概念曲-拜长久（+童声版）,20741
7,恒星时刻 第一季,1494713,68070,12,0,D2,歌曲《狮心》（Live）Remix,94789
8,天官赐福 第四季,12492779,135809,31,10,D2,新年小剧场《压岁钱》,91718
9,灯花笑 上季,4414686,63061,36,16,D2,突击采访,94733
10,天官赐福 第一季,89280577,982215,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,难哄,148004078,1586009,76,48,D2,破亿福利·纪念FT,38074
12,不二之臣,41661224,861717,16,0,B,大结局·下,25580
13,虚拟偶像团综丨《去世界尽头》,7063445,56015,52,0,B,嘉宾观察室乔殊篇·小歌迷,94354
14,干涸地,2319760,95546,5,2,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7725563,117069,46,13,D2,花絮03,81597
16,魔道祖师 第一季,260939704,2289407,39,22,D2,主创FT<下>,15861
17,伪装学渣 第一季,103865315,1956789,30,17,D2,千万福利·“叫妈妈”,58262
18,你的雪人能活多久 第一季,1841622,62644,32,10,D2,第八集 · 爱神降临,93787
19,囚于永夜,5464202,324397,1,0,B,织音发布会纯享PV · 概念预告,86822
20,台风眼 第一季,36302867,312747,53,20,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107108774,1451138,59,16,D2,完结FT,25944
22,偷偷藏不住,203673175,2421874,89,54,D2,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75397918,1007469,64,14,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95700323,845998,82,27,D2,主役reaction·片段03,43922
25,一屋暗灯 全一季,13465812,210517,54,14,D2,主役版主题曲▪未说的,93038
26,某某 第一季,99155049,1730013,43,28,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73999134,278799,68,44,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101334395,1524156,48,21,D2,四千万福利,58217
29,见春天,13620558,236894,54,8,D2,魏清越书信·02,80533
30,如果月亮不抱你,84280991,1196641,24,0,B,全网2000万福利突击采访,25485
31,藏南晚星,20488378,211232,81,44,D2,✧2000万福利·番外·美梦,85110
32,放学等我 第二季,32389892,456164,42,16,D2,番外·恋爱纪念日,68837
33,伏特加与曼特宁,2239598,67398,34,9,D2,第八期,92988
34,再世权臣 第一季,22562916,265253,79,17,D2,花絮07,71321
35,尾钩,1057506,24102,41,22,D2,第29集 · 阿姆斯特丹,95503
36,我在无限游戏里封神 第四季,8305175,147566,56,15,D2,特别放送 · emoji大挑战,86834
37,不想了,10032675,115945,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75382094,367192,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,宋玉章 第一季,4889456,48404,28,5,D2,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28633499,249211,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38948638,728037,31,0,B,主役听剧Reaction,46640
42,一颗苹果,14207943,168316,82,35,C,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22286171,379994,37,11,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298209666,1549629,66,56,D2,传讯符·忘羡,22602
45,江医生 第一季,17440446,240206,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
46,你的距离,91454019,941615,70,27,D2,完结FT·主创版,31552
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32359769,116268,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
48,FOG[电竞] 第一季,71745606,770594,39,14,D2,2000W福利·whisper伴奏抒情版,29122
49,二哈和他的白猫师尊,17044569,108744,669,603,D2,完结FT,81979
50,交易沦陷,30620050,180057,138,99,D2,特别福利·星空沦陷,54171
51,虚拟偶像团综丨《一起再出发》,94012067,255785,179,0,B,中秋特辑·清道夫,58225
52,吞海 第一季,52687829,540017,54,17,D2,原创配乐·破晓,29187
53,夫人你马甲又掉了 第一季,65536898,1027915,25,0,B,小剧场3,32574
54,南方海啸,25700929,175686,102,68,D2,花絮⑤,85492
55,重生之将门毒后 第二季,42901530,388083,83,26,D2,破亿福利·白噪音·花灯,52293
56,囚于永夜,1708085,34697,200,161,D2,番外 少爷的生日7,94916
57,虚拟偶像团综丨《LASER出道日》,84362575,683843,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
58,判官 第一季,39075028,658483,45,21,D2,听剧reaction,37773
59,我在无限游戏里封神 第三季,24595292,222797,91,21,D2,破亿纪念单曲·神明所遗落的,81851
60,第二十八年春,10950397,385348,13,0,B,第四期,26751
61,迪奥先生 第一季,79922220,1080429,30,15,D2,王氏破产 铃声,23329
62,魔道祖师 第二季,172030694,1424832,41,37,D2,主役FT（下）,19059
63,是心跳说谎 全一季,156004,7515,9,1,D2,第三集,95516
64,奇洛李维斯回信 番外篇,1274259,77555,3,2,D2,番外 ·  庆生宴,93420
65,酸梅,4305043,261186,4,0,B,第二期,51020
66,坠落,11792078,186852,59,22,D2,番外二·新生,76041
67,唇枪 上季,513921,24517,1,0,B,织音发布会纯享PV,94802
68,针锋对决,38367585,942180,19,0,B,完结FT  互动问答,19249
69,乘鸾 第一季,152486,5606,14,3,D2,第六集·火中取栗,94849
70,等风热吻你,16963604,316054,56,18,D2,插曲《约定》,52292
71,这题超纲了 第一季,21351328,502130,44,17,D2,【回放】《这题超纲了》M星直播,41369
72,撒野 第一季,88704599,1846644,36,8,D2,千万播放纪念,58443
73,恃宠 全一季,11692443,139920,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
74,于是麦麦决定离家出走,6213604,115158,53,33,D2,七夕小剧场✦小天使,86179
75,营业悖论 第一季,48538042,663460,50,13,D2,中秋特别语音,36817
76,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29117190,131127,71,0,B,梦系列小剧场06·白日,78684
77,告白 第一季,21668489,373921,54,12,D2,1000w福利·早安·周京泽,59041
78,落池,68811695,1353616,15,0,B,落池·番外,22032
79,FOG[电竞]第二季,59205204,438379,50,28,D2,破亿特别直播回放,39588
80,结婚而已,3410460,46784,49,24,D2,☾ · 春节福利音,88370
81,失忆后死对头成了我男朋友？,5659090,105791,48,20,D2,花絮15·恢复,86693
82,我喜欢你的信息素 第二季,77154712,852759,43,26,D2,国风版·星衍,58218
83,君有疾否 第一季,27461589,470072,67,56,D2,苏世誉 ✦ 第一季启动音,34592
84,封建糟粕,16334646,158039,143,110,D2,充电·李叔堂,87589
85,提灯看刺刀 上季,15094496,245117,32,8,D2,花絮·韩楚,77771
86,将进酒 第二季,73282873,816965,45,22,D2,第二季完结FT,30383
87,微微一笑很倾城,16150843,341904,14,0,B,番外,1884
88,逐玉 第一季,4727241,75210,43,14,D2,原创配乐 · 凶夜,89245
89,别来无恙 第一季,23567002,460562,48,22,D2,1000W福利•《满心》（合唱版）,37937
90,虚拟偶像综艺丨《险象环声》,84894612,440239,138,0,B,三千万福利·偶像问答,38165
91,破云 第一季,59632419,1107450,20,15,D2,圣诞特辑,59047
92,秉性下等,26500745,210010,99,35,D2,两千万福利·时间的情书,64528
93,台风眼 第二季,30188832,165473,50,32,D2,完结 FT,68664
94,娑婆,2129610,39684,33,22,D2,第十九集,93178
95,我在无限游戏里封神 第二季（下）,21536901,259519,55,14,D2,花絮06,76557
96,偏偏宠爱,18008450,368519,49,13,D2,四百万语音·江忍,52353
97,欢迎进入梦魇直播间 第一季,24279705,200126,62,20,D2,完结FT,75856
98,你就当我死了吧  全一季,13372057,255277,30,0,B,主役版主题曲（纯享）,76841
99,骄阳似我 全一季,3942327,41619,40,15,D2,百万彩蛋 · 白噪音小剧场,90737
100,悬日 上季,12109052,157200,52,18,D2,ଫ苏洄生日福利,88192
