排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49000677,412906,D2,57,24,27139,17629,64.96%,4.27%,完结FT,72230
2,天官赐福 第四季,11603544,133306,D2,30,9,12833,7412,57.76%,5.56%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1088482,64733,D2,8,0,10079,0,0.00%,0.00%,OST01 · 春晖,94789
4,你的雪人能活多久 第一季,1721247,60534,D2,30,8,5826,1357,23.29%,2.24%,第七集 · 坏兔子大战狗狗博士,93787
5,奇洛李维斯回信,55716199,578878,D2,98,41,54203,29224,53.92%,5.05%,OST A12 · 暗恋基本法,85974
6,尾钩,894819,23014,D2,32,18,2480,1532,61.77%,6.66%,第25集 · 执手,95503
7,情蛊,42546938,454229,D2,68,49,55012,34152,62.08%,7.52%,4000w福利·山大王,86178
8,灯花笑 上季,4194622,61655,D2,33,15,8872,2302,25.95%,3.73%,主题曲叁·万春融雪,94733
9,天官赐福 第三季,73620074,277883,D2,68,44,34534,28642,82.94%,10.31%,小剧场·元宵·花灯,82040
10,天官赐福 第一季,88887419,980867,D2,61,43,69072,37337,54.06%,3.81%,四千万福利·小剧场·从前有一位名师,52400
11,天官赐福 第二季,75023436,366271,D2,61,43,39180,35676,91.06%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
12,伏特加与曼特宁,2159718,66891,D2,31,8,3796,1603,42.23%,2.40%,第七期,92988
13,宋玉章 第一季,4543392,46669,D2,27,4,3180,1216,38.24%,2.61%,九月月历语音 · 静玉,86589
14,我在无限游戏里封神 第四季,8225883,146944,D2,56,15,12169,9625,79.09%,6.55%,特别放送 · emoji大挑战,86834
15,全职高手广播剧第四季 上,62974,5670,D2,3,0,399,0,0.00%,0.00%,第一集,96092
16,满城衣冠 全一季,2816396,57412,D2,36,11,3628,1668,45.98%,2.91%,第12集 · 绑架,90878
17,一屋暗灯 全一季,13366124,209751,D2,54,14,34994,16291,46.55%,7.77%,主役版主题曲▪未说的,93038
18,藏南晚星,20402020,210660,D2,81,44,21314,15841,74.32%,7.52%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,54983840,845063,D2,53,18,61955,35853,57.87%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,32292565,455267,D2,42,16,44382,33821,76.20%,7.43%,番外·恋爱纪念日,68837
21,囚于永夜,1634427,33933,D2,200,161,3458,1127,32.59%,3.32%,番外 少爷的生日7,94916
22,魔道祖师 第三季,298101382,1549252,D2,66,56,97580,89885,92.11%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260832116,2288541,D2,39,22,97124,64629,66.54%,2.82%,主创FT<下>,15861
24,沉浮事,1125355,18020,D2,18,7,1908,1138,59.64%,6.32%,浊世篇·第七集,94775
25,江医生 第一季,17384915,239769,D2,49,27,23314,14293,61.31%,5.96%,千万播放福利第四弹·小剧场·猫,81852
26,魔道祖师 第二季,171962834,1424444,D2,41,37,88909,81653,91.84%,5.73%,主役FT（下）,19059
27,我在无限游戏里封神 第三季,24523048,222376,D2,91,21,30578,22826,74.65%,10.26%,破亿纪念单曲·神明所遗落的,81851
28,台风眼 第二季,30138990,164960,D2,50,32,14453,13384,92.60%,8.11%,完结 FT,68664
29,台风眼 第一季,36233699,311899,D2,53,20,22407,13996,62.46%,4.49%,千万福利·富士山在等一片云,52404
30,江医生 第二季,8679549,124141,D2,44,36,13945,12984,93.11%,10.46%,主役版·绝对,85256
