排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,奇洛李维斯回信,38933249,492025,79,23,45416,22747,50.09%,花絮09 ·小花絮又又又又又来了,85974
2,逐玉 第一季,3782472,67385,43,14,2093,914,43.67%,原创配乐 · 凶夜,89245
3,情蛊,31844023,365424,58,40,43813,26843,61.27%,番外·解铃,86178
4,再世权臣 第三季（上）,1602261,41772,26,5,2483,1602,64.52%,第五集 ·  暗流涌动,86827
5,反差 全一季,5538656,45350,21,4,2720,1166,42.87%,500万福利·沈知遇·学习陪伴铃声,86684
6,一颗苹果,10039499,128359,66,25,9575,3486,36.41%,花絮06 · 推广,90818
7,太傅他人人喊打 第二季,1586710,33825,15,6,2229,1055,47.33%,第六集,86723
8,于是麦麦决定离家出走,3543903,86828,23,14,6399,3499,54.68%,第九期,86179
9,顶级掠食者 第二季,4236902,46251,19,7,3586,2555,71.25%,第七集,86789
10,欢迎进入梦魇直播间 第二季,3755808,36807,15,6,2636,1744,66.16%,《非诚忽扰》第２期,90985
11,天官赐福 第三季,65358759,246922,66,42,31014,25438,82.02%,花絮·不坠主役,82040
12,重生之将门毒后 第二季,39845065,370883,83,26,49227,32966,66.97%,破亿福利·白噪音·花灯,52293
13,天官赐福 第二季,68129294,337660,61,43,36769,33437,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,天官赐福 第一季,80853695,931282,61,43,67373,36124,53.62%,四千万福利·小剧场·从前有一位名师,52400
15,重生之将门毒后 第一季,90156590,813744,82,27,87803,41972,47.80%,主役reaction·片段03,43922
16,放学等我 第一季,49036816,788994,53,18,62149,36269,58.36%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,放学等我 第二季,28810788,418973,42,16,43973,34758,79.04%,番外·恋爱纪念日,68837
18,失忆后死对头成了我男朋友？,4199375,90663,44,20,5702,3756,65.87%,花絮·陆云笙,86693
19,藏南晚星,17123406,186302,79,42,18268,13312,72.87%,主题曲伴奏·途经,85110
20,六州歌头 下季,366149,7131,40,35,390,267,68.46%,39 瑶台私相会,92061
21,我在无限游戏里封神 第三季,20459573,196654,91,21,27382,20089,73.37%,破亿纪念单曲·神明所遗落的,81851
22,魔道祖师 第三季,293865638,1531470,66,56,97562,90000,92.25%,传讯符·忘羡,22602
23,早春晴朗,30144073,235356,57,24,18895,12400,65.63%,完结FT,72230
24,初三的六一儿童节,21002314,45033,213,184,4682,3526,75.31%,Chapter.103B 活下去，抓住他（下）,85562
25,魔道祖师 第一季,256382517,2241820,39,22,96707,64499,66.70%,主创FT<下>,15861
26,将进酒 第一季,103776635,1416518,59,16,78073,53231,68.18%,完结FT,25944
27,吞海 第一季,49076157,509149,54,17,43593,27120,62.21%,原创配乐·破晓,29187
28,魔道祖师 第二季,169352591,1406760,41,37,88653,81425,91.85%,主役FT（下）,19059
29,偷风不偷月 上季,7425955,120094,41,18,9937,5452,54.87%,300w福利·楚识琛（沈若臻）·风月语录,71389
30,太傅他人人喊打 第一季,6412073,115855,46,31,8019,4759,59.35%,充电·燕迟,73214
31,小蘑菇 第二季,48383136,487043,46,33,50049,46566,93.04%,全剧五千万福利,39605
32,惹祸精,476311,21135,29,8,962,357,37.11%,第十集,90987
33,某某 第一季,96304243,1689332,43,28,77224,44969,58.23%,伴奏|《梧桐说》,58219
34,欢迎进入梦魇直播间 第一季,22250765,183872,62,20,18567,8017,43.18%,完结FT,75856
35,吞海 第二季,30944259,258067,56,19,24643,22916,92.99%,新年祝福,67085
36,吞海 第三季（上）,21370908,204645,38,16,17324,16199,93.51%,OST·04 此地埋名,73221
37,将进酒 第二季,71156764,804551,45,22,66983,60897,90.91%,第二季完结FT,30383
38,再世权臣 第一季,20077689,246171,79,17,22670,10583,46.68%,花絮07,71321
39,我在无限游戏里封神 第一季,69926932,958960,64,14,76010,42578,56.02%,线下漫展VLOG,52347
40,我喜欢你的信息素 第一季,97871331,1483984,48,21,72285,45202,62.53%,四千万福利,58217
41,我在无限游戏里封神 第二季（下）,18750669,235022,55,14,26022,22125,85.02%,花絮06,76557
42,小蘑菇 第一季,48169041,899995,33,17,57801,38814,67.15%,白噪音·漫步荒原,29125
43,你的距离,88452426,923955,70,27,78059,56033,71.78%,完结FT·主创版,31552
44,吞海 第三季（下）,18257154,180509,51,18,17587,15866,90.21%,破亿纪念•抒情主役版「晓」,76879
45,伪装学渣 第一季,101318992,1911670,30,17,80073,47121,58.85%,千万福利·“叫妈妈”,58262
46,偷风不偷月 下季,3143184,56866,35,17,4130,3861,93.49%,100W福利·白噪音,77591
47,语义错误 第一季,1838188,19792,9,0,1355,0,0.00%,Ep.03 SEMANTIC ERROR,92155
48,君有疾否,1023647,28591,43,15,1266,201,15.88%,第26集,90896
49,锦上添金,8114962,89833,44,16,6924,4509,65.12%,°● 八百万福利·炖菜 ●°,86710
50,台风眼 第二季,27708879,145620,50,32,12841,11857,92.34%,完结 FT,68664
