排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,45109559,379709,D2,57,24,25938,16864,65.02%,4.44%,完结FT,72230
2,天官赐福 第四季,9985265,127892,D2,27,6,12094,6551,54.17%,5.12%,第四集·不能尽善问心有憾,91718
3,奇洛李维斯回信,55078368,575859,D2,98,41,53985,29018,53.75%,5.04%,OST A12 · 暗恋基本法,85974
4,你的雪人能活多久 第一季,1464966,56927,D2,27,6,5448,964,17.69%,1.69%,小剧场03 · 戒指,93787
5,情蛊,42101866,450820,D2,68,49,54736,33922,61.97%,7.52%,4000w福利·山大王,86178
6,灯花笑 上季,3605542,57261,D2,29,12,8464,1901,22.46%,3.32%,第15集,94733
7,伏特加与曼特宁,1983733,65594,D2,26,4,3625,1403,38.70%,2.14%,✦店长来啦！⑤,92988
8,尾钩,544880,19813,D2,21,9,2034,1056,51.92%,5.33%,第16集 · 着陆,95503
9,天官赐福 第三季,72918924,275979,D2,68,44,34266,28381,82.83%,10.28%,小剧场·元宵·花灯,82040
10,宋玉章 第一季,4040639,45701,D2,23,3,3026,1054,34.83%,2.31%,第六折 ·  瞒天过海,86589
11,天官赐福 第二季,74310330,364389,D2,61,43,39020,35510,91.00%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
12,天官赐福 第一季,88152467,977819,D2,61,43,69023,37282,54.01%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,我在无限游戏里封神 第四季,8051919,145787,D2,56,15,12040,9504,78.94%,6.52%,特别放送 · emoji大挑战,86834
14,恒星时刻 第一季,711315,60088,D2,4,0,8866,0,0.00%,0.00%,第一集♬R&R,94789
15,满城衣冠 全一季,2609214,55931,D2,33,9,3415,1452,42.52%,2.60%,白噪音 · 苏苏念经,90878
16,一屋暗灯 全一季,13150109,208264,D2,54,14,34787,16111,46.31%,7.74%,主役版主题曲▪未说的,93038
17,沉浮事,939707,17073,D2,17,6,1827,1058,57.91%,6.20%,浊世篇·第六集,94775
18,囚于永夜,1459610,32186,D2,200,161,3244,1017,31.35%,3.16%,番外 少爷的生日7,94916
19,炽火难熄 全一季,398941,21068,D2,17,5,1606,713,44.40%,3.38%,第七集 · 喜不喜欢？,94917
20,藏南晚星,20191208,209354,D2,81,44,21145,15695,74.23%,7.50%,✧2000万福利·番外·美梦,85110
21,放学等我 第一季,54681868,842641,D2,53,18,61937,35818,57.83%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
22,放学等我 第二季,32116703,453807,D2,42,16,44394,33863,76.28%,7.46%,番外·恋爱纪念日,68837
23,魔道祖师 第三季,297865467,1548480,D2,66,56,97542,89849,92.11%,5.80%,传讯符·忘羡,22602
24,我在无限游戏里封神 第三季,24371874,221572,D2,91,21,30491,22751,74.62%,10.27%,破亿纪念单曲·神明所遗落的,81851
25,魔道祖师 第一季,260594338,2286617,D2,39,22,97100,64602,66.53%,2.83%,主创FT<下>,15861
26,江医生 第一季,17263556,238958,D2,49,27,23243,14235,61.24%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,魔道祖师 第二季,171814985,1423645,D2,41,37,88915,81658,91.84%,5.74%,主役FT（下）,19059
28,台风眼 第二季,30033442,164118,D2,50,32,14372,13304,92.57%,8.11%,完结 FT,68664
29,台风眼 第一季,36095006,310310,D2,53,20,22297,13928,62.47%,4.49%,千万福利·富士山在等一片云,52404
30,某某 第一季,98950387,1728047,D2,43,28,76934,45039,58.54%,2.61%,伴奏|《梧桐说》,58219
31,我喜欢你的信息素 第一季,101102496,1522187,D2,48,21,72076,44671,61.98%,2.93%,四千万福利,58217
32,江医生 第二季,8595579,123598,D2,44,36,13871,12912,93.09%,10.45%,主役版·绝对,85256
33,我在无限游戏里封神 第一季,75096697,1005031,D2,64,14,77802,43577,56.01%,4.34%,线下漫展VLOG,52347
34,我在无限游戏里封神 第二季（下）,21387889,258338,D2,55,14,28353,24238,85.49%,9.38%,花絮06,76557
35,吞海 第一季,52436133,538338,D2,54,17,45846,28894,63.02%,5.37%,原创配乐·破晓,29187
36,触礁,373671,13188,D2,18,6,1355,938,69.23%,7.11%,✰花絮·03✰,95034
37,降水概率百分百,2109748,29970,D2,45,18,3031,1773,58.50%,5.92%,完结彩蛋 ♡ 晴天娃娃,93005
38,我喜欢你的信息素 第二季,76993955,851612,D2,43,26,59041,49802,84.35%,5.85%,国风版·星衍,58218
39,你的距离,91233860,940458,D2,70,27,78814,56550,71.75%,6.01%,完结FT·主创版,31552
40,一颗苹果,14067400,166538,C,82,35,13819,6132,44.37%,3.68%,完结FT · 谢谢光临,90818
41,将进酒 第一季,106821977,1448949,D2,59,16,78384,53351,68.06%,3.68%,完结FT,25944
42,重生之将门毒后 第二季,42687567,386938,D2,83,26,50885,34293,67.39%,8.86%,破亿福利·白噪音·花灯,52293
43,某某 第二季,66834795,835221,D2,67,39,68644,51377,74.85%,6.15%,破亿纪念·《正年少》,58220
44,清白之年,540849,14988,D2,21,2,1367,292,21.36%,1.95%,小剧场·肯德基,94838
45,我在无限游戏里封神 第二季（上）,20913540,335324,D2,42,11,34464,29847,86.60%,8.90%,花絮06,71605
46,伪装学渣 第一季,103723695,1954974,D2,30,17,80100,47032,58.72%,2.41%,千万福利·“叫妈妈”,58262
47,吞海 第二季,33119870,275930,D2,56,19,26480,24681,93.21%,8.94%,新年祝福,67085
48,娑婆,1917736,38474,D2,30,20,3811,1224,32.12%,3.18%,第十七集,93178
49,难言之欲,259558,10782,D2,10,3,822,411,50.00%,3.81%,花絮·壹,94857
50,吞海 第三季（上）,22934217,221008,D2,38,16,18910,17725,93.73%,8.02%,OST·04 此地埋名,73221
