排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,灯花笑 上季,3733174,58059,D2,30,13,第16集,94733
2,天官赐福 第四季,10242861,128873,D2,27,6,第四集·不能尽善问心有憾,91718
3,恒星时刻 第一季,794466,61806,D2,4,0,第一集♬R&R,94789
4,虚拟偶像团综丨《去世界尽头》,6035563,53803,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
5,你的雪人能活多久 第一季,1514087,57608,D2,28,7,第六集 · 易感期恶性综合征,93787
6,尾钩,607222,20475,D2,23,10,第17集 · 灰蓝色漩涡,95503
7,满城衣冠 全一季,2657064,56288,D2,34,10,第11集 · 离巢,90878
8,伏特加与曼特宁,2021124,65893,D2,27,5,第六期,92988
9,干涸地,2216461,94630,D2,3,0,火风L原著|干涸地·第一集,86725
10,守寡后我重生了 第二季,131697,4126,D2,13,4,第五集,95212
11,宋玉章 第一季,4129267,45845,D2,23,3,第六折 ·  瞒天过海,86589
12,放学后别来我办公室 全一季,686201,19426,D2,15,3,第五课「人间烟火」,86868
13,谁来言说夜晚 上季,1861070,16320,D2,98,60,第77集,94321
14,囚于永夜,1495656,32566,D2,200,161,番外 少爷的生日7,94916
15,是心跳说谎 全一季,79151,5652,D2,5,0,第一集,95516
16,全职高手广播剧第四季 上,3412,1126,D2,1,0,先行视频,96092
17,触礁,393157,13317,D2,19,7,番外1⟢「 帆船 」,95034
18,绰约,2324628,32835,D2,43,10,律法小贴士·11则,86680
19,清白之年,555453,15109,D2,22,3,第八集·一颗开花的树,94838
20,炽火难熄 全一季,407938,21165,D2,17,5,第七集 · 喜不喜欢？,94917
21,嫡谋·第一季,403030,10195,D2,18,9,第十一集·「春深局变」,94462
22,沉浮事,973301,17234,D2,17,6,浊世篇·第六集,94775
23,搭界 第一季,498697,16830,D2,27,13,花絮 04,94617
24,赤霞珠,357785,13577,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
25,穿进赛博游戏后干掉BOSS成功上位 第一季,72218,4385,B,6,0,第2集,95678
26,解瘾,560213,14275,D2,27,6,第八集,94782
27,传闻,41424,4359,D2,5,0,✧倒计时一天,95625
28,错登科  第一季,139189,5301,D2,15,7,花絮-要被萌死了,94787
29,大王万万不可！ 第一季,465911,15675,D2,26,9,第十二集·红尘诸事,94259
30,愚蠢的有钱人 全一季,190152,7781,D2,26,7,第七集,94873
