排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,46481417,393088,D2,57,24,26363,17147,65.04%,4.36%,完结FT,72230
2,天官赐福 第四季,10372371,129304,D2,28,7,12284,6792,55.29%,5.25%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1545689,58168,D2,28,7,5565,1102,19.80%,1.89%,第六集 · 易感期恶性综合征,93787
4,奇洛李维斯回信,55257170,576626,D2,98,41,54052,29089,53.82%,5.04%,OST A12 · 暗恋基本法,85974
5,情蛊,42215478,451582,D2,68,49,54789,33965,61.99%,7.52%,4000w福利·山大王,86178
6,灯花笑 上季,3776662,58391,D2,30,13,8599,2050,23.84%,3.51%,第16集,94733
7,尾钩,639575,20859,D2,24,11,2189,1214,55.46%,5.82%,第18集 · 鸟入樊笼,95503
8,伏特加与曼特宁,2041064,66038,D2,27,5,3673,1464,39.86%,2.22%,第六期,92988
9,恒星时刻 第一季,824820,62136,D2,5,0,9324,0,0.00%,0.00%,小剧场 · 秦内心戏多得一❤隅,94789
10,天官赐福 第三季,73091465,276465,D2,68,44,34328,28443,82.86%,10.29%,小剧场·元宵·花灯,82040
11,宋玉章 第一季,4172864,45908,D2,23,3,3057,1079,35.30%,2.35%,第六折 ·  瞒天过海,86589
12,天官赐福 第一季,88347558,978561,D2,61,43,69034,37305,54.04%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,74518464,364859,D2,61,43,39056,35553,91.03%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,我在无限游戏里封神 第四季,8099721,146093,D2,56,15,12075,9536,78.97%,6.53%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2673995,56421,D2,34,10,3512,1549,44.11%,2.75%,第11集 · 离巢,90878
16,一屋暗灯 全一季,13209715,208654,D2,54,14,34847,16165,46.39%,7.75%,主役版主题曲▪未说的,93038
17,沉浮事,989189,17289,D2,17,6,1844,1071,58.08%,6.19%,浊世篇·第六集,94775
18,囚于永夜,1510155,32701,D2,200,161,3299,1045,31.68%,3.20%,番外 少爷的生日7,94916
19,藏南晚星,20254411,209651,D2,81,44,21189,15737,74.27%,7.51%,✧2000万福利·番外·美梦,85110
20,放学等我 第一季,54757082,843064,D2,53,18,61901,35812,57.85%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,32161421,454079,D2,42,16,44383,33852,76.27%,7.46%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,297930248,1548680,D2,66,56,97559,89866,92.11%,5.80%,传讯符·忘羡,22602
23,我在无限游戏里封神 第三季,24412583,221775,D2,91,21,30521,22773,74.61%,10.27%,破亿纪念单曲·神明所遗落的,81851
24,魔道祖师 第一季,260657783,2287121,D2,39,22,97095,64599,66.53%,2.82%,主创FT<下>,15861
25,炽火难熄 全一季,411096,21217,D2,17,5,1620,726,44.81%,3.42%,第七集 · 喜不喜欢？,94917
26,江医生 第一季,17296104,239164,D2,49,27,23264,14253,61.27%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,魔道祖师 第二季,171854741,1423846,D2,41,37,88908,81650,91.84%,5.73%,主役FT（下）,19059
28,台风眼 第二季,30061822,164306,D2,50,32,14390,13321,92.57%,8.11%,完结 FT,68664
29,台风眼 第一季,36129617,310658,D2,53,20,22321,13943,62.47%,4.49%,千万福利·富士山在等一片云,52404
30,江医生 第二季,8618497,123763,D2,44,36,13894,12935,93.10%,10.45%,主役版·绝对,85256
31,某某 第一季,98986207,1728346,D2,43,28,76952,45050,58.54%,2.61%,伴奏|《梧桐说》,58219
32,我喜欢你的信息素 第一季,101142092,1522495,D2,48,21,72088,44678,61.98%,2.93%,四千万福利,58217
33,我在无限游戏里封神 第一季,75150158,1005427,D2,64,14,77830,43600,56.02%,4.34%,线下漫展VLOG,52347
34,吞海 第一季,52483896,538643,D2,54,17,45867,28910,63.03%,5.37%,原创配乐·破晓,29187
35,降水概率百分百,2147014,30602,D2,45,18,3063,1794,58.57%,5.86%,完结彩蛋 ♡ 晴天娃娃,93005
36,我在无限游戏里封神 第二季（下）,21416544,258549,D2,55,14,28370,24251,85.48%,9.38%,花絮06,76557
37,你的距离,91275833,940700,D2,70,27,78833,56566,71.75%,6.01%,完结FT·主创版,31552
38,将进酒 第一季,106868442,1449318,D2,59,16,78393,53358,68.06%,3.68%,完结FT,25944
39,我喜欢你的信息素 第二季,77022429,851801,D2,43,26,59040,49798,84.35%,5.85%,国风版·星衍,58218
40,重生之将门毒后 第二季,42728139,387190,D2,83,26,50901,34305,67.40%,8.86%,破亿福利·白噪音·花灯,52293
41,一颗苹果,14090380,166811,C,82,35,13851,6146,44.37%,3.68%,完结FT · 谢谢光临,90818
42,娑婆,1975056,38747,D2,31,20,3834,1235,32.21%,3.19%,主题曲·观音火,93178
43,某某 第二季,66855618,835367,D2,67,39,68652,51381,74.84%,6.15%,破亿纪念·《正年少》,58220
44,清白之年,561625,15155,D2,23,3,1390,338,24.32%,2.23%,花絮02,94838
45,吞海 第二季,33153533,276126,D2,56,19,26498,24699,93.21%,8.94%,新年祝福,67085
46,我在无限游戏里封神 第二季（上）,20933612,335525,D2,42,11,34481,29863,86.61%,8.90%,花絮06,71605
47,伪装学渣 第一季,103751991,1955249,D2,30,17,80091,47036,58.73%,2.41%,千万福利·“叫妈妈”,58262
48,难言之欲,270344,10944,D2,10,3,840,425,50.60%,3.88%,花絮·壹,94857
49,吞海 第三季（上）,22957748,221179,D2,38,16,18941,17758,93.75%,8.03%,OST·04 此地埋名,73221
50,失忆后死对头成了我男朋友？,5565687,104686,D2,48,20,7125,4865,68.28%,4.65%,花絮15·恢复,86693
