排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,46501215,393237,57,24,D2,完结FT,72230
2,情蛊,42216810,451590,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54757760,843065,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55259369,576629,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,167764841,3199991,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,10378577,129315,28,7,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,3778038,58398,30,13,D2,第16集,94733
8,天官赐福 第一季,88350172,978571,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
9,囚于永夜,5421277,323098,1,0,B,织音发布会纯享PV · 概念预告,86822
10,恒星时刻 第一季,825601,62146,5,0,D2,小剧场 · 秦内心戏多得一❤隅,94789
11,伪装学渣 第一季,103752212,1955249,30,17,D2,千万福利·“叫妈妈”,58262
12,你的雪人能活多久 第一季,1546376,58181,28,7,D2,第六集 · 易感期恶性综合征,93787
13,小蘑菇 第一季,51167266,933256,33,17,D2,白噪音·漫步荒原,29125
14,魔道祖师 第一季,260658499,2287123,39,22,D2,主创FT<下>,15861
15,虚拟偶像团综丨《去世界尽头》,6062820,53887,47,0,B,嘉宾观察室江恪篇·滑草DIY,94354
16,一屋暗灯 全一季,13210193,208654,54,14,D2,主役版主题曲▪未说的,93038
17,干涸地,2225530,94721,3,0,D2,火风L原著|干涸地·第一集,86725
18,难哄,147721932,1584130,76,48,D2,破亿福利·纪念FT,38074
19,不二之臣,41480267,859711,16,0,B,大结局·下,25580
20,我在无限游戏里封神 第一季,75150633,1005428,64,14,D2,线下漫展VLOG,52347
21,台风眼 第一季,36129952,310660,53,20,D2,千万福利·富士山在等一片云,52404
22,红白囍 第一季,7652548,116398,46,13,D2,花絮03,81597
23,将进酒 第一季,106869133,1449319,59,16,D2,完结FT,25944
24,重生之将门毒后 第一季,95374342,844329,82,27,D2,主役reaction·片段03,43922
25,天官赐福 第三季,73093835,276469,68,44,D2,小剧场·元宵·花灯,82040
26,我喜欢你的信息素 第一季,101142500,1522495,48,21,D2,四千万福利,58217
27,伏特加与曼特宁,2041708,66046,27,5,D2,第六期,92988
28,某某 第一季,98986543,1728346,43,28,D2,伴奏|《梧桐说》,58219
29,放学等我 第二季,32161914,454079,42,16,D2,番外·恋爱纪念日,68837
30,偷偷藏不住,203451047,2420742,89,54,D2,2亿福利·双人电话语音,34632
31,我在无限游戏里封神 第四季,8100105,146095,56,15,D2,特别放送 · emoji大挑战,86834
32,藏南晚星,20255292,209650,81,44,D2,✧2000万福利·番外·美梦,85110
33,见春天,13541551,235928,54,8,D2,魏清越书信·02,80533
34,尾钩,640891,20868,24,11,D2,第18集 · 鸟入樊笼,95503
35,囚于永夜,1510577,32702,200,161,D2,番外 少爷的生日7,94916
36,洄天 第一季,28487178,248349,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
37,宋玉章 第一季,4174733,45911,23,3,D2,第六折 ·  瞒天过海,86589
38,娘娘腔,38785567,726459,31,0,B,主役听剧Reaction,46640
39,不想了,9963472,115503,93,66,D2,500W福利·主役版主题曲《同谋》,70445
40,天官赐福 第二季,74520853,364862,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
41,一颗苹果,14090592,166811,82,35,C,完结FT · 谢谢光临,90818
42,全球高考 第一季（全新版）,22155095,378711,37,11,D2,— 「全季完结FT」—,60289
43,江医生 第一季,17296490,239164,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
44,二哈和他的白猫师尊,16838008,107873,669,603,D2,完结FT,81979
45,魔道祖师 第三季,297930922,1548682,66,56,D2,传讯符·忘羡,22602
46,如果月亮不抱你,84107543,1195469,24,0,B,全网2000万福利突击采访,25485
47,再世权臣 第一季,22322169,262947,79,17,D2,花絮07,71321
48,满城衣冠 全一季,2674642,56422,34,10,D2,第11集 · 离巢,90878
49,FOG[电竞] 第一季,71574658,769758,39,14,D2,2000W福利·whisper伴奏抒情版,29122
50,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32089428,115817,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
51,迪奥先生 第一季,79832635,1079685,30,15,D2,王氏破产 铃声,23329
52,你的距离,91276362,940700,70,27,D2,完结FT·主创版,31552
53,虚拟偶像团综丨《一起再出发》,93736833,255362,179,0,B,中秋特辑·清道夫,58225
54,交易沦陷,30322073,179228,138,99,D2,特别福利·星空沦陷,54171
55,奇洛李维斯回信 番外篇,1235751,75985,3,2,D2,番外 ·  庆生宴,93420
56,针锋对决,38303927,941247,19,0,B,完结FT  互动问答,19249
57,判官 第一季,38963499,657653,45,21,D2,听剧reaction,37773
58,重生之将门毒后 第二季,42728723,387190,83,26,D2,破亿福利·白噪音·花灯,52293
59,这题超纲了 第一季,21273259,501145,44,17,D2,【回放】《这题超纲了》M星直播,41369
60,虚拟偶像团综丨《LASER出道日》,84220124,683161,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
61,我在无限游戏里封神 第三季,24412991,221775,91,21,D2,破亿纪念单曲·神明所遗落的,81851
62,吞海 第一季,52484458,538643,54,17,D2,原创配乐·破晓,29187
63,唇枪 上季,433395,22913,1,0,B,织音发布会纯享PV,94802
64,南方海啸,25420489,174717,102,68,D2,花絮⑤,85492
65,酸梅,4281532,260534,4,0,B,第二期,51020
66,魔道祖师 第二季,171855195,1423846,41,37,D2,主役FT（下）,19059
67,于是麦麦决定离家出走,6147881,114423,53,33,D2,七夕小剧场✦小天使,86179
68,夫人你马甲又掉了 第一季,65412072,1027129,25,0,B,小剧场3,32574
69,封建糟粕,16254375,157192,143,110,D2,充电·李叔堂,87589
70,坠落,11721744,186056,59,22,D2,番外二·新生,76041
71,别来无恙 第一季,23495589,459720,48,22,D2,1000W福利•《满心》（合唱版）,37937
72,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29002413,130739,71,0,B,梦系列小剧场06·白日,78684
73,欢迎进入梦魇直播间 第一季,24191068,199498,62,20,D2,完结FT,75856
74,君有疾否 第一季,27376792,469164,67,56,D2,苏世誉 ✦ 第一季启动音,34592
75,我喜欢你的信息素 第二季,77022717,851802,43,26,D2,国风版·星衍,58218
76,撒野 第一季,88641158,1845295,36,8,D2,千万播放纪念,58443
77,等风热吻你,16900332,315306,56,18,D2,插曲《约定》,52292
78,第二十八年春,10908347,384757,13,0,B,第四期,26751
79,虚拟偶像综艺丨《险象环声》,84740742,439895,138,0,B,三千万福利·偶像问答,38165
80,我在无限游戏里封神 第二季（下）,21416828,258549,55,14,D2,花絮06,76557
81,逐玉 第一季,4696846,74930,43,14,D2,原创配乐 · 凶夜,89245
82,破云 第一季,59559375,1106349,20,15,D2,圣诞特辑,59047
83,FOG[电竞]第二季,59031178,437867,50,28,D2,破亿特别直播回放,39588
84,放学后别来我办公室 全一季,694380,19519,15,3,D2,第五课「人间烟火」,86868
85,去你的岛,611872,20354,26,13,D2,番外,77026
86,恃宠 全一季,11602419,139271,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
87,AWM 第一季,86228380,1258537,43,20,D2,第十四集·烙印,20284
88,营业悖论 第一季,48457255,662758,50,13,D2,中秋特别语音,36817
89,落池,68747441,1352833,15,0,B,落池·番外,22032
90,杀破狼 第一季,51178962,1018769,16,11,D2,第一季完结花絮,9888
91,台风眼 第二季,30062155,164305,50,32,D2,完结 FT,68664
92,娑婆,1975752,38751,31,20,D2,主题曲·观音火,93178
93,提灯看刺刀 上季,14995455,244356,32,8,D2,花絮·韩楚,77771
94,嫡谋·第一季,405278,10220,18,9,D2,第十一集·「春深局变」,94462
95,我在无限游戏里封神 第二季（上）,20933813,335526,42,11,D2,花絮06,71605
96,我嗑了对家X我的CP,58730717,900195,48,29,D2,完结FT,21102
97,虚拟偶像团综丨《FINE DAY》,35444741,255078,41,0,B,虚拟偶像，但开团会,50725
98,失忆后死对头成了我男朋友？,5566044,104686,48,20,D2,花絮15·恢复,86693
99,偏偏宠爱,17931558,367844,49,13,D2,四百万语音·江忍,52353
100,黑莲花攻略手册 第一季,20040515,421633,36,17,D2,完结FT,52102
