排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,11850945,197672,52,13,33389,14795,44.31%,7.48%,番外二,93038
2,我在无限游戏里封神 第四季,7255482,140232,56,15,11177,8661,77.49%,6.18%,特别放送 · emoji大挑战,86834
3,奇洛李维斯回信,52498272,562285,98,41,52656,27978,53.13%,4.98%,OST A12 · 暗恋基本法,85974
4,满城衣冠 全一季,1914436,50682,19,4,2844,847,29.78%,1.67%,第6集 · 出将,90878
5,情蛊,40159625,434751,67,48,52738,32505,61.63%,7.48%,完结FT·下,86178
6,灯花笑 上季,1676246,40793,14,0,6726,0,0.00%,0.00%,第5集,94733
7,宋玉章 第一季,2060631,38051,14,0,1703,0,0.00%,0.00%,主题曲 · 不照我 · 伴奏,86589
8,天官赐福 第三季,71588824,268860,67,43,33330,27521,82.57%,10.24%,小剧场·元宵·花灯,82040
9,洄天 第一季,27922395,245367,65,14,23253,11211,48.21%,4.57%,完结语音 · 高能量S级监护人的一天,86815
10,我在无限游戏里封神 第三季,23700194,217557,91,21,29970,22312,74.45%,10.26%,破亿纪念单曲·神明所遗落的,81851
11,天官赐福 第二季,73108636,357556,61,43,38427,34945,90.94%,9.77%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
12,天官赐福 第一季,86626604,966608,61,43,68749,36977,53.79%,3.83%,四千万福利·小剧场·从前有一位名师,52400
13,绰约,1991393,31529,30,4,1389,449,32.33%,1.42%,律法小贴士·6则,86680
14,囚于永夜,467149,17336,199,161,1210,308,25.45%,1.78%,番外 少爷的生日7,94916
15,一颗苹果,13656675,161569,82,35,13246,5837,44.07%,3.61%,完结FT · 谢谢光临,90818
16,我在无限游戏里封神 第一季,74187957,997353,64,14,77545,43428,56.00%,4.35%,线下漫展VLOG,52347
17,伏特加与曼特宁,1026744,55800,8,0,1830,0,0.00%,0.00%,倒计时②·祝京儒,92988
18,早春晴朗,36582681,275986,57,24,22298,14633,65.62%,5.30%,完结FT,72230
19,炽火难熄 全一季,154289,15642,8,0,987,0,0.00%,0.00%,第二集 · 再遇,94917
20,理想型,1163111,15958,56,34,1418,852,60.08%,5.34%,45·卖惨,93439
21,你的雪人能活多久 第一季,370651,37103,9,0,2806,0,0.00%,0.00%,倒计时2天,93787
22,放学等我 第一季,53477332,832938,53,18,62653,36090,57.60%,4.33%,1700W福利·P-特别小剧场「2022.12.2」,64911
23,放学等我 第二季,31434460,447604,42,16,44503,34167,76.77%,7.63%,番外·恋爱纪念日,68837
24,魔道祖师 第三季,297037217,1544915,66,56,97499,89846,92.15%,5.82%,传讯符·忘羡,22602
25,我在无限游戏里封神 第二季（下）,20929207,254553,55,14,27872,23798,85.38%,9.35%,花絮06,76557
26,谁来言说夜晚 上季,938432,13901,49,23,1384,640,46.24%,4.60%,第40集,94321
27,搭界 第一季,316378,14554,15,4,1468,685,46.66%,4.71%,主役采访 01,94617
28,再世权臣 第三季（下）,806847,24521,21,12,2193,1946,88.74%,7.94%,第十二集 ·  雨后风荷,93437
29,魔道祖师 第一季,259713479,2277411,39,22,97156,64659,66.55%,2.84%,主创FT<下>,15861
30,台风眼 第二季,29659210,160299,50,32,14029,12972,92.47%,8.09%,完结 FT,68664
31,我在无限游戏里封神 第二季（上）,20580428,331685,42,11,34081,29511,86.59%,8.90%,花絮06,71605
32,台风眼 第一季,35588383,303701,53,20,21687,13608,62.75%,4.48%,千万福利·富士山在等一片云,52404
33,沉醉不醒,3879907,55925,44,25,4656,2898,62.24%,5.18%,番外·墨源·上,86740
34,藏南晚星,19538034,204368,79,42,20553,15218,74.04%,7.45%,主题曲伴奏·途经,85110
35,魔道祖师 第二季,171297789,1420084,41,37,88849,81583,91.82%,5.74%,主役FT（下）,19059
36,清白之年,273117,11491,10,0,863,0,0.00%,0.00%,第二集·在我透明的忧伤中,94838
37,江医生 第一季,16771507,235006,49,27,22824,13903,60.91%,5.92%,千万播放福利第四弹·小剧场·猫,81852
38,解瘾,242638,11961,14,1,669,79,11.81%,0.66%,第三集,94782
39,小蘑菇 第二季,51692289,503876,51,34,51942,47728,91.89%,9.47%,破亿电话·双人,39605
40,某某 第一季,98402139,1721049,43,28,77445,45116,58.26%,2.62%,伴奏|《梧桐说》,58219
41,小蘑菇 第一季,50701888,927843,33,17,58450,39230,67.12%,4.23%,白噪音·漫步荒原,29125
42,吞海 第一季,51823019,533261,54,17,45434,28572,62.89%,5.36%,原创配乐·破晓,29187
43,合笼蛊,320988,8606,12,2,576,162,28.12%,1.88%,第四集·落泪,94418
44,我喜欢你的信息素 第一季,100444299,1515137,48,21,72120,44724,62.01%,2.95%,四千万福利,58217
45,嫁给一个死太监 第一季,3768185,75859,34,12,4432,2452,55.32%,3.23%,新春福利音,66726
46,默读 第五季,39202505,466248,47,34,46515,40111,86.23%,8.60%,电话,59100
47,娑婆,1487953,35480,21,12,3479,943,27.11%,2.66%,第十二集,93178
48,沉浮事,250745,11692,10,0,984,0,0.00%,0.00%,浊世篇·第一集,94775
49,降水概率百分百,1656719,26792,33,13,2551,1367,53.59%,5.10%,˚.⊹ 第十六期 ♡₊˚,93005
50,将进酒 第一季,106227468,1443139,59,16,78355,53340,68.07%,3.70%,完结FT,25944
