排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12815109,136672,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1622228,68785,D2,13,0,歌曲《狮心》,94789
3,灯花笑 上季,4477914,63392,D2,36,16,突击采访,94733
4,你的雪人能活多久 第一季,1890027,63334,D2,32,10,第八集 · 爱神降临,93787
5,尾钩,1120679,24547,D2,43,24,第31集 · 耳鸣,95503
6,全职高手广播剧第四季 上,119311,8060,D2,4,1,第二集,96092
7,二哈在狼群里疯狂造谣 第一季,305013,10997,D2,11,0,第2集·无中生崽,94772
8,伏特加与曼特宁,2275943,67688,D2,34,9,第八期,92988
9,宋玉章 第一季,5006463,48861,D2,28,5,第八折 ·  沉溺芳华,86589
10,沙子，时间，雨树,167323,8783,D2,8,0,第2集✧˖黏土，工作，与火,94825
11,传闻,177827,9436,D2,11,0,✧第三集,95625
12,干涸地,2329281,95636,D2,6,2,花絮01,86725
13,触礁,533351,14388,D2,25,10,50w播放充电音·周时也,95034
14,炽火难熄 全一季,499796,22442,D2,20,7,花絮04 · 夸人技巧,94917
15,囚于永夜,1735684,34920,D2,200,161,番外 少爷的生日7,94916
16,沉浮事,1256470,18836,D2,19,8,云外篇·第八集,94775
17,尚公主 第一季,41834,3167,D2,3,0,《尚公主》同名主题曲,95847
18,难言之欲,332840,11873,D2,13,6,E7,94857
19,放学后别来我办公室 全一季,782678,20338,D2,19,5,第七课「等风来」,86868
20,我花开后百花杀 第一季,158573,5326,D2,13,3,第七集 · 折桂赠卿,94893
21,穿进赛博游戏后干掉BOSS成功上位 第一季,113542,5154,B,9,1,第5集,95678
22,搭界 第一季,559633,17453,D2,30,16,第十一集,94617
23,守寡后我重生了 第二季,190895,4861,D2,16,6,第七集,95212
24,是心跳说谎 全一季,160436,7607,D2,9,1,第三集,95516
25,清白之年,659462,15870,D2,25,5,第十集·致橡树,94838
26,乘鸾 第一季,156504,5653,D2,14,3,第六集·火中取栗,94849
27,错登科  第一季,165975,5739,D2,17,9,第十集·解语花,94787
28,解瘾,694457,15009,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
29,赤霞珠,413702,14600,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
30,金陵春 第一季,190892,6500,D2,18,8,第十一集,94497
