排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,8340757,119025,22,3,第二集·明明如昨好风送我,91718
2,虚拟偶像团综丨《去世界尽头》,5237199,51987,43,0,嘉宾观察室林致篇·皮筋立大功,94354
3,灯花笑 上季,2863482,51499,22,7,第11集,94733
4,尾钩,104740,10851,7,0,第03集 · 相识,95503
5,满城衣冠 全一季,2368002,54034,30,8,第9集 · 正义,90878
6,伏特加与曼特宁,1650475,62948,21,1,主题曲·私藏余温,92988
7,宋玉章 第一季,3286878,44347,19,1,主题曲 · 玉堂春· 伴奏,86589
8,囚于永夜,1143747,28709,200,161,温然生日小剧场,94916
9,炽火难熄 全一季,315918,19920,13,3,第五集 · 生日快乐,94917
10,绰约,2173209,32427,38,7,律法小贴士·9则,86680
11,触礁,250275,11907,15,5,七夕福利音,95034
12,穿进赛博游戏后干掉BOSS成功上位 第一季,4332,890,1,0,预告,95678
13,恒星时刻 第一季,342683,49306,1,0,歌曲《狮心》（Live）,94789
14,是心跳说谎 全一季,12677,1937,2,0,预告一·心跳瞬间,95516
15,嫡谋·第一季,354774,9363,16,7,第九集·「棋落尘缘」,94462
16,谁来言说夜晚 上季,1484924,15585,81,44,第61集,94321
17,茱丽叶塔 全一季,54477,5382,14,1,「第四集」“与众不同的小苗”,95106
18,放学后别来我办公室 全一季,548129,18139,11,0,概念曲＜青阳＞伴奏,86868
19,解瘾,420263,13399,22,4,第六集,94782
20,赤霞珠,259957,11674,28,19,七夕福利音·poem·唐渡,95114
21,搭界 第一季,429958,16118,22,9,第七集,94617
22,沉浮事,655952,15137,14,3,七夕小剧场·红线,94775
23,合笼蛊,457177,9301,18,5,第七集·阴蛊,94418
24,错登科  第一季,107924,4789,12,5,花絮-凤梨酥噎人事件,94787
25,清白之年,436164,13415,18,0,花絮01,94838
26,叛臣,209628,11443,20,8,播放福利 · 20万,94684
27,大王万万不可！ 第一季,362117,14717,24,7,第十集·各有所图,94259
28,愚蠢的有钱人 全一季,149936,6931,16,2,花絮②·小狗对汪,94873
29,我花开后百花杀 第一季,103393,4229,8,0,第二集 · 暗香识,94893
30,守寡后我重生了 第二季,73253,3148,9,1,七夕福利音· 陈敬宗,95212
