排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,3949902,68988,43,14,2155,947,43.94%,原创配乐 · 凶夜,89245
2,奇洛李维斯回信,39746591,495860,79,23,45789,23062,50.37%,花絮09 ·小花絮又又又又又来了,85974
3,情蛊,32493311,369951,60,41,44417,27245,61.34%,花絮12,86178
4,我在无限游戏里封神 第四季,1561600,91349,3,0,2905,0,0.00%,特别放送 · 大型恐怖游戏联赛火热进行中Ⅰ,86834
5,顶级掠食者 第二季,4649772,47896,21,8,3799,2771,72.94%,第八集,86789
6,一颗苹果,10469281,130194,67,26,9788,3651,37.30%,第15集 · 祷告 Breath by Breath,90818
7,于是麦麦决定离家出走,3775612,89644,26,15,6758,3778,55.90%,小剧场✦小猫神,86179
8,反差 全一季,5830259,47092,24,7,2871,1310,45.63%,愚人节福利花絮,86684
9,再世权臣 第三季（上）,1740806,42700,29,6,2616,1740,66.51%,第六集 ·  到此为止,86827
10,太傅他人人喊打 第二季,1728789,34673,16,6,2330,1150,49.36%,花絮03,86723
11,天官赐福 第三季,65994581,248178,66,42,31140,25552,82.06%,花絮·不坠主役,82040
12,欢迎进入梦魇直播间 第二季,4193806,37925,17,7,2748,1851,67.36%,《非诚忽扰》第２.５期,90985
13,天官赐福 第二季,68633215,338787,61,43,36854,33515,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,天官赐福 第一季,81326928,933218,61,43,67449,36181,53.64%,四千万福利·小剧场·从前有一位名师,52400
15,重生之将门毒后 第二季,39994265,371709,83,26,49287,33025,67.01%,破亿福利·白噪音·花灯,52293
16,惹祸精,549921,23247,30,9,1081,454,42.00%,第十一集,90987
17,藏南晚星,17268375,187368,79,42,18400,13429,72.98%,主题曲伴奏·途经,85110
18,初三的六一儿童节,21568308,46152,219,190,4807,3642,75.76%,Chapter.106B 赴汤蹈火（下）,85562
19,放学等我 第一季,49262074,791264,53,18,62265,36310,58.32%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,早春晴朗,30370598,236632,57,24,18992,12464,65.63%,完结FT,72230
21,放学等我 第二季,28950786,420420,42,16,44004,34740,78.95%,番外·恋爱纪念日,68837
22,我在无限游戏里封神 第三季,20636080,197825,91,21,27505,20183,73.38%,破亿纪念单曲·神明所遗落的,81851
23,偷风不偷月 上季,7522790,121233,41,18,10006,5499,54.96%,300w福利·楚识琛（沈若臻）·风月语录,71389
24,失忆后死对头成了我男朋友？,4273907,91182,44,20,5767,3813,66.12%,花絮·陆云笙,86693
25,重生之将门毒后 第一季,90419688,815190,82,27,87896,42027,47.81%,主役reaction·片段03,43922
26,将进酒 第一季,103934553,1418016,59,16,78094,53241,68.18%,完结FT,25944
27,魔道祖师 第三季,294051690,1532163,66,56,97580,90017,92.25%,传讯符·忘羡,22602
28,逐玉 第二季,469105,10493,6,0,283,0,0.00%,第二集 · 夜会,92520
29,沉醉不醒,1071288,34534,9,0,1343,0,0.00%,第一期,86740
30,小蘑菇 第二季,48615890,487965,46,33,50120,46636,93.05%,全剧五千万福利,39605
31,吞海 第一季,49222612,510343,54,17,43700,27201,62.24%,原创配乐·破晓,29187
32,魔道祖师 第一季,256561008,2243468,39,22,96726,64517,66.70%,主创FT<下>,15861
33,偷风不偷月 下季,3207278,57681,35,17,4196,3926,93.57%,100W福利·白噪音,77591
34,魔道祖师 第二季,169459800,1407416,41,37,88663,81432,91.84%,主役FT（下）,19059
35,小蘑菇 第一季,48296386,901628,33,17,57860,38858,67.16%,白噪音·漫步荒原,29125
36,美人印,301561,22930,5,0,1348,0,0.00%,第二集,92611
37,太傅他人人喊打 第一季,6451517,116555,46,31,8065,4795,59.45%,充电·燕迟,73214
38,将进酒 第二季,71254381,805171,45,22,66971,60878,90.90%,第二季完结FT,30383
39,吞海 第二季,31042559,258873,56,19,24743,23013,93.01%,新年祝福,67085
40,语义错误 第一季,2102813,20968,11,1,1459,280,19.19%,Ep.04 SHIFT,92155
41,某某 第一季,96420049,1690899,43,28,77264,45020,58.27%,伴奏|《梧桐说》,58219
42,我在无限游戏里封神 第一季,70152799,960969,64,14,76139,42660,56.03%,线下漫展VLOG,52347
43,吞海 第三季（上）,21441965,205362,38,16,17410,16281,93.52%,OST·04 此地埋名,73221
44,欢迎进入梦魇直播间 第一季,22373456,184634,62,20,18631,8058,43.25%,完结FT,75856
45,你的距离,88602901,924757,70,27,78099,56062,71.78%,完结FT·主创版,31552
46,我在无限游戏里封神 第二季（下）,18865630,236068,55,14,26103,22200,85.05%,花絮06,76557
47,再世权臣 第一季,20176625,247104,79,17,22745,10623,46.70%,花絮07,71321
48,我喜欢你的信息素 第一季,98008311,1485416,48,21,72308,45210,62.52%,四千万福利,58217
49,吞海 第三季（下）,18336186,181249,51,18,17690,15963,90.24%,破亿纪念•抒情主役版「晓」,76879
50,重回我爸少年时 第一季,1058027,14564,36,7,852,338,39.67%,100W福利音-林深生日快乐,91872
