排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,44057683,367803,57,24,D2,完结FT,72230
2,情蛊,42024220,450225,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,54962015,575252,98,41,D2,OST A12 · 暗恋基本法,85974
4,二哈和他的白猫师尊,167579788,3198857,84,0,B,概念曲-拜长久（+童声版）,20741
5,放学等我 第一季,54625737,842231,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
6,天官赐福 第四季,9688267,126600,26,5,D2,第三集·叫天不应叫地不灵,91718
7,灯花笑 上季,3517931,56580,28,11,D2,第14集,94733
8,囚于永夜,5402639,322587,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,88024424,977238,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,伪装学渣 第一季,103704006,1954688,30,17,D2,千万福利·“叫妈妈”,58262
11,一屋暗灯 全一季,13106975,207914,54,14,D2,主役版主题曲▪未说的,93038
12,你的雪人能活多久 第一季,1432881,56458,27,6,D2,小剧场03 · 戒指,93787
13,虚拟偶像团综丨《去世界尽头》,5832279,53319,45,0,B,第七期·自由身,94354
14,魔道祖师 第一季,260551541,2286216,39,22,D2,主创FT<下>,15861
15,恒星时刻 第一季,530622,56140,3,0,D2,预告 · 肆,94789
16,我在无限游戏里封神 第一季,75059758,1004740,64,14,D2,线下漫展VLOG,52347
17,干涸地,2153787,94324,2,0,D2,火风L原著|干涸地·正式预告,86725
18,难哄,147605678,1583104,76,48,D2,破亿福利·纪念FT,38074
19,台风眼 第一季,36072351,310067,53,20,D2,千万福利·富士山在等一片云,52404
20,伏特加与曼特宁,1958309,65348,26,4,D2,✦店长来啦！⑤,92988
21,我喜欢你的信息素 第一季,101075633,1521891,48,21,D2,四千万福利,58217
22,将进酒 第一季,106791754,1448673,59,16,D2,完结FT,25944
23,天官赐福 第三季,72804212,275622,68,44,D2,小剧场·元宵·花灯,82040
24,重生之将门毒后 第一季,95242341,843562,82,27,D2,主役reaction·片段03,43922
25,某某 第一季,98925125,1727775,43,28,D2,伴奏|《梧桐说》,58219
26,放学等我 第二季,32086823,453539,42,16,D2,番外·恋爱纪念日,68837
27,我在无限游戏里封神 第四季,8020654,145532,56,15,D2,特别放送 · emoji大挑战,86834
28,不二之臣,41389288,858435,16,0,B,大结局·下,25580
29,小蘑菇 第一季,51082332,932719,33,17,D2,白噪音·漫步荒原,29125
30,宋玉章 第一季,3938830,45560,23,3,D2,第六折 ·  瞒天过海,86589
31,囚于永夜,1422818,31758,200,161,D2,番外 少爷的生日7,94916
32,洄天 第一季,28429340,248056,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
33,见春天,13510339,235476,54,8,D2,魏清越书信·02,80533
34,一颗苹果,14051161,166323,82,35,C,完结FT · 谢谢光临,90818
35,娘娘腔,38719676,725808,31,0,B,主役听剧Reaction,46640
36,偷偷藏不住,203361856,2420102,89,54,D2,2亿福利·双人电话语音,34632
37,藏南晚星,20136704,209123,80,43,D2,七夕小剧场 · 小许老师买菜记,85110
