排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,2319696,88367,14,0,五一彩蛋,93038
2,洄天 第一季,20310896,211132,37,3,第五期,86815
3,我在无限游戏里封神 第四季,2983197,110299,19,4,第四集 · 生魂,86834
4,沉醉不醒,1909489,42465,19,5,五一迷你剧场,86740
5,再世权臣 第三季（上）,2392010,46589,34,10,第十集 ·  再度启程,86827
6,太傅他人人喊打 第二季,2542988,38151,23,11,第十一集,86723
7,娑婆,25722,6022,1,0,预告一•娑婆世,93178
8,液态欲望 全一季,176361,16775,5,0,预告,86692
9,顶级掠食者 第二季,6247833,51864,30,12,第十二集,86789
10,欢迎进入梦魇直播间 第二季,5734947,42732,27,11,《走远科学》⑤ · 「平安疗养院」深夜恶鬼,90985
11,秋燥 第一季,13490,3450,1,0,声展,93438
12,不良执念清除师 全一季,1036920,9627,14,1,第四集·最后的晚餐,86818
13,君有疾否,1382818,31387,79,51,第62集,90896
14,禁区,76668,6142,11,0,04 警棍,92575
15,反差 全一季,6680599,52439,31,13,第十一集·选择坠落,86684
16,愚蠢的有钱人,365262,15726,23,10,【读诗】,93113
17,恩客,983591,15977,38,25,31·拉扯不清,91870
18,沉浮事,161612,8613,27,17,第贰拾肆集 温存,92895
19,嫁入高门的人,60958,3797,12,3,第9集,93169
20,闭嘴，你这假粉 全一季,1860019,22327,33,20,番外2 · 一日为友，终生为父,87641
21,初三的六一儿童节 第二季（上）,208961,7204,4,1,第二集 · 监狱风云,93154
22,降水概率百分百,554762,16876,10,0,˚.⊹ 第三期 ♡₊˚,93005
23,语义错误 第一季,3278339,24173,21,6,200W · 宰英's MUSIC TIME,92155
24,逐玉 第二季,684911,13625,13,3,五一劳动节 · 谢征,92520
25,理想型,6328,1232,1,0,概念预告·燃烧,93439
26,美人印,530892,28317,13,5,第六集,92611
27,落火 全一季,207799,12539,12,2,第四集,92245
28,这恋爱一定要谈吗,532021,17937,22,10,第十二集,91787
29,吞雨,269768,12478,23,7,花絮04,91589
30,重回我爸少年时 第一季,1285658,16427,46,16,花絮12,91872
