排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,洄天 第一季,22253201,220850,41,5,19400,7687,39.62%,3.48%,第七期,86815
2,一屋暗灯 全一季,4015937,116899,20,2,19707,4980,25.27%,4.26%,花絮03,93038
3,我在无限游戏里封神 第四季,3628508,115951,23,6,6828,4195,61.44%,3.62%,第六集 · 抢亲,86834
4,奇洛李维斯回信,45633310,523007,81,25,48703,25058,51.45%,4.79%,回信广播剧完结FT（下） · 花都冰室,85974
5,情蛊,35983859,397896,67,48,48351,29745,61.52%,7.48%,完结FT·下,86178
6,早春晴朗,32863462,254049,57,24,20508,13433,65.50%,5.29%,完结FT,72230
7,沉醉不醒,2211558,44430,23,6,3112,1505,48.36%,3.39%,ღ200万福利·晚安语音·苏墨,86740
8,再世权臣 第三季（下）,95906,11266,3,1,538,337,62.64%,2.99%,第一集 ·  草原之王,93437
9,初三的六一儿童节,25807083,56949,270,238,6287,5068,80.61%,8.90%,番外4 城寨往事（1）,85562
10,娑婆,509466,23960,6,0,2333,0,0.00%,0.00%,第二集,93178
11,一颗苹果,12367480,143401,80,34,11621,4950,42.60%,3.45%,启动音试听 · 谢青寄,90818
12,我在无限游戏里封神 第三季,21845249,205350,91,21,28406,20953,73.76%,10.20%,破亿纪念单曲·神明所遗落的,81851
13,天官赐福 第三季,69301602,255860,67,43,31950,26308,82.34%,10.28%,小剧场·元宵·花灯,82040
14,放学等我 第一季,50895667,808813,53,18,62794,36361,57.91%,4.50%,1700W福利·P-特别小剧场「2022.12.2」,64911
15,反差 全一季,6948409,54648,34,16,3745,2118,56.56%,3.88%,花絮5·喵条～,86684
16,愚蠢的有钱人,564970,18140,39,26,1512,660,43.65%,3.64%,【花絮3】,93113
17,顶级掠食者 第二季,6870418,53614,34,15,4831,3823,79.13%,7.13%,第十四集·下,86789
18,初三的六一儿童节 第二季（上）,497896,9047,7,3,712,437,61.38%,4.83%,第四集 · 绝命追捕,93154
19,放学等我 第二季,29907512,431769,42,16,44250,34528,78.03%,8.00%,番外·恋爱纪念日,68837
20,于是麦麦决定离家出走,4878606,99875,36,22,8545,5202,60.88%,5.21%,小剧场✦静电,86179
21,天官赐福 第二季,71137957,345760,61,43,37422,34036,90.95%,9.84%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
22,藏南晚星,18193185,194538,79,42,19377,14242,73.50%,7.32%,主题曲伴奏·途经,85110
23,天官赐福 第一季,83990621,945254,61,43,68024,36506,53.67%,3.86%,四千万福利·小剧场·从前有一位名师,52400
24,降水概率百分百,704862,19182,14,2,1653,513,31.03%,2.67%,˚.⊹ 第五期 ♡₊˚,93005
25,我在无限游戏里封神 第一季,71675165,974240,64,14,76683,42993,56.07%,4.41%,线下漫展VLOG,52347
26,奇洛李维斯回信 番外篇,482830,39851,3,2,3093,2488,80.44%,6.24%,番外 ·  庆生宴,93420
27,太傅他人人喊打 第二季,2845023,39753,27,14,2998,1894,63.18%,4.76%,第十三集,86723
28,吞海 第一季,50281933,519489,54,17,44403,27728,62.45%,5.34%,原创配乐·破晓,29187
29,惹祸精,1026324,30804,42,14,1703,938,55.08%,3.05%,100福利·斯昭起床福利音,90987
30,魔道祖师 第三季,295199231,1537094,66,56,97608,90011,92.22%,5.86%,传讯符·忘羡,22602
31,交易沦陷,26976961,165528,138,99,16471,9600,58.28%,5.80%,特别福利·星空沦陷,54171
32,我在无限游戏里封神 第二季（下）,19653112,242993,55,14,26763,22791,85.16%,9.38%,花絮06,76557
33,再世权臣 第三季（上）,2561828,47579,34,10,3491,2694,77.17%,5.66%,第十集 ·  再度启程,86827
34,魔道祖师 第一季,257703910,2254942,39,22,96836,64526,66.63%,2.86%,主创FT<下>,15861
35,欢迎进入梦魇直播间 第二季,6006378,44336,28,11,3456,2494,72.16%,5.63%,《今日没说法》⑤ ·「不平安疗养院」,90985
36,吞海 第二季,31724592,264655,56,19,25342,23587,93.07%,8.91%,新年祝福,67085
37,小蘑菇 第二季,50218696,493525,46,33,50463,46956,93.05%,9.51%,全剧五千万福利,39605
38,偷风不偷月 上季,8074788,127384,41,18,10382,5786,55.73%,4.54%,300w福利·楚识琛（沈若臻）·风月语录,71389
39,某某 第一季,97159385,1701627,43,28,77305,45121,58.37%,2.65%,伴奏|《梧桐说》,58219
40,我在无限游戏里封神 第二季（上）,19720525,320501,42,11,33095,28660,86.60%,8.94%,花絮06,71605
41,吞海 第三季（上）,21926227,210768,38,16,17926,16780,93.61%,7.96%,OST·04 此地埋名,73221
42,台风眼 第二季,28842428,151461,50,32,13286,12270,92.35%,8.10%,完结 FT,68664
43,将进酒 第一季,104794664,1426972,59,16,78191,53307,68.18%,3.74%,完结FT,25944
44,魔道祖师 第二季,170151894,1412232,41,37,88813,81545,91.82%,5.77%,主役FT（下）,19059
45,液态欲望 全一季,390458,23299,11,2,1286,348,27.06%,1.49%,雪饼日记1.0,86692
46,台风眼 第一季,34275761,288253,53,20,20366,12885,63.27%,4.47%,千万福利·富士山在等一片云,52404
47,你的距离,89558484,930590,70,27,78330,56218,71.77%,6.04%,完结FT·主创版,31552
48,初三的六一儿童节 第一季,11229776,56949,53,16,3277,1586,48.40%,2.78%,新年♥快乐,85497
49,吞海 第三季（下）,18859973,186765,51,18,18300,16555,90.46%,8.86%,破亿纪念•抒情主役版「晓」,76879
50,燎原,37190830,386150,43,34,38942,29621,76.06%,7.67%,FT,63688
