排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,47904038,404843,D2,57,24,26817,17429,64.99%,4.31%,完结FT,72230
2,天官赐福 第四季,10985765,131328,D2,29,8,12610,7154,56.73%,5.45%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1625662,59344,D2,29,7,5655,1168,20.65%,1.97%,教师节福利彩蛋,93787
4,奇洛李维斯回信,55484665,577704,D2,98,41,54139,29160,53.86%,5.05%,OST A12 · 暗恋基本法,85974
5,尾钩,763462,21897,D2,28,15,2328,1385,59.49%,6.33%,第22集 · 1V1绑定,95503
6,恒星时刻 第一季,969607,63613,D2,6,0,9818,0,0.00%,0.00%,第二集♬Midwest Emo,94789
7,情蛊,42374446,452796,D2,68,49,54871,34021,62.00%,7.51%,4000w福利·山大王,86178
8,天官赐福 第三季,73328648,277174,D2,68,44,34421,28535,82.90%,10.29%,小剧场·元宵·花灯,82040
9,伏特加与曼特宁,2089266,66403,D2,28,5,3717,1509,40.60%,2.27%,✦店长来啦！⑥,92988
10,灯花笑 上季,3960221,59906,D2,31,14,8726,2156,24.71%,3.60%,第17集,94733
11,天官赐福 第一季,88607742,979665,D2,61,43,69062,37323,54.04%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,74771394,365541,D2,61,43,39113,35609,91.04%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,宋玉章 第一季,4363358,46293,D2,25,4,3123,1171,37.50%,2.53%,宋玉章 · 教师节特别语音,86589
14,我在无限游戏里封神 第四季,8161925,146484,D2,56,15,12123,9583,79.05%,6.54%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2751417,56878,D2,36,11,3573,1611,45.09%,2.83%,第12集 · 绑架,90878
16,一屋暗灯 全一季,13289028,209172,D2,54,14,34910,16222,46.47%,7.76%,主役版主题曲▪未说的,93038
17,囚于永夜,1573351,33324,D2,200,161,3377,1084,32.10%,3.25%,番外 少爷的生日7,94916
18,藏南晚星,20328377,210131,D2,81,44,21248,15784,74.28%,7.51%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,54857929,843847,D2,53,18,61919,35822,57.85%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,全职高手广播剧第四季 上,31617,3797,D2,2,0,189,0,0.00%,0.00%,正式预告,96092
21,放学等我 第二季,32218402,454554,D2,42,16,44387,33850,76.26%,7.45%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,298015323,1548932,D2,66,56,97578,89883,92.11%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260744350,2287845,D2,39,22,97123,64610,66.52%,2.82%,主创FT<下>,15861
24,沉浮事,1053143,17568,D2,17,6,1869,1094,58.53%,6.23%,浊世篇·第六集,94775
25,江医生 第一季,17341111,239457,D2,49,27,23291,14276,61.29%,5.96%,千万播放福利第四弹·小剧场·猫,81852
26,我在无限游戏里封神 第三季,24467678,222043,D2,91,21,30552,22799,74.62%,10.27%,破亿纪念单曲·神明所遗落的,81851
27,魔道祖师 第二季,171909420,1424115,D2,41,37,88913,81656,91.84%,5.73%,主役FT（下）,19059
28,台风眼 第二季,30099659,164620,D2,50,32,14424,13356,92.60%,8.11%,完结 FT,68664
29,台风眼 第一季,36180796,311238,D2,53,20,22354,13965,62.47%,4.49%,千万福利·富士山在等一片云,52404
30,江医生 第二季,8649274,123957,D2,44,36,13919,12959,93.10%,10.45%,主役版·绝对,85256
31,炽火难熄 全一季,436866,21475,D2,18,6,1653,772,46.70%,3.59%,第八集 · 夜店,94917
32,某某 第一季,99035340,1728821,D2,43,28,76968,45058,58.54%,2.61%,伴奏|《梧桐说》,58219
33,我喜欢你的信息素 第一季,101196787,1522976,D2,48,21,72101,44682,61.97%,2.93%,四千万福利,58217
34,吞海 第一季,52545860,539057,D2,54,17,45893,28931,63.04%,5.37%,原创配乐·破晓,29187
35,将进酒 第一季,106939615,1449902,D2,59,16,78406,53368,68.07%,3.68%,完结FT,25944
36,我在无限游戏里封神 第一季,75221927,1005977,D2,64,14,77859,43621,56.03%,4.34%,线下漫展VLOG,52347
37,你的距离,91334245,941005,D2,70,27,78835,56571,71.76%,6.01%,完结FT·主创版,31552
38,降水概率百分百,2185404,30909,D2,45,18,3092,1819,58.83%,5.89%,完结彩蛋 ♡ 晴天娃娃,93005
39,我在无限游戏里封神 第二季（下）,21453787,258809,D2,55,14,28395,24271,85.48%,9.38%,花絮06,76557
40,娑婆,2033070,39108,D2,32,21,3874,1256,32.42%,3.21%,第十八集,93178
41,一颗苹果,14124024,167248,C,82,35,13884,6160,44.37%,3.68%,完结FT · 谢谢光临,90818
42,重生之将门毒后 第二季,42782646,387445,D2,83,26,50931,34324,67.39%,8.86%,破亿福利·白噪音·花灯,52293
43,我喜欢你的信息素 第二季,77061795,852087,D2,43,26,59009,49761,84.33%,5.84%,国风版·星衍,58218
44,清白之年,576417,15262,D2,23,3,1411,357,25.30%,2.34%,花絮02,94838
45,吞海 第二季,33197109,276359,D2,56,19,26522,24724,93.22%,8.95%,新年祝福,67085
46,干涸地,2263383,95047,D2,4,1,1324,40,3.02%,0.04%,火风L原著|干涸地·第二集,86725
47,某某 第二季,66883491,835585,D2,67,39,68650,51379,74.84%,6.15%,破亿纪念·《正年少》,58220
48,传闻,101567,7916,D2,8,0,351,0,0.00%,0.00%,✧主役采访 · 上期,95625
49,伪装学渣 第一季,103788009,1955704,D2,30,17,80063,47031,58.74%,2.40%,千万福利·“叫妈妈”,58262
