排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49425572,415477,D2,57,24,27251,17711,64.99%,4.26%,完结FT,72230
2,天官赐福 第四季,11944708,134313,D2,31,10,13051,7652,58.63%,5.70%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1217614,65717,D2,10,0,10348,0,0.00%,0.00%,第三集♬Post Punk,94789
4,宋玉章 第一季,4703138,47687,D2,28,5,3329,1416,42.54%,2.97%,第八折 ·  沉溺芳华,86589
5,奇洛李维斯回信,55832893,579476,D2,98,41,54232,29266,53.96%,5.05%,OST A12 · 暗恋基本法,85974
6,尾钩,955247,23432,D2,34,20,2538,1599,63.00%,6.82%,第27集 · 流萤明灭,95503
7,你的雪人能活多久 第一季,1765269,61270,D2,31,9,5873,1407,23.96%,2.30%,小剧场04 · 密码,93787
8,情蛊,42631939,454847,D2,68,49,55072,34191,62.08%,7.52%,4000w福利·山大王,86178
9,天官赐福 第三季,73769047,278236,D2,68,44,34580,28683,82.95%,10.31%,小剧场·元宵·花灯,82040
10,灯花笑 上季,4279862,62241,D2,34,16,8914,2333,26.17%,3.75%,花絮叁,94733
11,天官赐福 第一季,89046641,981376,D2,61,43,69106,37361,54.06%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,75166610,366642,D2,61,43,39184,35677,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,全职高手广播剧第四季 上,80152,6383,D2,3,0,463,0,0.00%,0.00%,第一集,96092
14,伏特加与曼特宁,2184518,67048,D2,32,8,3816,1628,42.66%,2.43%,✦店长来啦！⑦,92988
15,我在无限游戏里封神 第四季,8256285,147191,D2,56,15,12190,9645,79.12%,6.55%,特别放送 · emoji大挑战,86834
16,满城衣冠 全一季,2862525,57724,D2,37,12,3676,1727,46.98%,2.99%,第13集 · 脱困,90878
17,一屋暗灯 全一季,13405464,210065,D2,54,14,35024,16319,46.59%,7.77%,主役版主题曲▪未说的,93038
18,放学等我 第一季,55047532,845617,D2,53,18,61975,35867,57.87%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
19,藏南晚星,20437871,210893,D2,81,44,21340,15861,74.33%,7.52%,✧2000万福利·番外·美梦,85110
20,放学等我 第二季,32331916,455617,D2,42,16,44405,33834,76.19%,7.43%,番外·恋爱纪念日,68837
21,囚于永夜,1662619,34248,D2,200,161,3486,1142,32.76%,3.33%,番外 少爷的生日7,94916
22,魔道祖师 第三季,298146355,1549397,D2,66,56,97600,89904,92.11%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260876580,2288872,D2,39,22,97127,64631,66.54%,2.82%,主创FT<下>,15861
24,魔道祖师 第二季,171990834,1424595,D2,41,37,88914,81659,91.84%,5.73%,主役FT（下）,19059
25,沉浮事,1158621,18226,D2,18,7,1925,1153,59.90%,6.33%,浊世篇·第七集,94775
26,我在无限游戏里封神 第三季,24551391,222564,D2,91,21,30591,22839,74.66%,10.26%,破亿纪念单曲·神明所遗落的,81851
27,台风眼 第二季,30159102,165156,D2,50,32,14466,13397,92.61%,8.11%,完结 FT,68664
28,台风眼 第一季,36262060,312269,D2,53,20,22427,14006,62.45%,4.49%,千万福利·富士山在等一片云,52404
29,江医生 第一季,17406127,239938,D2,49,27,23330,14306,61.32%,5.96%,千万播放福利第四弹·小剧场·猫,81852
30,某某 第一季,99113944,1729601,D2,43,28,76982,45072,58.55%,2.61%,伴奏|《梧桐说》,58219
31,干涸地,2301105,95394,D2,5,2,1362,70,5.14%,0.07%,火风L原著|干涸地·第三集,86725
32,将进酒 第一季,107055922,1450716,D2,59,16,78377,53355,68.07%,3.68%,完结FT,25944
33,吞海 第一季,52638273,539700,D2,54,17,45942,28965,63.05%,5.37%,原创配乐·破晓,29187
34,江医生 第二季,8694583,124247,D2,44,36,13956,12995,93.11%,10.46%,主役版·绝对,85256
35,我喜欢你的信息素 第一季,101288185,1523768,D2,48,21,72124,44692,61.97%,2.93%,四千万福利,58217
36,传闻,145458,8829,D2,10,0,426,0,0.00%,0.00%,✧主役采访 · 下期,95625
37,娑婆,2098611,39462,D2,33,22,3921,1306,33.31%,3.31%,第十九集,93178
38,再世权臣 第一季,22501526,264739,D2,79,17,24250,11447,47.20%,4.32%,花絮07,71321
39,沙子，时间，雨树,121426,7987,D2,6,0,744,0,0.00%,0.00%,第1集✧˖如果你的眼睛，不是月亮的颜色,94825
40,我在无限游戏里封神 第一季,75335648,1006970,D2,64,14,77863,43624,56.03%,4.33%,线下漫展VLOG,52347
41,炽火难熄 全一季,470376,22010,D2,19,7,1702,825,48.47%,3.75%,第九集 · Estoy enamorado de ti,94917
42,你的距离,91416575,941463,D2,70,27,78853,56580,71.75%,6.01%,完结FT·主创版,31552
43,重生之将门毒后 第二季,42861380,387867,D2,83,26,50969,34356,67.41%,8.86%,破亿福利·白噪音·花灯,52293
44,一颗苹果,14176804,167958,C,82,35,13939,6193,44.43%,3.69%,完结FT · 谢谢光临,90818
45,清白之年,622685,15514,D2,24,4,1454,415,28.54%,2.68%,第九集·Life in a Love,94838
46,我喜欢你的信息素 第二季,77122635,852513,D2,43,26,59010,49758,84.32%,5.84%,国风版·星衍,58218
47,我在无限游戏里封神 第二季（下）,21507924,259273,D2,55,14,28424,24296,85.48%,9.37%,花絮06,76557
48,将进酒 第二季,73247360,816830,D2,45,22,67575,61391,90.85%,7.52%,第二季完结FT,30383
49,某某 第二季,66928051,835993,D2,67,39,68672,51392,74.84%,6.15%,破亿纪念·《正年少》,58220
50,吞海 第二季,33263950,276791,D2,56,19,26557,24759,93.23%,8.95%,新年祝福,67085
