排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,9474433,125460,D2,26,5,11743,6158,52.44%,4.91%,第三集·叫天不应叫地不灵,91718
2,早春晴朗,42850290,354880,D2,57,24,25082,16261,64.83%,4.58%,完结FT,72230
3,你的雪人能活多久 第一季,1392623,56025,D2,25,5,5347,896,16.76%,1.60%,第五集 · 不成对的天生一对,93787
4,灯花笑 上季,3441562,55952,D2,28,11,8391,1824,21.74%,3.26%,第14集,94733
5,奇洛李维斯回信,54842208,574749,D2,98,41,53928,28951,53.68%,5.04%,OST A12 · 暗恋基本法,85974
6,情蛊,41947188,449728,D2,68,49,54650,33845,61.93%,7.53%,4000w福利·山大王,86178
7,伏特加与曼特宁,1923746,65122,D2,25,4,3581,1349,37.67%,2.07%,第五期,92988
8,宋玉章 第一季,3815977,45364,D2,22,2,2900,911,31.41%,2.01%,导演花絮01· 好多人啊,86589
9,天官赐福 第三季,72720010,275284,D2,68,44,34198,28314,82.79%,10.29%,小剧场·元宵·花灯,82040
10,我在无限游戏里封神 第四季,7990460,145312,D2,56,15,11991,9452,78.83%,6.50%,特别放送 · emoji大挑战,86834
11,天官赐福 第二季,74088854,363732,D2,61,43,38955,35447,90.99%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
12,天官赐福 第一季,87919661,976757,D2,61,43,69075,37256,53.94%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,尾钩,417348,18100,D2,17,5,1811,810,44.73%,4.48%,第12集 · 往日之事,95503
14,满城衣冠 全一季,2549955,55428,D2,33,9,3373,1412,41.86%,2.55%,白噪音 · 苏苏念经,90878
15,一屋暗灯 全一季,13066751,207631,D2,54,14,34713,16043,46.22%,7.73%,主役版主题曲▪未说的,93038
16,囚于永夜,1392258,31438,D2,200,161,3162,984,31.12%,3.13%,番外 少爷的生日7,94916
17,沉浮事,861892,16626,D2,17,6,1799,1037,57.64%,6.24%,浊世篇·第六集,94775
18,炽火难熄 全一季,369976,20732,D2,15,4,1558,675,43.32%,3.26%,第六集 ·“顺路”,94917
19,藏南晚星,20103859,208914,D2,80,43,21067,15620,74.14%,7.48%,七夕小剧场 · 小许老师买菜记,85110
20,放学等我 第一季,54579101,841924,D2,53,18,61935,35829,57.85%,4.26%,1700W福利·P-特别小剧场「2022.12.2」,64911
