排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,奇洛李维斯回信,49894533,547965,85,28,5000W福利第①弹 · 主役版《昨日歌》,85974
2,一屋暗灯 全一季,9314600,176558,42,9,花絮06,93038
3,二哈和他的白猫师尊,164214439,3172485,77,0,第肆季-第十期,20741
4,洄天 第一季,26849456,240673,56,11,第十三期,86815
5,囚于永夜,4870689,296741,1,0,织音发布会纯享PV · 概念预告,86822
6,情蛊,38651159,419880,67,48,完结FT·下,86178
7,小蘑菇 第一季,50261205,921417,33,17,白噪音·漫步荒原,29125
8,放学等我 第一季,52520850,824350,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
9,我在无限游戏里封神 第四季,5872010,132055,39,13,第十三集 · 召唤物,86834
10,坠落,11229841,180162,59,22,番外二·新生,76041
11,天官赐福 第一季,85585241,957827,61,43,四千万福利·小剧场·从前有一位名师,52400
12,魔道祖师 第一季,258950313,2268129,39,22,主创FT<下>,15861
13,我在无限游戏里封神 第一季,73191865,987961,64,14,线下漫展VLOG,52347
14,早春晴朗,35609529,271388,57,24,完结FT,72230
15,伪装学渣 第一季,102730480,1938598,30,17,千万福利·“叫妈妈”,58262
16,天官赐福 第四季,5616509,88731,13,0,新年小剧场《压岁钱》,91718
17,虚拟偶像团综丨《去世界尽头》,612270,32862,4,0,团综主题曲·《去世界尽头》,94354
18,我喜欢你的信息素 第一季,99847162,1507328,48,21,四千万福利,58217
19,虚拟偶像团综丨《NEW DAYS（一起又出发）》,29599944,112317,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
20,迪奥先生 第一季,79410716,1076537,30,15,王氏破产 铃声,23329
21,放学等我 第二季,30876582,442132,42,16,番外·恋爱纪念日,68837
22,一颗苹果,13161986,152811,81,34,花絮08 · 客官很可以,90818
23,台风眼 第一季,35117178,297543,53,20,千万福利·富士山在等一片云,52404
24,某某 第一季,97929179,1713539,43,28,伴奏|《梧桐说》,58219
25,将进酒 第一季,105704870,1436939,59,16,完结FT,25944
26,重生之将门毒后 第一季,93238264,830617,82,27,主役reaction·片段03,43922
27,干涸地,1903833,84737,1,0,概念预告,86725
28,满城衣冠 全一季,1337918,44527,10,0,第2集 · 债,90878
29,娘娘腔,37575854,711909,31,0,主役听剧Reaction,46640
30,交易沦陷,28709055,173716,138,99,特别福利·星空沦陷,54171
31,小蘑菇 第二季,51316926,500608,51,34,破亿电话·双人,39605
32,全球高考 第一季（全新版）,21301521,368903,37,11,— 「全季完结FT」—,60289
33,奇洛李维斯回信 番外篇,934081,61136,3,2,番外 ·  庆生宴,93420
34,藏南晚星,19078868,200812,79,42,主题曲伴奏·途经,85110
35,见春天,13005261,229174,54,8,魏清越书信·02,80533
36,天官赐福 第三季,70777191,263444,67,43,小剧场·元宵·花灯,82040
37,我在无限游戏里封神 第三季,23003537,212741,91,21,破亿纪念单曲·神明所遗落的,81851
38,沉醉不醒,3447046,53963,39,20,第十四期,86740
39,再世权臣 第一季,21445563,257158,79,17,花絮07,71321
40,针锋对决,37763775,930610,19,0,完结FT  互动问答,19249
41,FOG[电竞] 第一季,70495344,762832,39,14,2000W福利·whisper伴奏抒情版,29122
42,江医生 第一季,16361491,231377,49,27,千万播放福利第四弹·小剧场·猫,81852
43,于是麦麦决定离家出走,5585122,106410,51,32,花絮11,86179
44,二哈和他的白猫师尊,15420509,100938,669,603,完结FT,81979
45,不二之臣,40882188,850163,16,0,大结局·下,25580
46,难哄,146421284,1575646,76,48,破亿福利·纪念FT,38074
47,偷偷藏不住,202441021,2415253,89,54,2亿福利·双人电话语音,34632
48,入戏,8497241,89979,80,54,新春语音,82289
49,魔道祖师 第三季,296369706,1541806,66,56,传讯符·忘羡,22602
50,判官 第一季,38226099,650104,45,21,听剧reaction,37773
51,虚拟偶像团综丨《一起再出发》,91164183,251970,179,0,中秋特辑·清道夫,58225
52,入蛊 全一季,663036,18515,18,10,Ⱄⱄᐝ第十三回,93646
53,南方海啸,23997189,169974,102,68,花絮⑤,85492
54,天官赐福 第二季,72392307,352724,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
55,我在无限游戏里封神 第二季（下）,20440541,249930,55,14,花絮06,76557
56,吞海 第一季,51266786,528043,54,17,原创配乐·破晓,29187
57,这题超纲了 第一季,20667564,492560,44,17,【回放】《这题超纲了》M星直播,41369
58,你的距离,90340829,934884,70,27,完结FT·主创版,31552
59,虚拟偶像团综丨《LASER出道日》,82876194,677800,89,0,专业小课堂：电子竞技运动与管理专业,28989
60,虚拟偶像综艺 |《VANITY FAIR（名利场）》,27805542,127711,71,0,梦系列小剧场06·白日,78684
61,重生之将门毒后 第二季,41597466,380092,83,26,破亿福利·白噪音·花灯,52293
62,只想和你好好的,226746,7090,10,1,✧ 主题曲二《春光正好》 ✧,94176
63,绰约,1712778,29599,18,0,律法小贴士·2则,86680
64,破云 第一季,59077851,1095867,20,15,圣诞特辑,59047
65,我在无限游戏里封神 第二季（上）,20246277,327190,42,11,花絮06,71605
66,逐玉 第一季,4488267,73134,43,14,原创配乐 · 凶夜,89245
67,伏特加与曼特宁,774841,48205,3,0,520小剧场·吻醒,92988
68,魔道祖师 第二季,170877133,1417062,41,37,主役FT（下）,19059
69,夫人你马甲又掉了 第一季,64763132,1021633,25,0,小剧场3,32574
70,我喜欢你的信息素 第二季,76181876,844742,43,26,国风版·星衍,58218
71,当你叫醒我,442033,10752,5,0,第二集,94268
72,谁把谁当真,14711992,775221,4,0,第四期,726
73,欢迎进入梦魇直播间 第一季,23530528,193784,62,20,完结FT,75856
74,FOG[电竞]第二季,58003177,434030,50,28,破亿特别直播回放,39588
75,虚拟偶像综艺丨《险象环声》,83146892,436714,138,0,三千万福利·偶像问答,38165
76,别来无恙 第一季,22994628,452441,48,22,1000W福利•《满心》（合唱版）,37937
77,娑婆,1125168,31637,16,8,第九集,93178
78,提灯看刺刀 上季,14486810,239936,32,8,花絮·韩楚,77771
79,本能游戏,25709925,106602,221,158,雪地番外 · 04冰冷的家,69569
80,落池,68413266,1347955,15,0,落池·番外,22032
81,偏偏宠爱,17448462,362571,49,13,四百万语音·江忍,52353
82,君有疾否 第一季,26864030,461945,67,56,苏世誉 ✦ 第一季启动音,34592
83,失忆后死对头成了我男朋友？,5098211,99557,48,20,花絮15·恢复,86693
84,初三的六一儿童节,27977945,61624,287,255,番外9 跨年夜,85562
85,愚蠢的有钱人,1396975,27139,87,70,【花絮6】,93113
86,反差 全一季,7692876,59193,43,19,《Turning The Key》,86684
87,旧故新长 全一季,1255598,100398,1,0,织音发布会PV,86778
88,液态欲望 全一季,755911,29995,25,11,花絮05,86692
89,再世权臣 第三季（下）,506471,20901,15,8,第八集 ·  走投无路,93437
90,门生故旧,487477,15403,35,23,★ 28·陷阱,93774
91,台风眼 第二季,29378471,156890,50,32,完结 FT,68664
92,将进酒 第二季,72411268,812148,45,22,第二季完结FT,30383
93,我嗑了对家X我的CP,58175750,895427,48,29,完结FT,21102
94,全球高考 第二季,39694257,547257,40,15,—原创配乐「警告声中接吻」—,39622
95,虚拟偶像团综丨《FINE DAY》,34652428,252521,41,0,虚拟偶像，但开团会,50725
96,恩客,2100105,21567,80,65,番外·当时若,91870
97,百万UP学神天天演我 第一季,21902155,291934,73,43,花絮11,61608
98,逐玉 第二季,973136,16283,26,12,第十五集 · 劫狱,92520
99,你亲我一下,18695937,270366,63,15,特别加更·随便玩一下05,52356
100,AWM 第一季,85696889,1252534,43,20,第十四集·烙印,20284
