排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,8719906,121797,24,3,11135,5412,48.60%,4.44%,夏日提示音·处暑·花城,91718
2,奇洛李维斯回信,54440555,572766,98,41,53753,28819,53.61%,5.03%,OST A12 · 暗恋基本法,85974
3,宋玉章 第一季,3489917,44781,19,1,2784,734,26.36%,1.64%,主题曲 · 玉堂春· 伴奏,86589
4,灯花笑 上季,3105105,53294,25,9,8094,1542,19.05%,2.89%,花絮·贰,94733
5,你的雪人能活多久 第一季,1262016,54419,23,3,5153,697,13.53%,1.28%,傅让夷生日快乐,93787
6,早春晴朗,38178794,289247,57,24,23052,15056,65.31%,5.21%,完结FT,72230
7,情蛊,41656839,447505,68,49,54425,33701,61.92%,7.53%,4000w福利·山大王,86178
8,伏特加与曼特宁,1762769,63885,22,2,3361,1088,32.37%,1.70%,第四期,92988
9,我在无限游戏里封神 第四季,7876631,144554,56,15,11876,9339,78.64%,6.46%,特别放送 · emoji大挑战,86834
10,一屋暗灯 全一季,12888809,206302,54,14,34559,15883,45.96%,7.70%,主役版主题曲▪未说的,93038
11,天官赐福 第三季,72515173,274086,68,44,34053,28180,82.75%,10.28%,小剧场·元宵·花灯,82040
12,满城衣冠 全一季,2437040,54540,31,8,3295,1333,40.46%,2.44%,花絮⑤ · 说着说着又唱起来了,90878
13,天官赐福 第二季,73882907,362578,61,43,38834,35325,90.96%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,天官赐福 第一季,87632854,974820,61,43,69037,37189,53.87%,3.81%,四千万福利·小剧场·从前有一位名师,52400
15,囚于永夜,1250485,29838,200,161,2902,873,30.08%,2.93%,番外 少爷的生日7,94916
16,炽火难熄 全一季,335628,20220,14,3,1510,616,40.79%,3.05%,花絮02 · 自带魅魔体质,94917
17,沉浮事,744973,15897,15,4,1715,948,55.28%,5.96%,浊世篇·第五集,94775
18,我在无限游戏里封神 第三季,24218468,220684,91,21,30388,22660,74.57%,10.27%,破亿纪念单曲·神明所遗落的,81851
19,放学等我 第一季,54363640,840334,53,18,61981,35868,57.87%,4.27%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,31942081,452350,42,16,44387,33901,76.38%,7.49%,番外·恋爱纪念日,68837
21,藏南晚星,19987335,208107,80,43,20973,15548,74.13%,7.47%,七夕小剧场 · 小许老师买菜记,85110
22,触礁,285288,12322,16,5,1300,871,67.00%,7.07%,✰花絮·02✰,95034
23,魔道祖师 第三季,297632222,1547578,66,56,97515,89825,92.11%,5.80%,传讯符·忘羡,22602
24,魔道祖师 第一季,260361077,2284480,39,22,97112,64579,66.50%,2.83%,主创FT<下>,15861
25,尾钩,236468,14105,11,0,1222,0,0.00%,0.00%,第07集 · 劫后余生,95503
26,江医生 第一季,17135632,238003,49,27,23144,14158,61.17%,5.95%,千万播放福利第四弹·小剧场·猫,81852
27,台风眼 第二季,29928073,163224,50,32,14295,13229,92.54%,8.10%,完结 FT,68664
28,我在无限游戏里封神 第一季,74891942,1003394,64,14,77722,43528,56.00%,4.34%,线下漫展VLOG,52347
29,魔道祖师 第二季,171672014,1422753,41,37,88872,81610,91.83%,5.74%,主役FT（下）,19059
30,台风眼 第一季,35967799,308692,53,20,22163,13855,62.51%,4.49%,千万福利·富士山在等一片云,52404
31,我在无限游戏里封神 第二季（下）,21280776,257478,55,14,28253,24141,85.45%,9.38%,花絮06,76557
32,江医生 第二季,8510094,123008,44,36,13773,12817,93.06%,10.42%,主役版·绝对,85256
33,我喜欢你的信息素 第一季,100942891,1520664,48,21,72089,44656,61.95%,2.94%,四千万福利,58217
34,某某 第一季,98812167,1726627,43,28,77104,45077,58.46%,2.61%,伴奏|《梧桐说》,58219
35,降水概率百分百,1993011,28852,41,17,2916,1695,58.13%,5.87%,˚.⊹ 启动音试听 ♡₊˚,93005
36,我在无限游戏里封神 第二季（上）,20833119,334513,42,11,34373,29765,86.59%,8.90%,花絮06,71605
37,吞海 第一季,52271575,537053,54,17,45751,28821,63.00%,5.37%,原创配乐·破晓,29187
38,重生之将门毒后 第二季,42548312,386096,83,26,50815,34227,67.36%,8.86%,破亿福利·白噪音·花灯,52293
39,我喜欢你的信息素 第二季,76880717,850755,43,26,58983,49764,84.37%,5.85%,国风版·星衍,58218
40,一颗苹果,13975042,165499,82,35,13706,6061,44.22%,3.66%,完结FT · 谢谢光临,90818
41,伪装学渣 第一季,103600920,1953483,30,17,80122,47021,58.69%,2.41%,千万福利·“叫妈妈”,58262
42,再世权臣 第三季（下）,930293,26159,21,12,2393,2134,89.18%,8.16%,第十二集 ·  雨后风荷,93437
43,沉醉不醒,4189661,57490,50,31,4937,3109,62.97%,5.41%,დ400万福利剧场·桑拿,86740
44,洄天 第一季,28327168,247533,65,14,23528,11374,48.34%,4.59%,完结语音 · 高能量S级监护人的一天,86815
45,将进酒 第一季,106653126,1447503,59,16,78386,53340,68.05%,3.68%,完结FT,25944
46,某某 第二季,66746836,834484,67,39,68652,51388,74.85%,6.16%,破亿纪念·《正年少》,58220
47,解瘾,461539,13680,23,4,895,357,39.89%,2.61%,福利音❃奉心,94782
48,吞海 第二季,33007801,275096,56,19,26396,24599,93.19%,8.94%,新年祝福,67085
49,小蘑菇 第二季,51956790,505851,51,34,52088,47867,91.90%,9.46%,破亿电话·双人,39605
50,吞海 第三季（上）,22857726,220300,38,16,18850,17667,93.72%,8.02%,OST·04 此地埋名,73221
